# Chordwise load of component: wing_left
# spanwise_location: ***** ; chord_length: 0.795
# n_chord : 40 ; n_time : 150. Next lines: x_chord , z_chord
  0.112520707970651E+001  0.111940713869282E+001  0.110795005652626E+001  0.109111507379496E+001  0.106929487208258E+001  0.104300694857637E+001  0.101289819228309E+001  0.979710370975476E+000  0.944255669771531E+000  0.907396407333778E+000  0.870037467166543E+000  0.833113714711067E+000  0.797557770431873E+000  0.764263448191537E+000  0.734064403888338E+000  0.707722516456779E+000  0.685907944286237E+000  0.669393218078362E+000  0.659650137613353E+000  0.656436696753868E+000  0.656436672550659E+000  0.659650056857677E+000  0.669393098317162E+000  0.685907820171775E+000  0.707722397854580E+000  0.734064292423981E+000  0.764263345136809E+000  0.797557676749098E+000  0.833113631094421E+000  0.870037394054773E+000  0.907396344887093E+000  0.944255617850940E+000  0.979710329162667E+000  0.101289815991904E+001  0.104300692478291E+001  0.106929485577528E+001  0.109111506369927E+001  0.110795005121457E+001  0.111940713663271E+001  0.112520707929245E+001
 -0.190915415699540E-003 -0.949723380680987E-003 -0.244854841256774E-002 -0.462816430335625E-002 -0.725432221628029E-002 -0.100804134769687E-001 -0.130018039098193E-001 -0.159205365560825E-001 -0.186655789386876E-001 -0.209362404618087E-001 -0.224054403681428E-001 -0.229043114882203E-001 -0.224928004843982E-001 -0.213551364675484E-001 -0.196407529366493E-001 -0.174180009765482E-001 -0.147912947887904E-001 -0.112894043819545E-001 -0.602465422463304E-002 -0.143421419093187E-002  0.143408342999401E-002  0.602455693261502E-002  0.112893591271161E-001  0.147912764604122E-001  0.174179886614765E-001  0.196407450040455E-001  0.213551316922334E-001  0.224927982055310E-001  0.229043114468355E-001  0.224054422453333E-001  0.209362436169802E-001  0.186655825721784E-001  0.159205400202177E-001  0.130018068896256E-001  0.100804158915447E-001  0.725432406549358E-002  0.462816556787018E-002  0.244854910728699E-002  0.949723650171050E-003  0.190915469873243E-003
# t, dFz
  0.100000000000000E+001 -0.705331681445337E+001 -0.155196269589067E+002 -0.140734998053701E+002 -0.462942951045960E+001  0.691254500777719E+001  0.156291045317930E+002  0.228156510495540E+002  0.295428141607648E+002  0.337977440101247E+002  0.303669777496715E+002  0.172056193085292E+002  0.442087966413110E-001 -0.143220782043212E+002 -0.247836964453299E+002 -0.344872454983671E+002 -0.454636033068503E+002 -0.635361522355947E+002 -0.124303829195331E+003 -0.125291644850183E+001  0.170661697213075E+003  0.170665301585282E+003 -0.124597566009171E+001 -0.124305085377657E+003 -0.635365612563954E+002 -0.454637351990252E+002 -0.344873217052836E+002 -0.247837462550469E+002 -0.143221189412467E+002  0.441704798019682E-001  0.172055940829962E+002  0.303669748914941E+002  0.337977594251724E+002  0.295428356062329E+002  0.228156725172804E+002  0.156291269952649E+002  0.691257118837099E+001 -0.462939922907870E+001 -0.140734732905107E+002 -0.155196107721992E+002 -0.705331222702972E+001
  0.100200000000000E+001 -0.841917635392258E+001 -0.198383395890226E+002 -0.216883307711056E+002 -0.154386951889869E+002 -0.528357996694811E+001  0.288079726798037E+001  0.103121398958286E+002  0.181500663119488E+002  0.248644496051651E+002  0.250954071099443E+002  0.154171688812719E+002  0.422594910322845E-001 -0.145279605812962E+002 -0.265936371577563E+002 -0.388700759508920E+002 -0.532204204406911E+002 -0.747483872457200E+002 -0.145408848023041E+003 -0.392756557860575E+002  0.152855550519445E+003  0.152859082021799E+003 -0.392691524011566E+002 -0.145410398429700E+003 -0.747488440473932E+002 -0.532205821821206E+002 -0.388701691739613E+002 -0.265936958115715E+002 -0.145280045776250E+002  0.422228708390889E-001  0.154171489195855E+002  0.250954098935737E+002  0.248644680510366E+002  0.181500878164933E+002  0.103121596188513E+002  0.288081692546200E+001 -0.528355741274755E+001 -0.154386695729808E+002 -0.216883087049507E+002 -0.198383264516239E+002 -0.841917283956270E+001
  0.100400000000000E+001 -0.841917631072942E+001 -0.198383394709803E+002 -0.216883306023811E+002 -0.154386950027925E+002 -0.528357980991897E+001  0.288079738477225E+001  0.103121399676928E+002  0.181500663360787E+002  0.248644495830203E+002  0.250954070599692E+002  0.154171688394087E+002  0.422594908890272E-001 -0.145279605206214E+002 -0.265936370206322E+002 -0.388700757013919E+002 -0.532204200074428E+002 -0.747483864931816E+002 -0.145408846048371E+003 -0.392756517670906E+002  0.152855551414044E+003  0.152859081127234E+003 -0.392691564201561E+002 -0.145410400404401E+003 -0.747488447999393E+002 -0.532205826153712E+002 -0.388701694234610E+002 -0.265936959486957E+002 -0.145280046383002E+002  0.422228709822220E-001  0.154171489614483E+002  0.250954099435491E+002  0.248644680731804E+002  0.181500877923621E+002  0.103121595469909E+002  0.288081680867266E+001 -0.528355756978130E+001 -0.154386697591764E+002 -0.216883088736740E+002 -0.198383265696666E+002 -0.841917288275463E+001
  0.100600000000000E+001 -0.841917629293317E+001 -0.198383394226893E+002 -0.216883305334748E+002 -0.154386949263893E+002 -0.528357974468615E+001  0.288079743471297E+001  0.103121400002136E+002  0.181500663489555E+002  0.248644495751949E+002  0.250954070382455E+002  0.154171688200615E+002  0.422594908199723E-001 -0.145279604902389E+002 -0.265936369493374E+002 -0.388700755670150E+002 -0.532204197670615E+002 -0.747483860657551E+002 -0.145408844909061E+003 -0.392756494298504E+002  0.152855551935900E+003  0.152859080605398E+003 -0.392691587574259E+002 -0.145410401543729E+003 -0.747488452273676E+002 -0.532205828557552E+002 -0.388701695578384E+002 -0.265936960199905E+002 -0.145280046686828E+002  0.422228710512171E-001  0.154171489807960E+002  0.250954099652724E+002  0.248644680810059E+002  0.181500877794876E+002  0.103121595144674E+002  0.288081675873110E+001 -0.528355763501347E+001 -0.154386698355804E+002 -0.216883089425791E+002 -0.198383266179557E+002 -0.841917290055049E+001
  0.100800000000000E+001 -0.841917628367163E+001 -0.198383393975759E+002 -0.216883304976044E+002 -0.154386948866288E+002 -0.528357971092856E+001  0.288079746020118E+001  0.103121400161879E+002  0.181500663540585E+002  0.248644495688041E+002  0.250954070243248E+002  0.154171688081160E+002  0.422594907777936E-001 -0.145279604717480E+002 -0.265936369060119E+002 -0.388700754854068E+002 -0.532204196210921E+002 -0.747483858062411E+002 -0.145408844217265E+003 -0.392756480096234E+002  0.152855552253219E+003  0.152859080288093E+003 -0.392691601776490E+002 -0.145410402235536E+003 -0.747488454868851E+002 -0.532205830017235E+002 -0.388701696394471E+002 -0.265936960633167E+002 -0.145280046871737E+002  0.422228710933598E-001  0.154171489927413E+002  0.250954099791936E+002  0.248644680873962E+002  0.181500877743832E+002  0.103121594984957E+002  0.288081673324296E+001 -0.528355766877041E+001 -0.154386698753401E+002 -0.216883089784517E+002 -0.198383266430706E+002 -0.841917290981195E+001
  0.101000000000000E+001 -0.841917627845941E+001 -0.198383393834499E+002 -0.216883304774223E+002 -0.154386948642708E+002 -0.528357969202781E+001  0.288079747429898E+001  0.103121400247113E+002  0.181500663561640E+002  0.248644495641139E+002  0.250954070152700E+002  0.154171688005222E+002  0.422594907511641E-001 -0.145279604601022E+002 -0.265936368787550E+002 -0.388700754340985E+002 -0.532204195293460E+002 -0.747483856431740E+002 -0.145408843782621E+003 -0.392756471168804E+002  0.152855552452793E+003  0.152859080088530E+003 -0.392691610704020E+002 -0.145410402670199E+003 -0.747488456499523E+002 -0.532205830934688E+002 -0.388701696907556E+002 -0.265936960905736E+002 -0.145280046988197E+002  0.422228711199658E-001  0.154171490003352E+002  0.250954099882478E+002  0.248644680920868E+002  0.181500877722789E+002  0.103121594899698E+002  0.288081671914520E+001 -0.528355768767089E+001 -0.154386698976991E+002 -0.216883089986307E+002 -0.198383266571955E+002 -0.841917291502459E+001
  0.101200000000000E+001 -0.841917627537194E+001 -0.198383393750835E+002 -0.216883304654503E+002 -0.154386948509976E+002 -0.528357968084392E+001  0.288079748256493E+001  0.103121400295649E+002  0.181500663570556E+002  0.248644495608053E+002  0.250954070092991E+002  0.154171687955839E+002  0.422594907339137E-001 -0.145279604525656E+002 -0.265936368611219E+002 -0.388700754009119E+002 -0.532204194700045E+002 -0.747483855377120E+002 -0.145408843501502E+003 -0.392756465392526E+002  0.152855552581969E+003  0.152859079959357E+003 -0.392691616480303E+002 -0.145410402951310E+003 -0.747488457554152E+002 -0.532205831528125E+002 -0.388701697239424E+002 -0.265936961082068E+002 -0.145280047063561E+002  0.422228711372011E-001  0.154171490052734E+002  0.250954099942194E+002  0.248644680953960E+002  0.181500877713857E+002  0.103121594851174E+002  0.288081671087904E+001 -0.528355769885646E+001 -0.154386699109706E+002 -0.216883090106028E+002 -0.198383266655629E+002 -0.841917291811270E+001
  0.101400000000000E+001 -0.841917627346987E+001 -0.198383393699323E+002 -0.216883304580746E+002 -0.154386948428131E+002 -0.528357967396023E+001  0.288079748761164E+001  0.103121400324469E+002  0.181500663574090E+002  0.248644495584715E+002  0.250954070052809E+002  0.154171687922945E+002  0.422594907224542E-001 -0.145279604475616E+002 -0.265936368494145E+002 -0.388700753788773E+002 -0.532204194306049E+002 -0.747483854676957E+002 -0.145408843314864E+003 -0.392756461556146E+002  0.152855552667799E+003  0.152859079873528E+003 -0.392691620316824E+002 -0.145410403137952E+003 -0.747488458254319E+002 -0.532205831922123E+002 -0.388701697459768E+002 -0.265936961199142E+002 -0.145280047113602E+002  0.422228711486512E-001  0.154171490085628E+002  0.250954099982366E+002  0.248644680977293E+002  0.181500877710328E+002  0.103121594822348E+002  0.288081670583338E+001 -0.528355770573855E+001 -0.154386699191544E+002 -0.216883090179810E+002 -0.198383266707142E+002 -0.841917292001329E+001
  0.101600000000000E+001 -0.841917627226935E+001 -0.198383393666707E+002 -0.216883304533892E+002 -0.154386948376083E+002 -0.528357966958691E+001  0.288079749079373E+001  0.103121400342165E+002  0.181500663575162E+002  0.248644495568097E+002  0.250954070025211E+002  0.154171687900524E+002  0.422594907146579E-001 -0.145279604441580E+002 -0.265936368414510E+002 -0.388700753638891E+002 -0.532204194038001E+002 -0.747483854200600E+002 -0.145408843187891E+003 -0.392756458945137E+002  0.152855552726236E+003  0.152859079815100E+003 -0.392691622927831E+002 -0.145410403264933E+003 -0.747488458730658E+002 -0.532205832190166E+002 -0.388701697609654E+002 -0.265936961278776E+002 -0.145280047147638E+002  0.422228711564407E-001  0.154171490108048E+002  0.250954100009972E+002  0.248644680993913E+002  0.181500877709248E+002  0.103121594804666E+002  0.288081670264955E+001 -0.528355771011235E+001 -0.154386699243599E+002 -0.216883090226655E+002 -0.198383266739753E+002 -0.841917292121529E+001
  0.101800000000000E+001 -0.841917627147328E+001 -0.198383393645297E+002 -0.216883304503247E+002 -0.154386948341990E+002 -0.528357966672993E+001  0.288079749285907E+001  0.103121400353342E+002  0.181500663575121E+002  0.248644495556089E+002  0.250954070005845E+002  0.154171687884898E+002  0.422594907092321E-001 -0.145279604417897E+002 -0.265936368359090E+002 -0.388700753534565E+002 -0.532204193851390E+002 -0.747483853868985E+002 -0.145408843099497E+003 -0.392756457126827E+002  0.152855552766943E+003  0.152859079774392E+003 -0.392691624746178E+002 -0.145410403353328E+003 -0.747488459062277E+002 -0.532205832376775E+002 -0.388701697713981E+002 -0.265936961334198E+002 -0.145280047171322E+002  0.422228711618614E-001  0.154171490123676E+002  0.250954100029340E+002  0.248644681005916E+002  0.181500877709295E+002  0.103121594793490E+002  0.288081670058561E+001 -0.528355771296967E+001 -0.154386699277708E+002 -0.216883090257301E+002 -0.198383266761157E+002 -0.841917292201034E+001
  0.102000000000000E+001 -0.841917627094872E+001 -0.198383393631037E+002 -0.216883304482717E+002 -0.154386948319159E+002 -0.528357966481904E+001  0.288079749423103E+001  0.103121400360548E+002  0.181500663574582E+002  0.248644495547277E+002  0.250954069991969E+002  0.154171687873769E+002  0.422594907053733E-001 -0.145279604401052E+002 -0.265936368319665E+002 -0.388700753460336E+002 -0.532204193718599E+002 -0.747483853633051E+002 -0.145408843036597E+003 -0.392756455832544E+002  0.152855552795923E+003  0.152859079745412E+003 -0.392691626040404E+002 -0.145410403416233E+003 -0.747488459298242E+002 -0.532205832509551E+002 -0.388701697788208E+002 -0.265936961373623E+002 -0.145280047188165E+002  0.422228711657171E-001  0.154171490134805E+002  0.250954100043216E+002  0.248644681014729E+002  0.181500877709815E+002  0.103121594786292E+002  0.288081669921426E+001 -0.528355771488184E+001 -0.154386699300529E+002 -0.216883090277834E+002 -0.198383266775418E+002 -0.841917292253448E+001
