# Chordwise load of component: wing_left
# spanwise_location: -.239 ; chord_length: 0.529
# n_chord : 40 ; n_time : 150. Next lines: x_chord , z_chord
  0.870441397056144E+000  0.861386374149259E+000  0.843499271294351E+000  0.817216046359962E+000  0.783149764328448E+000  0.742108355638019E+000  0.695101760693351E+000  0.643288047164061E+000  0.587935220161035E+000  0.530389554624608E+000  0.472063778863639E+000  0.414417429788128E+000  0.358906539390424E+000  0.306926553758862E+000  0.259778998760267E+000  0.218653340147465E+000  0.184595847107115E+000  0.158812615215566E+000  0.143601457621712E+000  0.138584547876616E+000  0.138584510089919E+000  0.143601331543792E+000  0.158812428241180E+000  0.184595653336300E+000  0.218653154982543E+000  0.259778824739134E+000  0.306926392867067E+000  0.358906393130373E+000  0.414417299243586E+000  0.472063664719590E+000  0.530389457131175E+000  0.587935139101220E+000  0.643287981884788E+000  0.695101710165732E+000  0.742108318491032E+000  0.783149738869056E+000  0.817216030598300E+000  0.843499263001587E+000  0.861386370932957E+000  0.870441396409701E+000
 -0.298062248970581E-003 -0.148273352211233E-002 -0.382273921615563E-002 -0.722561379241754E-002 -0.113256417069256E-001 -0.157378109069370E-001 -0.202987637212817E-001 -0.248555671281800E-001 -0.291412006537958E-001 -0.326862181043383E-001 -0.349799722606736E-001 -0.357588231850577E-001 -0.351163612087635E-001 -0.333402097429814E-001 -0.306636683597433E-001 -0.271934485993119E-001 -0.230925647034814E-001 -0.176253198166008E-001 -0.940585117699618E-002 -0.223913352249902E-002  0.223892937502841E-002  0.940569928209764E-002  0.176252491635377E-001  0.230925360887276E-001  0.271934293726931E-001  0.306636559751502E-001  0.333402022876320E-001  0.351163576509351E-001  0.357588231204467E-001  0.349799751913935E-001  0.326862230302763E-001  0.291412063264988E-001  0.248555725364805E-001  0.202987683734349E-001  0.157378146766376E-001  0.113256445939668E-001  0.722561576661048E-002  0.382274030076988E-002  0.148273394284742E-002  0.298062333548014E-003
# t, Pres
  0.100000000000000E+001  0.278479238347047E+005  0.227805322749602E+005  0.162247975947112E+005  0.993730407595533E+004  0.497616007068550E+004  0.159200684397700E+004 -0.103936695174947E+004 -0.347359885127196E+004 -0.583360564546718E+004 -0.756613270099756E+004 -0.789530179147678E+004 -0.664048044360098E+004 -0.446097278309773E+004 -0.232690804980031E+004 -0.806439223270112E+003 -0.569232240406046E+002 -0.292744009870347E+004 -0.821536819028559E+004  0.218537582498285E+005  0.806459241658864E+005  0.806469539132643E+005  0.218548541950419E+005 -0.821532151482626E+004 -0.292751967338275E+004 -0.569290540487941E+002 -0.806437932176709E+003 -0.232690447692444E+004 -0.446096856490404E+004 -0.664047803627500E+004 -0.789530288662105E+004 -0.756613700198096E+004 -0.583361169903632E+004 -0.347360541478083E+004 -0.103937395629988E+004  0.159199861342616E+004  0.497614937565781E+004  0.993728980104323E+004  0.162247796089168E+005  0.227805126158867E+005  0.278479050639072E+005
  0.100200000000000E+001  0.340924441113369E+005  0.293653110541767E+005  0.232269264370865E+005  0.172439794520163E+005  0.123114436646809E+005  0.868376758797743E+004  0.552458603933466E+004  0.225191828786687E+004 -0.130621766625256E+004 -0.460521257393314E+004 -0.677310209408642E+004 -0.744726360733360E+004 -0.712023780098766E+004 -0.668010749682237E+004 -0.669381195898011E+004 -0.733024841169881E+004 -0.114471218832226E+005 -0.181325735777790E+005  0.104544354057331E+005  0.689959100088582E+005  0.689969344405574E+005  0.104555109353824E+005 -0.181325466317761E+005 -0.114472113869310E+005 -0.733026231520137E+004 -0.669381773456547E+004 -0.668011027559143E+004 -0.712023940983809E+004 -0.744726651372604E+004 -0.677310777643615E+004 -0.460522052253916E+004 -0.130622636540806E+004  0.225190995419728E+004  0.552457796084867E+004  0.868375887664952E+004  0.123114330772927E+005  0.172439659626064E+005  0.232269099669077E+005  0.293652935846824E+005  0.340924278940422E+005
  0.100400000000000E+001  0.340924438992208E+005  0.293653108722096E+005  0.232269262988824E+005  0.172439793601141E+005  0.123114436171566E+005  0.868376757901819E+004  0.552458606321536E+004  0.225191834002533E+004 -0.130621758942168E+004 -0.460521247619124E+004 -0.677310197974150E+004 -0.744726348007550E+004 -0.712023766216346E+004 -0.668010734439161E+004 -0.669381178712663E+004 -0.733024820935249E+004 -0.114471216171108E+005 -0.181325731662149E+005  0.104544359302503E+005  0.689959102587294E+005  0.689969341906975E+005  0.104555104108657E+005 -0.181325470433408E+005 -0.114472116530422E+005 -0.733026251754854E+004 -0.669381790641962E+004 -0.668011042802211E+004 -0.712023954866213E+004 -0.744726664098425E+004 -0.677310789078116E+004 -0.460522062028116E+004 -0.130622644223880E+004  0.225190990203865E+004  0.552457793696747E+004  0.868375888560887E+004  0.123114331248173E+005  0.172439660545083E+005  0.232269101051111E+005  0.293652937666508E+005  0.340924281061645E+005
  0.100600000000000E+001  0.340924437977956E+005  0.293653107853924E+005  0.232269262321895E+005  0.172439793135203E+005  0.123114435889650E+005  0.868376756634931E+004  0.552458606388625E+004  0.225191835285772E+004 -0.130621756495664E+004 -0.460521244074974E+004 -0.677310193446794E+004 -0.744726342605656E+004 -0.712023759946243E+004 -0.668010727135760E+004 -0.669381170004145E+004 -0.733024810146189E+004 -0.114471214685619E+005 -0.181325729282459E+005  0.104544362390535E+005  0.689959104068025E+005  0.689969340426309E+005  0.104555101020642E+005 -0.181325472813105E+005 -0.114472118015936E+005 -0.733026262543971E+004 -0.669381799350387E+004 -0.668011050105617E+004 -0.712023961136343E+004 -0.744726669500314E+004 -0.677310793605475E+004 -0.460522065572277E+004 -0.130622646670388E+004  0.225190988920645E+004  0.552457793629685E+004  0.868375889827793E+004  0.123114331530086E+005  0.172439661011014E+005  0.232269101718042E+005  0.293652938534677E+005  0.340924282075860E+005
  0.100800000000000E+001  0.340924437453864E+005  0.293653107408296E+005  0.232269261984079E+005  0.172439792905042E+005  0.123114435758379E+005  0.868376756161036E+004  0.552458606641265E+004  0.225191836208559E+004 -0.130621754921993E+004 -0.460521241875877E+004 -0.677310190675701E+004 -0.744726339314504E+004 -0.712023756129544E+004 -0.668010722687731E+004 -0.669381164694334E+004 -0.733024803557707E+004 -0.114471213777148E+005 -0.181325727825248E+005  0.104544364284320E+005  0.689959104977125E+005  0.689969339517242E+005  0.104555099126849E+005 -0.181325474270328E+005 -0.114472118924397E+005 -0.733026269132408E+004 -0.669381804660253E+004 -0.668011054553630E+004 -0.712023964953048E+004 -0.744726672791475E+004 -0.677310796376571E+004 -0.460522067771354E+004 -0.130622648244073E+004  0.225190987997817E+004  0.552457793377051E+004  0.868375890301671E+004  0.123114331661353E+005  0.172439661241186E+005  0.232269102055863E+005  0.293652938980298E+005  0.340924282599960E+005
  0.101000000000000E+001  0.340924437165421E+005  0.293653107164403E+005  0.232269261801255E+005  0.172439792783216E+005  0.123114435692795E+005  0.868376755984949E+004  0.552458606884133E+004  0.225191836842186E+004 -0.130621753903818E+004 -0.460521240482642E+004 -0.677310188933709E+004 -0.744726337250067E+004 -0.712023753735249E+004 -0.668010719895163E+004 -0.669381161357224E+004 -0.733024799412265E+004 -0.114471213204973E+005 -0.181325726906630E+005  0.104544365479462E+005  0.689959105551339E+005  0.689969338943049E+005  0.104555097931705E+005 -0.181325475188950E+005 -0.114472119496586E+005 -0.733026273277882E+004 -0.669381807997349E+004 -0.668011057346221E+004 -0.712023967347318E+004 -0.744726674855905E+004 -0.677310798118568E+004 -0.460522069164609E+004 -0.130622649262250E+004  0.225190987364221E+004  0.552457793134186E+004  0.868375890477739E+004  0.123114331726940E+005  0.172439661363010E+005  0.232269102238687E+005  0.293652939224194E+005  0.340924282888391E+005
  0.101200000000000E+001  0.340924436999099E+005  0.293653107024462E+005  0.232269261697483E+005  0.172439792715606E+005  0.123114435658626E+005  0.868376755930309E+004  0.552458607082298E+004  0.225191837278396E+004 -0.130621753230735E+004 -0.460521239575703E+004 -0.677310187806418E+004 -0.744726335916304E+004 -0.712023752188273E+004 -0.668010718089829E+004 -0.669381159198497E+004 -0.733024796728537E+004 -0.114471212834320E+005 -0.181325726311248E+005  0.104544366254722E+005  0.689959105924081E+005  0.689969338570328E+005  0.104555097156454E+005 -0.181325475784337E+005 -0.114472119867234E+005 -0.733026275961603E+004 -0.669381810156075E+004 -0.668011059151529E+004 -0.712023968894311E+004 -0.744726676189678E+004 -0.677310799245855E+004 -0.460522070071511E+004 -0.130622649935344E+004  0.225190986927990E+004  0.552457792936032E+004  0.868375890532366E+004  0.123114331761108E+005  0.172439661430622E+005  0.232269102342460E+005  0.293652939364133E+005  0.340924283054736E+005
  0.101400000000000E+001  0.340924436899421E+005  0.293653106941144E+005  0.232269261636407E+005  0.172439792676735E+005  0.123114435640384E+005  0.868376755925915E+004  0.552458607235930E+004  0.225191837582301E+004 -0.130621752775910E+004 -0.460521238970303E+004 -0.677310187057404E+004 -0.744726335031186E+004 -0.712023751161547E+004 -0.668010716891029E+004 -0.669381157764224E+004 -0.733024794944536E+004 -0.114471212587810E+005 -0.181325725915100E+005  0.104544366770912E+005  0.689959106172423E+005  0.689969338321995E+005  0.104555096640244E+005 -0.181325476180486E+005 -0.114472120113739E+005 -0.733026277745632E+004 -0.669381811590365E+004 -0.668011060350345E+004 -0.712023969921038E+004 -0.744726677074796E+004 -0.677310799994870E+004 -0.460522070676941E+004 -0.130622650390152E+004  0.225190986624094E+004  0.552457792782364E+004  0.868375890536799E+004  0.123114331779355E+005  0.172439661469494E+005  0.232269102403529E+005  0.293652939447443E+005  0.340924283154379E+005
