# Chordwise load of component: wing_left
# spanwise_location: -.239 ; chord_length: 0.529
# n_chord : 40 ; n_time : 150. Next lines: x_chord , z_chord
  0.870441397056144E+000  0.861386374149259E+000  0.843499271294351E+000  0.817216046359962E+000  0.783149764328448E+000  0.742108355638019E+000  0.695101760693351E+000  0.643288047164061E+000  0.587935220161035E+000  0.530389554624608E+000  0.472063778863639E+000  0.414417429788128E+000  0.358906539390424E+000  0.306926553758862E+000  0.259778998760267E+000  0.218653340147465E+000  0.184595847107115E+000  0.158812615215566E+000  0.143601457621712E+000  0.138584547876616E+000  0.138584510089919E+000  0.143601331543792E+000  0.158812428241180E+000  0.184595653336300E+000  0.218653154982543E+000  0.259778824739134E+000  0.306926392867067E+000  0.358906393130373E+000  0.414417299243586E+000  0.472063664719590E+000  0.530389457131175E+000  0.587935139101220E+000  0.643287981884788E+000  0.695101710165732E+000  0.742108318491032E+000  0.783149738869056E+000  0.817216030598300E+000  0.843499263001587E+000  0.861386370932957E+000  0.870441396409701E+000
 -0.298062248970581E-003 -0.148273352211233E-002 -0.382273921615563E-002 -0.722561379241754E-002 -0.113256417069256E-001 -0.157378109069370E-001 -0.202987637212817E-001 -0.248555671281800E-001 -0.291412006537958E-001 -0.326862181043383E-001 -0.349799722606736E-001 -0.357588231850577E-001 -0.351163612087635E-001 -0.333402097429814E-001 -0.306636683597433E-001 -0.271934485993119E-001 -0.230925647034814E-001 -0.176253198166008E-001 -0.940585117699618E-002 -0.223913352249902E-002  0.223892937502841E-002  0.940569928209764E-002  0.176252491635377E-001  0.230925360887276E-001  0.271934293726931E-001  0.306636559751502E-001  0.333402022876320E-001  0.351163576509351E-001  0.357588231204467E-001  0.349799751913935E-001  0.326862230302763E-001  0.291412063264988E-001  0.248555725364805E-001  0.202987683734349E-001  0.157378146766376E-001  0.113256445939668E-001  0.722561576661048E-002  0.382274030076988E-002  0.148273394284742E-002  0.298062333548014E-003
# t, dFz
  0.100000000000000E+001 -0.130016728441060E+002 -0.292970591080805E+002 -0.282837909249577E+002 -0.132098424150920E+002  0.584697935418087E+001  0.193735901137725E+002  0.288952244337842E+002  0.359988485816221E+002  0.385435643397348E+002  0.313452483325259E+002  0.151049943390975E+002  0.293210323804744E-001 -0.560252693533509E+001 -0.236610070395612E+001  0.637298852625399E+001  0.201515150268425E+002  0.316886219712348E+002  0.843614968855400E+002  0.478071449682918E+003  0.354101441016519E+003  0.152373924561547E+003 -0.443264897780783E+003 -0.395446584560426E+003 -0.175497409391900E+003 -0.120969773589658E+003 -0.904012386898328E+002 -0.654744963252540E+002 -0.383155385204629E+002  0.120071596768126E+000  0.482418429167812E+002  0.902312363402360E+002  0.109918603196853E+003  0.107964728257225E+003  0.954163240947135E+002  0.791854064177949E+002  0.588694776938745E+002  0.333117406648317E+002  0.681705030791304E+001 -0.698964943123198E+001 -0.522391234405627E+001
  0.100200000000000E+001 -0.134093699128107E+002 -0.318029673454259E+002 -0.349061147557203E+002 -0.244478013930470E+002 -0.712947799773913E+001  0.711708841744198E+001  0.195254375643047E+002  0.312165430500484E+002  0.394215745867489E+002  0.367210207933590E+002  0.205471825097897E+002  0.496736398729432E-001 -0.142885479405994E+002 -0.204143978946087E+002 -0.211603511168990E+002 -0.166441765351180E+002 -0.110657612707986E+002  0.195912020930245E+002  0.376317602183372E+003  0.300783002385652E+003  0.882615175669593E+002 -0.586073833988155E+003 -0.466905398449994E+003 -0.208521102714989E+003 -0.141070451636953E+003 -0.997770420831694E+002 -0.674605166182965E+002 -0.366557212808557E+002  0.106529712548302E+000  0.395137096403234E+002  0.672868385719652E+002  0.728457242627523E+002  0.616459179889914E+002  0.450330937520048E+002  0.279037154168215E+002  0.934443249783765E+001 -0.118754671119430E+002 -0.268518986179682E+002 -0.275822748089098E+002 -0.121769995229177E+002
  0.100400000000000E+001 -0.128734876913831E+002 -0.304406678793660E+002 -0.332195832412549E+002 -0.229541868893596E+002 -0.628574392745597E+001  0.727816535290448E+001  0.190667815635512E+002  0.302449727688314E+002  0.381443692106785E+002  0.355133972013615E+002  0.198284969159826E+002  0.476809994389677E-001 -0.135764807791922E+002 -0.190554655391424E+002 -0.190975502577222E+002 -0.136773240890990E+002 -0.680911056435591E+001  0.288071981044159E+002  0.390210000036657E+003  0.300241251852771E+003  0.782785027949123E+002 -0.615803418789623E+003 -0.480558452170588E+003 -0.214038562484345E+003 -0.144683085224980E+003 -0.102199142459919E+003 -0.690171464934604E+002 -0.374563123274187E+002  0.108733558066171E+000  0.402980176330596E+002  0.685859473489239E+002  0.741962950401954E+002  0.626446864536336E+002  0.454636906473295E+002  0.276605514863494E+002  0.837457342327179E+001 -0.135172009766989E+002 -0.286625768095050E+002 -0.290213907819896E+002 -0.127375144572488E+002
  0.100600000000000E+001 -0.126194686556307E+002 -0.297962826326732E+002 -0.324123791981905E+002 -0.222019723587621E+002 -0.578571953500404E+001  0.751561852774925E+001  0.190593287532663E+002  0.300169452025224E+002  0.377512608392798E+002  0.350878943796965E+002  0.195511807662661E+002  0.468550665767662E-001 -0.132619177884742E+002 -0.184175653577079E+002 -0.180717715958566E+002 -0.121228194751695E+002 -0.447207860122438E+001  0.340418815101638E+002  0.398156497350818E+003  0.299806536525436E+003  0.722808231493989E+002 -0.633389479187690E+003 -0.488465024175399E+003 -0.217120053470764E+003 -0.146609112768573E+003 -0.103425433280131E+003 -0.697615283786287E+002 -0.378166601853887E+002  0.109663883796062E+000  0.406059593062059E+002  0.690510429724402E+002  0.746171133167507E+002  0.628773469640652E+002  0.454507088398713E+002  0.273797635056959E+002  0.781371580929181E+001 -0.143378660514593E+002 -0.295260234415076E+002 -0.297002793813835E+002 -0.130025295796206E+002
  0.100800000000000E+001 -0.124891648800004E+002 -0.294679377974956E+002 -0.320064930712037E+002 -0.218332381980997E+002 -0.555508277820498E+001  0.760303437669994E+001  0.190131148114813E+002  0.298503356258205E+002  0.374966189555131E+002  0.348228061159981E+002  0.193809978499651E+002  0.463510043346743E-001 -0.130702768229395E+002 -0.180291097968538E+002 -0.174471014089591E+002 -0.111759531213883E+002 -0.304890497671579E+001  0.372250005045538E+002  0.402960261051047E+003  0.299502855115666E+003  0.685726845121057E+002 -0.644194136173021E+003 -0.493304255920105E+003 -0.219001210011811E+003 -0.147782376548373E+003 -0.104171058477799E+003 -0.702135739673240E+002 -0.380354119023046E+002  0.110229458892613E+000  0.407942580705180E+002  0.693400999162184E+002  0.748900441869551E+002  0.630504984834347E+002  0.454907291924321E+002  0.272746352791967E+002  0.755651272497663E+001 -0.147373055114337E+002 -0.299574353866376E+002 -0.300443113085605E+002 -0.131377954489996E+002
  0.101000000000000E+001 -0.124177833604188E+002 -0.292890880373311E+002 -0.317879061873295E+002 -0.216390728606279E+002 -0.544056569742404E+001  0.763508734698847E+001  0.189680425512889E+002  0.297355765165178E+002  0.373316559810467E+002  0.346547672684655E+002  0.192739911043720E+002  0.460348130047091E-001 -0.129500826129644E+002 -0.177853702328717E+002 -0.170549451391216E+002 -0.105812311869269E+002 -0.215495518576444E+001  0.392229519390726E+002  0.405965065534871E+003  0.299296717480546E+003  0.662200890025823E+002 -0.651021838389859E+003 -0.496354711922948E+003 -0.220185103854434E+003 -0.148519758856355E+003 -0.104639077563276E+003 -0.704970402315114E+002 -0.381725087164424E+002  0.110584069801493E+000  0.409126863636841E+002  0.695236445562873E+002  0.750677140322717E+002  0.631715199080015E+002  0.455349975503665E+002  0.272353959463176E+002  0.742983750640182E+001 -0.149461511756462E+002 -0.301884606754060E+002 -0.302308471560902E+002 -0.132115950898868E+002
  0.101200000000000E+001 -0.123767286798546E+002 -0.291867441083019E+002 -0.316641282877664E+002 -0.215315024080390E+002 -0.538100002889304E+001  0.764496365685381E+001  0.189313108584271E+002  0.296566135113120E+002  0.372226554970141E+002  0.345454275110602E+002  0.192047652819787E+002  0.458305777203621E-001 -0.128724422777000E+002 -0.176278580072861E+002 -0.168014163073320E+002 -0.101965995441343E+002 -0.157677940762862E+001  0.405145425600380E+002  0.407903590559598E+003  0.299157061099631E+003  0.646884762298039E+002 -0.655455130322841E+003 -0.498332002455876E+003 -0.220951697787802E+003 -0.148996818432442E+003 -0.104941617575736E+003 -0.706801656745433E+002 -0.382610438809264E+002  0.110813145579165E+000  0.409893661548026E+002  0.696433296713438E+002  0.751856573091326E+002  0.632557192871711E+002  0.455728383164085E+002  0.272228972691958E+002  0.736470089004725E+001 -0.150609045745358E+002 -0.303184877683429E+002 -0.303370835541283E+002 -0.132538676136706E+002
  0.101400000000000E+001 -0.123521994369903E+002 -0.291258920300480E+002 -0.315912866426794E+002 -0.214696064215017E+002 -0.534909368530159E+001  0.764581402641618E+001  0.189029392617314E+002  0.296016904559720E+002  0.371490627730833E+002  0.344724725171089E+002  0.191587800581940E+002  0.456950539579173E-001 -0.128209121903868E+002 -0.175232684925792E+002 -0.166330014558530E+002 -0.994100272205194E+001 -0.119253753164506E+001  0.413726740236764E+002  0.409190052368515E+003  0.299061501481611E+003  0.636659509166282E+002 -0.658409333819653E+003 -0.499647889879068E+003 -0.221461467941154E+003 -0.149313845112178E+003 -0.105142533444294E+003 -0.708017139026185E+002 -0.383197870037804E+002  0.110965159000828E+000  0.410403372486841E+002  0.697233243613669E+002  0.752655740142821E+002  0.633147464510941E+002  0.456028027297140E+002  0.272213665595018E+002  0.733029427911969E+001 -0.151263609804227E+002 -0.303945392424180E+002 -0.303999558650765E+002 -0.132790248163599E+002
  0.101600000000000E+001 -0.123370651666791E+002 -0.290885288557085E+002 -0.315470310736656E+002 -0.214328920232982E+002 -0.533170867666281E+001  0.764316598000664E+001  0.188813796289798E+002  0.295628998775261E+002  0.370982829797260E+002  0.344226111222728E+002  0.191274628396955E+002  0.456028273690529E-001 -0.127858338091100E+002 -0.174520344582772E+002 -0.165182466729027E+002 -0.976677711226576E+001 -0.930587090820372E+000  0.419576216691830E+002  0.410066435868285E+003  0.298995103840429E+003  0.629665503726874E+002 -0.660427177245600E+003 -0.500545738098268E+003 -0.221809060912764E+003 -0.149529886093676E+003 -0.105279362697585E+003 -0.708844465458769E+002 -0.383597533351389E+002  0.111068577168781E+000  0.410750566691445E+002  0.697780495616367E+002  0.753208430631666E+002  0.633566459482595E+002  0.456258882152157E+002  0.272241069744820E+002  0.731184155990759E+001 -0.151648544695545E+002 -0.304404763267188E+002 -0.304383911656625E+002 -0.132944896252876E+002
  0.101800000000000E+001 -0.123274583248650E+002 -0.290649299209094E+002 -0.315193867940984E+002 -0.214105522027598E+002 -0.532218518268773E+001  0.763939305825507E+001  0.188650130409693E+002  0.295350271446207E+002  0.370624826352806E+002  0.343877381005710E+002  0.191056240778894E+002  0.455385479273998E-001 -0.127613755856439E+002 -0.174023401134458E+002 -0.164381544379501E+002 -0.964512910970603E+001 -0.747656112297272E+000  0.423661061750530E+002  0.410678270519314E+003  0.298948139648275E+003  0.624769137146325E+002 -0.661838286170763E+003 -0.501173037727687E+003 -0.222051765804379E+003 -0.149680648788756E+003 -0.105374786805584E+003 -0.709421100234201E+002 -0.383875946038433E+002  0.111140603976966E+000  0.410992579830206E+002  0.698163280783522E+002  0.753598450036833E+002  0.633868308168900E+002  0.456435366480976E+002  0.272282298180233E+002  0.730190791841668E+001 -0.151880893897487E+002 -0.304690205015397E+002 -0.304625727860708E+002 -0.133042742398705E+002
  0.102000000000000E+001 -0.123212000586710E+002 -0.290496368873880E+002 -0.315016828860755E+002 -0.213966573855937E+002 -0.531701436405140E+001  0.763550293914353E+001  0.188525124373884E+002  0.295146381515920E+002  0.370367089865886E+002  0.343628033586902E+002  0.190900480579447E+002  0.454927192411662E-001 -0.127439303238762E+002 -0.173668751687557E+002 -0.163809688189730E+002 -0.955823754850915E+001 -0.616965244828206E+000  0.426579492737046E+002  0.411115369133639E+003  0.298914291912366E+003  0.621264335396600E+002 -0.662847446345983E+003 -0.501621280063019E+003 -0.222225090792576E+003 -0.149788251660606E+003 -0.105442848093453E+003 -0.709832123474633E+002 -0.384074276686895E+002  0.111191894156603E+000  0.411165010990050E+002  0.698436768811448E+002  0.753879145965107E+002  0.634089226591598E+002  0.456570495838836E+002  0.272325095103576E+002  0.729661649531711E+001 -0.152024398151075E+002 -0.304872195185449E+002 -0.304781919445360E+002 -0.133106306973085E+002
