# Chordwise load of component: wing_left
# spanwise_location: ***** ; chord_length: 0.795
# n_chord : 40 ; n_time : 150. Next lines: x_chord , z_chord
  0.112520707970651E+001  0.111940713869282E+001  0.110795005652626E+001  0.109111507379496E+001  0.106929487208258E+001  0.104300694857637E+001  0.101289819228309E+001  0.979710370975476E+000  0.944255669771531E+000  0.907396407333778E+000  0.870037467166543E+000  0.833113714711067E+000  0.797557770431873E+000  0.764263448191537E+000  0.734064403888338E+000  0.707722516456779E+000  0.685907944286237E+000  0.669393218078362E+000  0.659650137613353E+000  0.656436696753868E+000  0.656436672550659E+000  0.659650056857677E+000  0.669393098317162E+000  0.685907820171775E+000  0.707722397854580E+000  0.734064292423981E+000  0.764263345136809E+000  0.797557676749098E+000  0.833113631094421E+000  0.870037394054773E+000  0.907396344887093E+000  0.944255617850940E+000  0.979710329162667E+000  0.101289815991904E+001  0.104300692478291E+001  0.106929485577528E+001  0.109111506369927E+001  0.110795005121457E+001  0.111940713663271E+001  0.112520707929245E+001
 -0.190915415699540E-003 -0.949723380680987E-003 -0.244854841256774E-002 -0.462816430335625E-002 -0.725432221628029E-002 -0.100804134769687E-001 -0.130018039098193E-001 -0.159205365560825E-001 -0.186655789386876E-001 -0.209362404618087E-001 -0.224054403681428E-001 -0.229043114882203E-001 -0.224928004843982E-001 -0.213551364675484E-001 -0.196407529366493E-001 -0.174180009765482E-001 -0.147912947887904E-001 -0.112894043819545E-001 -0.602465422463304E-002 -0.143421419093187E-002  0.143408342999401E-002  0.602455693261502E-002  0.112893591271161E-001  0.147912764604122E-001  0.174179886614765E-001  0.196407450040455E-001  0.213551316922334E-001  0.224927982055310E-001  0.229043114468355E-001  0.224054422453333E-001  0.209362436169802E-001  0.186655825721784E-001  0.159205400202177E-001  0.130018068896256E-001  0.100804158915447E-001  0.725432406549358E-002  0.462816556787018E-002  0.244854910728699E-002  0.949723650171050E-003  0.190915469873243E-003
# t, Cp
  0.100000000000000E+001  0.443181351876883E+000  0.343407076927311E+000  0.215352509713191E+000  0.982497741603317E-001  0.136132114736924E-001 -0.365640778487729E-001 -0.715985806113374E-001 -0.104150778975214E+000 -0.137624524778287E+000 -0.162287927458576E+000 -0.163817908919995E+000 -0.137101805149078E+000 -0.895350587601974E-001 -0.305860035307418E-001  0.414998958099882E-001  0.141215921059569E+000  0.269384042029468E+000  0.542866629224103E+000  0.123891156736648E+001  0.119662661469557E+001 -0.576148083261994E+000 -0.235950551461065E+001 -0.210958511593474E+001 -0.129882232494401E+001 -0.918229975170623E+000 -0.751779268939343E+000 -0.656405687487243E+000 -0.604056714030917E+000 -0.569265666217058E+000 -0.526655293719094E+000 -0.463528842925369E+000 -0.386310198091972E+000 -0.311541065029177E+000 -0.248832128314162E+000 -0.193347521411563E+000 -0.131848441575703E+000 -0.461398019767252E-001  0.607329984509567E-001  0.173133911032994E+000  0.263051591024572E+000
  0.100200000000000E+001  0.394056675367455E+000  0.303669814091282E+000  0.187617331588742E+000  0.810569585985612E-001  0.270756668265969E-002 -0.458452149221354E-001 -0.832563412021748E-001 -0.121550574288420E+000 -0.164188017060363E+000 -0.201671141230332E+000 -0.218946026715483E+000 -0.208808720836465E+000 -0.176083430782755E+000 -0.128161290366670E+000 -0.619166472426205E-001  0.385336455503195E-001  0.177879954570616E+000  0.472310902934821E+000  0.114718863114603E+001  0.984303797841865E+000 -0.931978633738475E+000 -0.272306357999625E+001 -0.232688429237899E+001 -0.140557025536876E+001 -0.963961324026685E+000 -0.754998606134250E+000 -0.625626506570904E+000 -0.544694115272143E+000 -0.484643947899298E+000 -0.419426307230250E+000 -0.337212075319620E+000 -0.245941957493994E+000 -0.162771086422391E+000 -0.963146346103238E-001 -0.397960581450884E-001  0.217569234386598E-001  0.107639445932729E+000  0.214154558873889E+000  0.326604603299804E+000  0.417051012865839E+000
  0.100400000000000E+001  0.366993941315516E+000  0.277928543479408E+000  0.163918215273322E+000  0.600132610589460E-001 -0.152694350186657E-001 -0.607607048578199E-001 -0.951593139682000E-001 -0.130394450860378E+000 -0.169864700955726E+000 -0.204182837260148E+000 -0.218491088740411E+000 -0.205618073751175E+000 -0.170107938462153E+000 -0.118823238024624E+000 -0.480424517680429E-001  0.586940236325876E-001  0.208018483840040E+000  0.516644372775122E+000  0.117388095688939E+001  0.921260200843361E+000 -0.109522054898664E+001 -0.290086735576880E+001 -0.243288481393416E+001 -0.146204670691417E+001 -0.100006778693801E+001 -0.781439022921024E+000 -0.646466514873448E+000 -0.562119031580984E+000 -0.499683852469774E+000 -0.432361342647491E+000 -0.347997098555614E+000 -0.254580298824495E+000 -0.169449117397311E+000 -0.101261943590476E+000 -0.430869662708331E-001  0.202536591502087E-001  0.108155430520592E+000  0.216642616955947E+000  0.330861947061192E+000  0.422639467589527E+000
  0.100600000000000E+001  0.353964738486936E+000  0.265559480680304E+000  0.152513849623550E+000  0.498311130723712E-001 -0.240559051867973E-001 -0.681735328472446E-001 -0.101216494493325E+000 -0.135037460509241E+000 -0.172982419601614E+000 -0.205713560602558E+000 -0.218478665792623E+000 -0.204126597465962E+000 -0.167046036387240E+000 -0.113798553239715E+000 -0.403199579592346E-001  0.701754047511551E-001  0.225413578528491E+000  0.542194023997381E+000  0.118794173448467E+001  0.880967464184786E+000 -0.119501485735558E+001 -0.300790483024889E+001 -0.249572945428650E+001 -0.149487525264004E+001 -0.102054644884195E+001 -0.796029210266558E+000 -0.657645618249622E+000 -0.571230453792653E+000 -0.507386595400013E+000 -0.438885682885100E+000 -0.353397278577625E+000 -0.258940492911144E+000 -0.172945244181054E+000 -0.104075478685247E+000 -0.452961223292160E-001  0.186996840380194E-001  0.107377953606873E+000  0.216646091931682E+000  0.331605362552218E+000  0.423986815049161E+000
  0.100800000000000E+001  0.346615199766420E+000  0.258578014133863E+000  0.146065673689364E+000  0.440624346432548E-001 -0.290405445191825E-001 -0.723800816055700E-001 -0.104648464672070E+000 -0.137653596869631E+000 -0.174709816636338E+000 -0.206507103459079E+000 -0.218354987623860E+000 -0.203114926806253E+000 -0.165083774112483E+000 -0.110642703635834E+000 -0.355207320636963E-001  0.772625951834926E-001  0.236081590321212E+000  0.557706047416877E+000  0.119598035193475E+001  0.855245069614333E+000 -0.125727082532714E+001 -0.307416573481263E+001 -0.253440245167417E+001 -0.151497540137955E+001 -0.103302482479332E+001 -0.804875914860254E+000 -0.664390961797693E+000 -0.576702466427090E+000 -0.511993294133054E+000 -0.442776519094846E+000 -0.356617940762978E+000 -0.261554466491014E+000 -0.175067575616724E+000 -0.105821307152115E+000 -0.467189758185101E-001  0.176209568853732E-001  0.106704685048910E+000  0.216377205129318E+000  0.331723114226634E+000  0.424429023274569E+000
  0.101000000000000E+001  0.342258991021646E+000  0.254436931037846E+000  0.142234578948899E+000  0.406289938532857E-001 -0.320104506156291E-001 -0.748862581557847E-001 -0.106689626871479E+000 -0.139201458410444E+000 -0.175716500604120E+000 -0.206941034285736E+000 -0.218222016967504E+000 -0.202428833515196E+000 -0.163801984605510E+000 -0.108610646627230E+000 -0.324545520517158E-001  0.817679985559103E-001  0.242832049068680E+000  0.567456951382284E+000  0.120084029266434E+001  0.838587624293658E+000 -0.129705433331087E+001 -0.311631392138534E+001 -0.255891556430050E+001 -0.152768049245460E+001 -0.104089275291531E+001 -0.810440284418663E+000 -0.668623565788321E+000 -0.580128249923939E+000 -0.514871596138486E+000 -0.445205116465338E+000 -0.358630773115051E+000 -0.263196403269437E+000 -0.176414045192932E+000 -0.106946470331270E+000 -0.476589398055167E-001  0.168752242943980E-001  0.106186245848562E+000  0.216083496417871E+000  0.331645726983592E+000  0.424537359152607E+000
  0.101200000000000E+001  0.339577562243979E+000  0.251885677617632E+000  0.139870101958606E+000  0.385058746304379E-001 -0.338493854896967E-001 -0.764386666384662E-001 -0.107952759990640E+000 -0.140155756760552E+000 -0.176329916874614E+000 -0.207191402125285E+000 -0.218110569830562E+000 -0.201961912226817E+000 -0.162950247467077E+000 -0.107273087450794E+000 -0.304468393743215E-001  0.847082616705156E-001  0.247223746438216E+000  0.573773382003020E+000  0.120391057283499E+001  0.827599099190807E+000 -0.132309004699279E+001 -0.314381682254204E+001 -0.257487412799792E+001 -0.153593672198756E+001 -0.104599735293679E+001 -0.814044413141892E+000 -0.671360610264444E+000 -0.582339924532628E+000 -0.516727056486834E+000 -0.446769530022735E+000 -0.359928710665300E+000 -0.264259351451085E+000 -0.177292319179815E+000 -0.107688933784927E+000 -0.482902341799014E-001  0.163587121348702E-001  0.105803076145072E+000  0.215830991613643E+000  0.331519701482647E+000  0.424522216956779E+000
  0.101400000000000E+001  0.337874202034032E+000  0.250263399996566E+000  0.138363748579405E+000  0.371505397640036E-001 -0.350250752136101E-001 -0.774318196333846E-001 -0.108760407175910E+000 -0.140764158731982E+000 -0.176717154194195E+000 -0.207341721487500E+000 -0.218023269071261E+000 -0.201639660580345E+000 -0.162372466063172E+000 -0.106372047878671E+000 -0.290995929077467E-001  0.866764498940117E-001  0.250156878068300E+000  0.577979619871752E+000  0.120592243062914E+001  0.820198119851610E+000 -0.134053926598703E+001 -0.316221354588913E+001 -0.258553161210179E+001 -0.154144348266676E+001 -0.104939823633898E+001 -0.816442798680827E+000 -0.673179811801141E+000 -0.583808094308654E+000 -0.517957329515279E+000 -0.447806268271383E+000 -0.360789694040533E+000 -0.264966853130126E+000 -0.177880590494249E+000 -0.108190925693074E+000 -0.487230542605902E-001  0.159961760220561E-001  0.105521531899644E+000  0.215628035498474E+000  0.331393163520821E+000  0.424464053055322E+000
  0.101600000000000E+001  0.336760914775623E+000  0.249201978714920E+000  0.137376245459194E+000  0.362601813494657E-001 -0.357986609042203E-001 -0.780858307706533E-001 -0.109292109210185E+000 -0.141163724632350E+000 -0.176969256490530E+000 -0.207434986203497E+000 -0.217956267124690E+000 -0.201413242682977E+000 -0.161971923703429E+000 -0.105750826026874E+000 -0.281735735365782E-001  0.880266853251913E-001  0.252165612498248E+000  0.580854204758400E+000  0.120728306590116E+001  0.815103777271819E+000 -0.135251242838690E+001 -0.317481949240579E+001 -0.259282555589008E+001 -0.154520872868799E+001 -0.105172161340423E+001 -0.818079763938518E+000 -0.674420244484600E+000 -0.584808101781345E+000 -0.518794444033697E+000 -0.448511359987264E+000 -0.361375752769517E+000 -0.265449860333389E+000 -0.178284365689215E+000 -0.108538207185957E+000 -0.490259476082639E-001  0.157376373295762E-001  0.105313648332383E+000  0.215468762707386E+000  0.331281338512510E+000  0.424395570241983E+000
  0.101800000000000E+001  0.336013660260938E+000  0.248488756795638E+000  0.136711382199550E+000  0.356594675330435E-001 -0.363214430100304E-001 -0.785281955851245E-001 -0.109651691601831E+000 -0.141433363527647E+000 -0.177137997654222E+000 -0.207494476876350E+000 -0.217904897483378E+000 -0.201250981485000E+000 -0.161688055727445E+000 -0.105312579205463E+000 -0.275219829059642E-001  0.889752643248255E-001  0.253574817243332E+000  0.582867668193104E+000  0.120822961045727E+001  0.811519184228166E+000 -0.136091981019914E+001 -0.318366197670875E+001 -0.259793686295626E+001 -0.154784519882514E+001 -0.105334728544184E+001 -0.819224188857633E+000 -0.675286655659484E+000 -0.585505868689992E+000 -0.519377966936006E+000 -0.449002597317340E+000 -0.361784327175626E+000 -0.265787432830130E+000 -0.178567860277986E+000 -0.108783672090196E+000 -0.492421178307506E-001  0.155502313284662E-001  0.105158764349840E+000  0.215344698071222E+000  0.331187450904551E+000  0.424329851525645E+000
