# Chordwise load of component: right_wing
# spanwise_location: 1.000 ; chord_length: 2.454
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.595077606313723E+001  0.571096666239797E+001  0.547111880752019E+001  0.523107542902655E+001  0.499059172663972E+001  0.474959254360068E+001  0.450830350882420E+001  0.426721156656823E+001  0.402705421351816E+001  0.379821127104091E+001  0.379820969909984E+001  0.402705122844812E+001  0.426720891241986E+001  0.450830120300078E+001  0.474959059297216E+001  0.499059013393318E+001  0.523107419315620E+001  0.547111792614510E+001  0.571096613382105E+001  0.595077588694710E+001
 -0.141914751915092E-001 -0.417964076028189E-001 -0.690520053817295E-001 -0.944629252076402E-001 -0.115104054512392E+000 -0.127829298624303E+000 -0.129372667574023E+000 -0.119004514654792E+000 -0.960770475271774E-001 -0.405453579871147E-001  0.405433008145443E-001  0.960766283075047E-001  0.119004321856208E+000  0.129372617427517E+000  0.127829356424899E+000  0.115104171444874E+000  0.944630503894549E-001  0.690521079459171E-001  0.417964712589044E-001  0.141914964291703E-001
# t, dFz
  0.000000000000000E+000 -0.174118833799901E-001 -0.176791973477054E-001 -0.179247066356380E-001 -0.142832700592686E-001 -0.639718500662090E-002  0.698612724580967E-002  0.275229307403738E-001  0.505501903576877E-001  0.740571738603680E-001  0.102161354000922E+000  0.335418110556775E-001  0.400894624294023E-001  0.583189989367227E-001  0.789216545568567E-001  0.955668044220461E-001  0.103071651972648E+000  0.103118451938300E+000  0.964176902214166E-001  0.832337359669017E-001  0.704285750042071E-001
  0.500000000000000E+000  0.979876337365139E-002  0.278332982352898E-002 -0.877059331990082E-002 -0.189044667169134E-001 -0.270980393108458E-001 -0.315937102077971E-001 -0.291946640762549E-001 -0.212402347853082E-001 -0.890234261111969E-002  0.197185604186204E-001  0.848406341185826E-001  0.659547582456642E-001  0.591623997706516E-001  0.564324785528912E-001  0.508111127321437E-001  0.401300520140679E-001  0.278559143319653E-001  0.158534019488971E-001  0.510327131844297E-002  0.131827340797329E-002
  0.100000000000000E+001  0.467259200073505E-002  0.282950719040559E-003 -0.988609062054929E-002 -0.192866979570335E-001 -0.270807604951148E-001 -0.313597128467675E-001 -0.288555484480181E-001 -0.208481161580360E-001 -0.844818533358884E-002  0.201590987824910E-001  0.861337986631655E-001  0.665739822815996E-001  0.596711876367534E-001  0.568757316870184E-001  0.511425873174835E-001  0.402347511992600E-001  0.275423161710518E-001  0.147703065851055E-001  0.257833881353042E-002 -0.386266112708405E-002
  0.150000000000000E+001  0.335277805247879E-002 -0.397871564889607E-003 -0.101852205810102E-001 -0.193561940693892E-001 -0.270046818953576E-001 -0.311922070772224E-001 -0.286376280817343E-001 -0.205970279167571E-001 -0.814528489638695E-002  0.204597524499277E-001  0.870700638486090E-001  0.669946724795874E-001  0.599985622583489E-001  0.571532500783022E-001  0.513548617336057E-001  0.403359431446296E-001  0.274692276542296E-001  0.144225829553160E-001  0.177635887947621E-002 -0.543523248461467E-002
  0.200000000000000E+001  0.272947150797756E-002 -0.721746421404473E-003 -0.103215556943257E-001 -0.193723343048515E-001 -0.269387824022895E-001 -0.310707797593490E-001 -0.284831517006101E-001 -0.204183268493622E-001 -0.792653062771518E-002  0.206765703125720E-001  0.877582006482007E-001  0.672968688576071E-001  0.602281113923164E-001  0.573446864350108E-001  0.515015035669189E-001  0.404134036194839E-001  0.274473503538164E-001  0.142569549665224E-001  0.138993971908826E-002 -0.617797608720426E-002
  0.250000000000000E+001  0.236831481359953E-002 -0.904405458377424E-003 -0.103892340133663E-001 -0.193638295839451E-001 -0.268764155039333E-001 -0.309706430875260E-001 -0.283597698238486E-001 -0.202772937922805E-001 -0.775549853211759E-002  0.208428674454332E-001  0.882850847828245E-001  0.675295294284621E-001  0.604050799434691E-001  0.574929620490367E-001  0.516176813812949E-001  0.404824416865411E-001  0.274517921545325E-001  0.141719925847968E-001  0.117308149630674E-002 -0.660035822609582E-002
  0.300000000000000E+001  0.215956828669438E-002 -0.997147593288238E-003 -0.104038377524818E-001 -0.193250954467411E-001 -0.267992095864159E-001 -0.308661047410350E-001 -0.282385124029935E-001 -0.201436107593923E-001 -0.759961864502897E-002  0.209879579759982E-001  0.887297559290104E-001  0.677335669379754E-001  0.605647792562219E-001  0.576306508014768E-001  0.517313553586057E-001  0.405617445028996E-001  0.274852815170973E-001  0.141438784618922E-001  0.105713839619537E-002 -0.684689637149326E-002
  0.350000000000000E+001  0.207315449865655E-002 -0.999837994641056E-003 -0.103459753806937E-001 -0.192255437828660E-001 -0.266701849200636E-001 -0.307170277598715E-001 -0.280787116633730E-001 -0.199772423251163E-001 -0.741799573820630E-002  0.211460831281672E-001  0.891832924786717E-001  0.679581674946049E-001  0.607512394263436E-001  0.578005184361278E-001  0.518832269125578E-001  0.406872052063325E-001  0.275752586779601E-001  0.141859989249289E-001  0.103212138207061E-002 -0.696485607736575E-002
  0.400000000000000E+001  0.211877423986745E-002 -0.883374255099212E-003 -0.101722825626129E-001 -0.190124933139245E-001 -0.264304681728939E-001 -0.304606782838550E-001 -0.278161498060804E-001 -0.197137606597580E-001 -0.714415686038917E-002  0.213713179384563E-001  0.897788309699458E-001  0.682750394141790E-001  0.610270193825499E-001  0.580616050662495E-001  0.521284231261207E-001  0.409079986865040E-001  0.277627381323897E-001  0.143280345638328E-001  0.111133725531503E-002 -0.696352790426251E-002
  0.450000000000000E+001  0.215692015655829E-002 -0.797004801324869E-003 -0.100431129412437E-001 -0.188503447114343E-001 -0.262422578051934E-001 -0.302521639540990E-001 -0.275945282855921E-001 -0.194816394598471E-001 -0.688820493459193E-002  0.215914492360735E-001  0.904038447727401E-001  0.685791102809034E-001  0.612739458848011E-001  0.582834857298607E-001  0.523274695440837E-001  0.410794599764583E-001  0.279023687558145E-001  0.144297878989017E-001  0.116615054739680E-002 -0.696207685485348E-002
  0.500000000000000E+001  0.194023019988684E-002 -0.100664803832736E-002 -0.102493030727757E-001 -0.190440175132328E-001 -0.264145365539072E-001 -0.303964320493832E-001 -0.277066828430696E-001 -0.195560374670622E-001 -0.691004564740242E-002  0.216165771890910E-001  0.906152064360446E-001  0.685835418509866E-001  0.612124264049754E-001  0.581795667121404E-001  0.521892176096695E-001  0.409121216643810E-001  0.277133413358304E-001  0.142284521444314E-001  0.961847875966355E-003 -0.717368636683093E-002
  0.550000000000000E+001  0.181345842412798E-002 -0.109637536104357E-002 -0.103169206211165E-001 -0.190949465120356E-001 -0.264506264713286E-001 -0.304185448875367E-001 -0.277158437533887E-001 -0.195515151080794E-001 -0.688576315824507E-002  0.216516169517616E-001  0.907645964015476E-001  0.686255231883194E-001  0.612265660476138E-001  0.581771386827226E-001  0.521722571997115E-001  0.408801331728956E-001  0.276658133432024E-001  0.141637456683527E-001  0.874654632141579E-003 -0.729861432964367E-002
  0.600000000000000E+001  0.174455100316951E-002 -0.114026972493097E-002 -0.103448618725749E-001 -0.191111827686889E-001 -0.264571608260533E-001 -0.304166638644396E-001 -0.277068767571953E-001 -0.195355127766290E-001 -0.685919206553832E-002  0.216810365303593E-001  0.908735153481343E-001  0.686646063545016E-001  0.612494635168278E-001  0.581909625643724E-001  0.521778210859891E-001  0.408764305601187E-001  0.276517556410674E-001  0.141374213136545E-001  0.831829426059699E-003 -0.736730089035326E-002
