# Chordwise load of component: right_wing
# spanwise_location: 3.000 ; chord_length: 1.514
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.679354205692912E+001  0.664313805915763E+001  0.649270813504688E+001  0.634215298948141E+001  0.619132397942318E+001  0.604014636069891E+001  0.588866072234585E+001  0.573705124425970E+001  0.558559893833240E+001  0.543862478679265E+001  0.543718593608190E+001  0.558221442616001E+001  0.573289015258548E+001  0.588414666869496E+001  0.603568300935415E+001  0.618729421067545E+001  0.633883343234651E+001  0.649027374001411E+001  0.664166306754933E+001  0.679303660080773E+001
  0.473297205353882E-001  0.274418633852611E-001  0.776911570943493E-002 -0.108794168171674E-001 -0.270337416078049E-001 -0.391706150192473E-001 -0.457110634815172E-001 -0.463318019106202E-001 -0.407065781311870E-001 -0.180702860250646E-001  0.235329028133345E-001  0.574010871795588E-001  0.745778157344993E-001  0.855305315023910E-001  0.905682417285226E-001  0.900024767568885E-001  0.854064715821314E-001  0.783046462482063E-001  0.701729040934892E-001  0.618252186072010E-001
# t, Cp
  0.000000000000000E+000 -0.120764797366032E+000 -0.143212672220792E+000 -0.173661249001164E+000 -0.183896482532550E+000 -0.174712637164847E+000 -0.140885128352609E+000 -0.720331358486095E-001  0.177752866017697E-001  0.124070611554177E+000  0.385519565455164E+000 -0.449176801681952E+000 -0.369444155770733E+000 -0.408325012883258E+000 -0.456606818219067E+000 -0.486307461253120E+000 -0.479710011810937E+000 -0.448867074193737E+000 -0.399870989250654E+000 -0.335517312510878E+000 -0.287122643369573E+000
  0.500000000000000E+000  0.668301175347521E-001  0.372340755431909E-001 -0.198424460914330E-001 -0.712331618750261E-001 -0.114713286657893E+000 -0.142155132989622E+000 -0.138071759599696E+000 -0.106001612659966E+000 -0.461113415210824E-001  0.191670750858312E+000 -0.618180512343567E+000 -0.401415576940557E+000 -0.354786930851903E+000 -0.329452481240605E+000 -0.292330635334852E+000 -0.232358866559488E+000 -0.165612674091550E+000 -0.997580320907746E-001 -0.377055471965867E-001 -0.832999803101206E-002
  0.100000000000000E+001  0.412288369281454E-001  0.180163653208662E-001 -0.341742921015274E-001 -0.814235342217181E-001 -0.121240504171288E+000 -0.145393326265118E+000 -0.138411800541121E+000 -0.103424270192475E+000 -0.395421033136452E-001  0.207259762891905E+000 -0.656844927636463E+000 -0.412632149472547E+000 -0.360727287428789E+000 -0.332103663074804E+000 -0.291927794493260E+000 -0.228557087741148E+000 -0.158060111856317E+000 -0.879834223550916E-001 -0.209706197078892E-001  0.148324648705584E-001
  0.150000000000000E+001  0.307374897810395E-001  0.106035012859614E-001 -0.390971612397216E-001 -0.841734299041118E-001 -0.122038811488043E+000 -0.144441012116520E+000 -0.135950782119586E+000 -0.994369719315251E-001 -0.333042007470286E-001  0.218840614717052E+000 -0.685241673846863E+000 -0.421856060142445E+000 -0.366636406701705E+000 -0.336094641441950E+000 -0.294177280863369E+000 -0.228872251700606E+000 -0.156271702367959E+000 -0.838875855085451E-001 -0.142598084593228E-001  0.247749554123759E-001
  0.200000000000000E+001  0.262850050006692E-001  0.776443681982937E-002 -0.405629727521967E-001 -0.844464998524749E-001 -0.121232218083966E+000 -0.142650864289259E+000 -0.133304169067401E+000 -0.958802189831954E-001 -0.282808193147653E-001  0.227454734382737E+000 -0.706643005972839E+000 -0.429018221444607E+000 -0.371485946733174E+000 -0.339702507292034E+000 -0.296720498179568E+000 -0.230265767971315E+000 -0.156448253590349E+000 -0.827525316954101E-001 -0.116444781213898E-001  0.291395777233786E-001
  0.250000000000000E+001  0.238427576939999E-001  0.633859462904643E-002 -0.411004688611242E-001 -0.842154686775598E-001 -0.120293894788119E+000 -0.141052667636152E+000 -0.131119339083417E+000 -0.930544920923218E-001 -0.243927337613906E-001  0.233913627483605E+000 -0.722977637960715E+000 -0.434521187427892E+000 -0.375262353281239E+000 -0.342572175144049E+000 -0.298833538476918E+000 -0.231582113002462E+000 -0.156943018844539E+000 -0.823787250683529E-001 -0.102915042474178E-001  0.316210967667106E-001
  0.300000000000000E+001  0.223434207517539E-001  0.560644804818916E-002 -0.411558048749322E-001 -0.836890971937752E-001 -0.119232139461434E+000 -0.139489789701738E+000 -0.129110195440811E+000 -0.905591886151571E-001 -0.210878033976153E-001  0.239154709093583E+000 -0.736255491242234E+000 -0.439109498809671E+000 -0.378492284987384E+000 -0.345093851844532E+000 -0.300766466026243E+000 -0.232900158723563E+000 -0.157631352496841E+000 -0.824031446068488E-001 -0.956443173685510E-002  0.332046979302742E-001
  0.350000000000000E+001  0.216656115685135E-001  0.556157778013507E-002 -0.406276641355926E-001 -0.826676411814219E-001 -0.117757991058182E+000 -0.137592803616789E+000 -0.126838726026486E+000 -0.878852806897772E-001 -0.177389689162473E-001  0.244115550473427E+000 -0.748627394641378E+000 -0.443604324990921E+000 -0.381796036546963E+000 -0.347784630880855E+000 -0.302948648030085E+000 -0.234555283121764E+000 -0.158750069028492E+000 -0.829581182859306E-001 -0.948479383444478E-002  0.339863482127688E-001
  0.400000000000000E+001  0.216866518253259E-001  0.613434611084590E-002 -0.395273846153402E-001 -0.810904455513821E-001 -0.115728133432886E+000 -0.135128376485216E+000 -0.123980079747629E+000 -0.846050188383087E-001 -0.137659125335793E-001  0.249678644057157E+000 -0.762100876388657E+000 -0.448650780109302E+000 -0.385577399309262E+000 -0.350909861539340E+000 -0.305531843753248E+000 -0.236592209277331E+000 -0.160247569033263E+000 -0.839085975896675E-001 -0.984936117958451E-002  0.342341415720307E-001
  0.450000000000000E+001  0.216804534972583E-001  0.657263955166943E-002 -0.386577740616997E-001 -0.798134031099136E-001 -0.114042948699579E+000 -0.133028432553179E+000 -0.121480155956314E+000 -0.816537636100434E-001 -0.100670038757260E-001  0.255007728288901E+000 -0.775579519655451E+000 -0.453522930958895E+000 -0.389119859225762E+000 -0.353766097868105E+000 -0.307843364834224E+000 -0.238382167528026E+000 -0.161548769003971E+000 -0.847392217317465E-001 -0.101975393575010E-001  0.343812361980616E-001
