# Chordwise load of component: right_wing
# spanwise_location: 1.000 ; chord_length: 2.454
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.110077606313723E+001  0.860966662397975E+000  0.621118807520187E+000  0.381075429026545E+000  0.140591726639722E+000 -0.100407456399322E+000 -0.341696491175799E+000 -0.582788433431770E+000 -0.822945786481835E+000 -0.105178872895909E+001 -0.105179030090016E+001 -0.822948771551878E+000 -0.582791087580141E+000 -0.341698796999226E+000 -0.100409407027842E+000  0.140590133933176E+000  0.381074193156195E+000  0.621117926145095E+000  0.860966133821049E+000  0.110077588694710E+001
 -0.141914751915092E-001 -0.417964076028189E-001 -0.690520053817295E-001 -0.944629252076402E-001 -0.115104054512392E+000 -0.127829298624303E+000 -0.129372667574023E+000 -0.119004514654792E+000 -0.960770475271774E-001 -0.405453579871147E-001  0.405433008145443E-001  0.960766283075047E-001  0.119004321856208E+000  0.129372617427517E+000  0.127829356424899E+000  0.115104171444874E+000  0.944630503894549E-001  0.690521079459171E-001  0.417964712589044E-001  0.141914964291703E-001
# t, dFz
  0.000000000000000E+000 -0.136136340756153E-001 -0.147711037175661E-001 -0.158820135066422E-001 -0.131105640781961E-001 -0.610674304950796E-002  0.636147476566702E-002  0.259305612098675E-001  0.479832210641512E-001  0.705924444701731E-001  0.981474922955497E-001  0.373833852820493E-001  0.435425971167889E-001  0.610159761227791E-001  0.807295774295998E-001  0.964624232889470E-001  0.103078813512356E+000  0.102257348969863E+000  0.947033638525045E-001  0.806792219669107E-001  0.669802991206935E-001
  0.500000000000000E+000  0.117203407773598E-001  0.471844422045759E-002 -0.678293704823589E-002 -0.168623918086363E-001 -0.250141077121703E-001 -0.295055439327937E-001 -0.271776201085075E-001 -0.193482489036600E-001 -0.712131084869937E-002  0.211939296699029E-001  0.832575057683399E-001  0.641757319748200E-001  0.573606110064532E-001  0.545370426254976E-001  0.488490603205852E-001  0.381562615471244E-001  0.259060067578526E-001  0.139536719694950E-001  0.327948258404309E-002 -0.457299306178779E-003
  0.100000000000000E+001  0.659474337519384E-002  0.221994196792678E-002 -0.789717148656116E-002 -0.172439038123215E-001 -0.249955805269289E-001 -0.292688273994550E-001 -0.268338854853830E-001 -0.189493929702729E-001 -0.665763034976830E-002  0.216429782268009E-001  0.845891337735867E-001  0.648098576514441E-001  0.578791261438505E-001  0.549867584883395E-001  0.491841958318896E-001  0.382623465841146E-001  0.255926619296200E-001  0.128710643620597E-001  0.755840890829221E-003 -0.563627757241137E-002
  0.150000000000000E+001  0.527928428097722E-002  0.154087295315529E-002 -0.819590252609942E-002 -0.173132918428282E-001 -0.249187884314469E-001 -0.290993979948748E-001 -0.266126002145985E-001 -0.186932810294700E-001 -0.634730351732759E-002  0.219503978400719E-001  0.855577735708488E-001  0.652421851569687E-001  0.582134744927477E-001  0.552683130787650E-001  0.493979073306670E-001  0.383625997702090E-001  0.255168938165271E-001  0.125198566749179E-001 -0.493066727882917E-004 -0.721008533406773E-002
  0.200000000000000E+001  0.465473312953574E-002  0.121563517968489E-002 -0.833371125939183E-002 -0.173305278285668E-001 -0.248531183421135E-001 -0.289770049375790E-001 -0.264558828599183E-001 -0.185109257576098E-001 -0.612284989833716E-002  0.221724578735946E-001  0.862727193495295E-001  0.655540893376784E-001  0.584489285013498E-001  0.554632967364674E-001  0.495459837843766E-001  0.384394616031400E-001  0.254927463969782E-001  0.123508418873461E-001 -0.439611636802921E-003 -0.795681545538812E-002
  0.250000000000000E+001  0.428512657258077E-002  0.102443924979809E-002 -0.841042756352213E-002 -0.173309668751166E-001 -0.247989877266606E-001 -0.288839491212185E-001 -0.263381735073303E-001 -0.183738930856151E-001 -0.595362715656885E-002  0.223383610157819E-001  0.868115377505109E-001  0.657879114945657E-001  0.586239894522882E-001  0.556075304021036E-001  0.496562735307063E-001  0.385009793705303E-001  0.254884938739214E-001  0.122566767324100E-001 -0.665478334316574E-003 -0.838807130030823E-002
  0.300000000000000E+001  0.405162556475149E-002  0.904347631122300E-003 -0.845576400365699E-002 -0.173249386589759E-001 -0.247550206433839E-001 -0.288120086002913E-001 -0.262478411300394E-001 -0.182686379998761E-001 -0.582340681544208E-002  0.224649996920112E-001  0.872245583983219E-001  0.659666798868864E-001  0.587570849520841E-001  0.557167798231880E-001  0.497402075133415E-001  0.385500474419137E-001  0.254923227962417E-001  0.122008954339185E-001 -0.805655847786871E-003 -0.865590317177869E-002
  0.350000000000000E+001  0.389781371948091E-002  0.825899576528927E-003 -0.848332531882149E-002 -0.173165887638431E-001 -0.247194094836452E-001 -0.287557130386570E-001 -0.261774905930618E-001 -0.181865475967916E-001 -0.572165201370172E-002  0.225633336623415E-001  0.875459781726183E-001  0.661055103036929E-001  0.588599343916346E-001  0.558008967948866E-001  0.498050146046433E-001  0.385891912788800E-001  0.254992235931785E-001  0.121665905620029E-001 -0.896649788645498E-003 -0.883043497151587E-002
  0.400000000000000E+001  0.379291665032833E-002  0.772991122114612E-003 -0.850041515328130E-002 -0.173078123004226E-001 -0.246905244556882E-001 -0.287111804320944E-001 -0.261220065324803E-001 -0.181216815678876E-001 -0.564107506911022E-002  0.226408290765264E-001  0.877995451275504E-001  0.662148059854059E-001  0.589405156204554E-001  0.558665504611526E-001  0.498556556290980E-001  0.386204890234275E-001  0.255068840259365E-001  0.121448215565262E-001 -0.957927335878263E-003 -0.894869377160707E-002
  0.450000000000000E+001  0.371925779394484E-002  0.736321869693424E-003 -0.851116635073007E-002 -0.172994654801741E-001 -0.246670150176811E-001 -0.286756019410220E-001 -0.260777514785969E-001 -0.180698251401624E-001 -0.557650443521947E-002  0.227027077909011E-001  0.880020603541576E-001  0.663019034704265E-001  0.590044227856033E-001  0.559184068974430E-001  0.498956460605154E-001  0.386456046336136E-001  0.255142617144761E-001  0.121306127255455E-001 -0.100050399045626E-002 -0.903146182981710E-002
  0.500000000000000E+001  0.366624510802319E-002  0.710311929803510E-003 -0.851798481208222E-002 -0.172918858209425E-001 -0.246477857071195E-001 -0.286469073469698E-001 -0.260420834474543E-001 -0.180279244952986E-001 -0.552419667747967E-002  0.227527015047374E-001  0.881656236995479E-001  0.663720833263552E-001  0.590556699676705E-001  0.559598133219307E-001  0.499275392069297E-001  0.386658624675664E-001  0.255209449144360E-001  0.121211080254052E-001 -0.103088271079479E-002 -0.909097787139086E-002
  0.550000000000000E+001  0.362728394260846E-002  0.691495536218932E-003 -0.852230914730378E-002 -0.172851592496965E-001 -0.246319621838100E-001 -0.286235522930166E-001 -0.260130536192706E-001 -0.179937309016393E-001 -0.548139732654495E-002  0.227935269775834E-001  0.882990906889952E-001  0.664292100407749E-001  0.590971873504665E-001  0.559932121908485E-001  0.499532161306827E-001  0.386823032965660E-001  0.255268216360770E-001  0.121146159569518E-001 -0.105305397209037E-002 -0.913476203314868E-002
  0.600000000000000E+001  0.359812781964137E-002  0.677651126400041E-003 -0.852502263120001E-002 -0.172792572972275E-001 -0.246188546421233E-001 -0.286043748385928E-001 -0.259892072729868E-001 -0.179655666957993E-001 -0.544605138496594E-002  0.228271939138049E-001  0.884090363356016E-001  0.664761518978920E-001  0.591311436472313E-001  0.560204090292530E-001  0.499740761991351E-001  0.386957366250372E-001  0.255319129089245E-001  0.121101025780928E-001 -0.106955411826147E-002 -0.916760947567061E-002
