# Chordwise load of component: right_wing
# spanwise_location: 2.000 ; chord_length: 1.605
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.118973001466642E+001  0.102985231114171E+001  0.869942087215318E+000  0.709913928239394E+000  0.549628121398418E+000  0.389034509130462E+000  0.228230628219447E+000  0.674548755385555E-001 -0.929307642871859E-001 -0.247386151630362E+000 -0.247876762720755E+000 -0.940846785976121E-001  0.660363613972123E-001  0.226691883260658E+000  0.387513101138500E+000  0.548254534586220E+000  0.708782436417238E+000  0.869112312450636E+000  0.102934955433711E+001  0.118955772872795E+001
  0.103563234270819E-001 -0.783817455225018E-002 -0.257320625445131E-001 -0.424885911143609E-001 -0.564107836201052E-001 -0.657136852690857E-001 -0.685622415057279E-001 -0.645781083052980E-001 -0.533721298603098E-001 -0.228688989849972E-001  0.247302060467426E-001  0.590614857650412E-001  0.742041968852384E-001  0.821325312194145E-001  0.832297745733117E-001  0.778702631765675E-001  0.678870955540348E-001  0.550656300800754E-001  0.411048597387286E-001  0.268431946843895E-001
# t, dFz
  0.000000000000000E+000 -0.412782130428093E-002 -0.564856592346483E-002 -0.769585398892442E-002 -0.763754234759328E-002 -0.563640368574031E-002 -0.106828327116012E-002  0.716849604221840E-002  0.174924739542903E-001  0.295670949804440E-001  0.543060436095815E-001  0.548110136780034E-001  0.439765107857987E-001  0.485452982410406E-001  0.545971402707362E-001  0.583109462473124E-001  0.574911851775873E-001  0.534896708385980E-001  0.470592144333897E-001  0.387228870152386E-001  0.323053232662197E-001
  0.500000000000000E+000  0.899544570399227E-002  0.554495119951063E-002 -0.845815159747957E-003 -0.654061062389864E-002 -0.112095219154085E-001 -0.138726437383363E-001 -0.128348629909602E-001 -0.846036262810101E-002 -0.548163385084056E-003  0.246904337212642E-001  0.723257073492533E-001  0.474630020855446E-001  0.413938921113618E-001  0.382728987515201E-001  0.338584992574796E-001  0.268690614710359E-001  0.191912277508851E-001  0.117689976091179E-001  0.495436145916139E-002  0.192630044197123E-002
  0.100000000000000E+001  0.499929089570141E-002  0.284323189369108E-002 -0.260727432200306E-002 -0.758875150256538E-002 -0.117249583105666E-001 -0.139993459700669E-001 -0.126903563233089E-001 -0.810796282459891E-002  0.347686133696817E-004  0.255555864073428E-001  0.750323874811127E-001  0.484295617225417E-001  0.420096150662504E-001  0.386421201031764E-001  0.339369339987925E-001  0.265448784043468E-001  0.183270793623384E-001  0.101911276066723E-001  0.243984187774146E-002 -0.187045361320840E-002
  0.150000000000000E+001  0.389168401862243E-002  0.216515164334100E-002 -0.298322470920301E-002 -0.774316052506212E-002 -0.117086320990560E-001 -0.138503008283551E-001 -0.124437419359025E-001 -0.777602364474435E-002  0.487963176925034E-003  0.261587237733378E-001  0.769377336441893E-001  0.491319797468949E-001  0.424946384483884E-001  0.390016453534513E-001  0.341691980327881E-001  0.266152699273973E-001  0.181967879038846E-001  0.980679252753914E-002  0.171636735729913E-002 -0.306924784421001E-002
  0.200000000000000E+001  0.348187058042968E-002  0.192967755686968E-002 -0.308792126208464E-002 -0.774740935919597E-002 -0.116294739972551E-001 -0.137013642453267E-001 -0.122406450965417E-001 -0.752165689846665E-002  0.822424528384335E-003  0.265868927117492E-001  0.783107657497868E-001  0.496406581514306E-001  0.428513804375309E-001  0.392764268649641E-001  0.343674203431095E-001  0.267226344095866E-001  0.181999948712876E-001  0.968778902256235E-002  0.144218809746579E-002 -0.354869841325181E-002
  0.250000000000000E+001  0.324950077701461E-002  0.180259163107655E-002 -0.313435608850329E-002 -0.773071933756544E-002 -0.115587904028495E-001 -0.135840788374892E-001 -0.120861575079174E-001 -0.733100173775901E-002  0.107057399858905E-002  0.268979325187515E-001  0.793212328001116E-001  0.500158335345085E-001  0.431154284398500E-001  0.394815060674457E-001  0.345190764186895E-001  0.268130059669823E-001  0.182225479059644E-001  0.963336130757457E-002  0.129218007825518E-002 -0.382194599643661E-002
  0.300000000000000E+001  0.309714508940808E-002  0.172249067831576E-002 -0.315893678572038E-002 -0.771146253751090E-002 -0.115015033123540E-001 -0.134934016945363E-001 -0.119683277059331E-001 -0.718642488195037E-002  0.125777890783092E-002  0.271290683068746E-001  0.800791179772587E-001  0.502978707183142E-001  0.433142984755822E-001  0.396365394079052E-001  0.346350731485744E-001  0.268851848552350E-001  0.182472301616045E-001  0.960508301273318E-002  0.119890649477095E-002 -0.399823052295736E-002
  0.350000000000000E+001  0.299388724507611E-002  0.167026485577776E-002 -0.317177942632389E-002 -0.769290425916482E-002 -0.114553497901867E-001 -0.134226593277765E-001 -0.118772675292386E-001 -0.707513019825628E-002  0.140136126423559E-002  0.273043000252670E-001  0.806574200204518E-001  0.505135552052961E-001  0.434665976626104E-001  0.397555943164629E-001  0.347249285826347E-001  0.269428473265711E-001  0.182705917906182E-001  0.959078357623954E-002  0.113892006227632E-002 -0.411604610583943E-002
  0.400000000000000E+001  0.292245167799109E-002  0.163556525324532E-002 -0.317796045343826E-002 -0.767610266516534E-002 -0.114180911296639E-001 -0.133669178021658E-001 -0.118060266618169E-001 -0.698829508446632E-002  0.151310594583165E-002  0.274394628406920E-001  0.811054883435800E-001  0.506809509670865E-001  0.435848856538903E-001  0.398482268216662E-001  0.347952941141309E-001  0.269890502696253E-001  0.182914450739361E-001  0.958420377676207E-002  0.109945449518106E-002 -0.419675447942184E-002
  0.450000000000000E+001  0.287196478691136E-002  0.161204804679397E-002 -0.318041021952126E-002 -0.766139129048796E-002 -0.113879175181514E-001 -0.133225934628462E-001 -0.117496729399040E-001 -0.691972312981558E-002  0.160120931664621E-002  0.275452975020011E-001  0.814574118833904E-001  0.508125726704411E-001  0.436778979811746E-001  0.399211271012129E-001  0.348509196312477E-001  0.270261961545248E-001  0.183094719909862E-001  0.958181511743680E-002  0.107287466020016E-002 -0.425341040821449E-002
  0.500000000000000E+001  0.283554687704093E-002  0.159580360639792E-002 -0.318080116594499E-002 -0.764873290413460E-002 -0.113633674702452E-001 -0.132870311566819E-001 -0.117046308606376E-001 -0.686496819865890E-002  0.167149749211576E-002  0.276292781101989E-001  0.817372359852368E-001  0.509172934137286E-001  0.437518636616877E-001  0.399791060742519E-001  0.348952926505158E-001  0.270562009980326E-001  0.183247977817109E-001  0.958165733085497E-002  0.105457181775820E-002 -0.429409536329692E-002
