# Chordwise load of component: right_wing
# spanwise_location: 1.000 ; chord_length: 2.454
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.595077606313723E+001  0.571096666239797E+001  0.547111880752019E+001  0.523107542902655E+001  0.499059172663972E+001  0.474959254360068E+001  0.450830350882420E+001  0.426721156656823E+001  0.402705421351816E+001  0.379821127104091E+001  0.379820969909984E+001  0.402705122844812E+001  0.426720891241986E+001  0.450830120300078E+001  0.474959059297216E+001  0.499059013393318E+001  0.523107419315620E+001  0.547111792614510E+001  0.571096613382105E+001  0.595077588694710E+001
 -0.141914751915092E-001 -0.417964076028189E-001 -0.690520053817295E-001 -0.944629252076402E-001 -0.115104054512392E+000 -0.127829298624303E+000 -0.129372667574023E+000 -0.119004514654792E+000 -0.960770475271774E-001 -0.405453579871147E-001  0.405433008145443E-001  0.960766283075047E-001  0.119004321856208E+000  0.129372617427517E+000  0.127829356424899E+000  0.115104171444874E+000  0.944630503894549E-001  0.690521079459171E-001  0.417964712589044E-001  0.141914964291703E-001
# t, dFz
  0.000000000000000E+000  0.300666117454813E-002  0.272427611556718E-002  0.243223962207335E-002  0.153571452460924E-002  0.384847990108348E-003 -0.341031831916649E-003  0.665926056308308E-003  0.383310722972114E-002  0.104444487576054E-001  0.412940698970686E-001 -0.143136653167308E-001 -0.543209590615475E-002 -0.416012647345760E-002 -0.172246514753062E-002  0.342280202802000E-002  0.820862034953108E-002  0.113010591077739E-001  0.122390299641373E-001  0.110300103757273E-001  0.978292515586825E-002
  0.500000000000000E+000 -0.750159321859258E-003  0.876755766829807E-004  0.141800471413553E-002  0.225438417792799E-002  0.224526977708291E-002  0.115668167132614E-002 -0.650179339242233E-003 -0.156753588733143E-002 -0.134075871188114E-002  0.666711091088400E-002 -0.360943288318489E-001 -0.924687795383242E-002 -0.434460394151985E-002 -0.126127066303128E-002  0.186380687712761E-002  0.330403919670921E-002  0.324123898678267E-002  0.230525648288792E-002  0.109737182138904E-002  0.686604328057084E-003
  0.100000000000000E+001 -0.109176093255796E-003  0.391485604634398E-003  0.154715497381501E-002  0.228940156654355E-002  0.223982512084155E-002  0.114660223777583E-002 -0.641797493933072E-003 -0.153649546052228E-002 -0.127350634790049E-002  0.684080050195551E-002 -0.366827449444371E-001 -0.934083152404619E-002 -0.438542476970981E-002 -0.127226954061326E-002  0.187782751104025E-002  0.331716943101471E-002  0.321423388907491E-002  0.217996393605564E-002  0.789054334459108E-003  0.358831410714792E-004
  0.150000000000000E+001  0.557106896750884E-004  0.474851486286147E-003  0.158253344279703E-002  0.229572538230279E-002  0.223284344103548E-002  0.114008377876707E-002 -0.636661150620209E-003 -0.151712379725517E-002 -0.122911833923074E-002  0.695795073413336E-002 -0.371118024800051E-001 -0.940409305201457E-002 -0.441102725573688E-002 -0.127883669256204E-002  0.188601905107722E-002  0.332599462451198E-002  0.320685771128544E-002  0.213715701568884E-002  0.688108654602244E-003 -0.164851007381381E-003
  0.200000000000000E+001  0.134927672258698E-003  0.515514514383374E-003  0.159942982426020E-002  0.229743432713785E-002  0.222741048428250E-002  0.113552566411126E-002 -0.633088516725287E-003 -0.150347419299985E-002 -0.119716276247608E-002  0.704202706585718E-002 -0.374296636773604E-001 -0.944973513222242E-002 -0.442898044115312E-002 -0.128333994982553E-002  0.189158507943948E-002  0.333239501137638E-002  0.320436255096972E-002  0.211617202886254E-002  0.638797406513982E-003 -0.260451062765742E-003
  0.250000000000000E+001  0.181297438276219E-003  0.538759795208762E-003  0.160804761355271E-002  0.229661189218521E-002  0.222236448460745E-002  0.113179239164429E-002 -0.630242791426194E-003 -0.149270580868764E-002 -0.117214037037916E-002  0.710659080765362E-002 -0.376745383888585E-001 -0.948504414540862E-002 -0.444287747622970E-002 -0.128683941688534E-002  0.189600550782695E-002  0.333810806440763E-002  0.320481217990524E-002  0.210537633314757E-002  0.611108573502862E-003 -0.314852150494655E-003
  0.300000000000000E+001  0.208365475403782E-003  0.550748720937088E-003  0.161010855180658E-002  0.229250724862117E-002  0.221614596902589E-002  0.112791525581814E-002 -0.627460245780743E-003 -0.148254962997948E-002 -0.114943770893510E-002  0.716294918960031E-002 -0.378809473183613E-001 -0.951588925451401E-002 -0.445536079032144E-002 -0.129007424373517E-002  0.190031165070280E-002  0.334464294551760E-002  0.320848579940346E-002  0.210175266572467E-002  0.596289578536327E-003 -0.346631283955615E-003
  0.350000000000000E+001  0.220839152862992E-003  0.552470469757023E-003  0.160432740569599E-002  0.228282774147640E-002  0.220656469462161E-002  0.112277868296812E-002 -0.624035652422104E-003 -0.147069112563883E-002 -0.112445097895953E-002  0.722188260510253E-002 -0.380836196189115E-001 -0.954820436413614E-002 -0.446914106389573E-002 -0.129383093679589E-002  0.190569953618082E-002  0.335423868904987E-002  0.321751636233008E-002  0.210603963378753E-002  0.592256488173868E-003 -0.362539874002233E-003
  0.400000000000000E+001  0.211610971225532E-003  0.533565059914443E-003  0.157792699683567E-002  0.225492866021664E-002  0.218372151659764E-002  0.111178097560857E-002 -0.617182206429382E-003 -0.144830247994513E-002 -0.108083758671547E-002  0.731793173111766E-002 -0.383696838411695E-001 -0.959904841437277E-002 -0.449251966089239E-002 -0.130059878515647E-002  0.191611793259890E-002  0.337505044265320E-002  0.324181398823573E-002  0.212751733231236E-002  0.605458247094842E-003 -0.359908544013837E-003
  0.450000000000000E+001  0.206425518328832E-003  0.522356814974650E-003  0.156152809505810E-002  0.223676080881878E-002  0.216809048822326E-002  0.110386106630832E-002 -0.611990975520906E-003 -0.143035221732440E-002 -0.104301494378948E-002  0.740522928031552E-002 -0.386637589123415E-001 -0.964559167779269E-002 -0.451209812695679E-002 -0.130589733250634E-002  0.192379867106822E-002  0.338949586281665E-002  0.325769816163164E-002  0.214071443238394E-002  0.612953618522593E-003 -0.359011443856208E-003
  0.500000000000000E+001  0.236929774181831E-003  0.551962219175457E-003  0.159064639893497E-002  0.226111591139694E-002  0.218424297225424E-002  0.111009149813019E-002 -0.615016648989891E-003 -0.143719694761425E-002 -0.104790558456758E-002  0.740911455232758E-002 -0.387600040262167E-001 -0.964524144188520E-002 -0.450650087988258E-002 -0.130313527084194E-002  0.191791320857751E-002  0.337402294586008E-002  0.323425569041881E-002  0.211269559784092E-002  0.584572843716664E-003 -0.388230999671602E-003
  0.550000000000000E+001  0.253623887865094E-003  0.563407785261836E-003  0.159898916918968E-002  0.226652671689318E-002  0.218697479772212E-002  0.111079800013538E-002 -0.615148386693657E-003 -0.143658980155916E-002 -0.104389134253324E-002  0.742267897380469E-002 -0.388322237387637E-001 -0.965233611618837E-002 -0.450799956060965E-002 -0.130319580497303E-002  0.191745023883687E-002  0.337172708532366E-002  0.322934845087579E-002  0.210485746172396E-002  0.573590743145346E-003 -0.404527734641514E-003
