Time_Iter,Outer_Iter,Inner_Iter,CD       ,CL       ,CMx      ,CMy      
0,0,0,0.3177984836,1.120432832,-1.273041038,-0.2299623572
0,0,1,0.1048949686,0.4841085131,-0.5199877006,-0.03407513319
0,0,2,0.0126080982,0.2137717882,-0.2371130159,0.02629300847
0,0,3,0.01784387942,0.2505621381,-0.3065155123,-0.01159074697
0,0,4,0.04491743631,0.3645881249,-0.4340933259,-0.04525862541
0,0,5,0.06109386347,0.4401476035,-0.502424248,-0.05208940654
0,0,6,0.06369401498,0.4634848573,-0.5162666439,-0.04563980842
0,0,7,0.05941654615,0.4580319262,-0.5071034783,-0.03804819334
0,0,8,0.05361500135,0.4440832256,-0.4940915324,-0.03326535616
0,0,9,0.04905175337,0.4324038344,-0.4846958122,-0.03113949838
0,0,10,0.04661174184,0.4267241415,-0.4806690443,-0.03065782145
0,0,11,0.04647377651,0.427766567,-0.4820891684,-0.03105168716
0,0,12,0.04837271097,0.4339243341,-0.4874596176,-0.03162102059
0,0,13,0.05157723639,0.4419366138,-0.4942276875,-0.03165104561
0,0,14,0.05505457586,0.4480909348,-0.499394821,-0.03072849315
0,0,15,0.05826726545,0.4510111625,-0.5021534278,-0.02895599388
0,0,16,0.06122035552,0.4517370761,-0.5036186616,-0.02680383183
0,0,17,0.06393742564,0.4525665608,-0.5057521807,-0.02489892357
0,0,18,0.06609227221,0.4551850573,-0.5096812878,-0.02362510704
0,0,19,0.06721999534,0.4589678223,-0.5143854508,-0.02295002095
0,0,20,0.06716375741,0.4612760732,-0.5168045391,-0.02244863932
0,0,21,0.06645029214,0.4608520912,-0.5156915833,-0.02168443087
0,0,22,0.06589170179,0.459539362,-0.5136607072,-0.02080963708
0,0,23,0.06582816375,0.4586710431,-0.5124076257,-0.02009706817
0,0,24,0.06614926858,0.4585614698,-0.5122325191,-0.01969185632
0,0,25,0.06658272192,0.4587637462,-0.5123811464,-0.01952914235
0,0,26,0.06714386023,0.4588247023,-0.5122482364,-0.01950371927
0,0,27,0.06801141053,0.4591920041,-0.5126957334,-0.01980597022
