Time_Iter,Outer_Iter,Inner_Iter,CD       ,CL       
0,0,0,1.011320724,3.015900454
0,0,1,0.3340971665,1.200634107
0,0,2,0.02677825259,0.3011247642
0,0,3,-0.01009648046,0.2002940338
0,0,4,0.07224262058,0.5035212575
0,0,5,0.1395879726,0.7648422233
0,0,6,0.1673481279,0.8736968047
0,0,7,0.1617097793,0.854935092
0,0,8,0.1438935283,0.7916461473
0,0,9,0.1259933956,0.7332449292
0,0,10,0.1141774883,0.7021271343
0,0,11,0.1096557353,0.7003189949
0,0,12,0.1119878729,0.7198723175
0,0,13,0.1187182444,0.7458416243
0,0,14,0.1265296597,0.7649733712
0,0,15,0.1331387298,0.7725243326
0,0,16,0.1378467595,0.7722328367
0,0,17,0.1407848002,0.7713714808
0,0,18,0.1424354604,0.7748425997
0,0,19,0.1430851646,0.7821255614
0,0,20,0.1429201324,0.7894074879
0,0,21,0.1424989482,0.7936443993
0,0,22,0.1424913458,0.7956726156
0,0,23,0.1430664634,0.7972403045
0,0,24,0.1440063793,0.799556125
0,0,25,0.1449867122,0.8026798048
0,0,26,0.1459676073,0.8058390212
0,0,27,0.1471385169,0.8089927421
0,0,28,0.1485536593,0.8121336262
0,0,29,0.1502431221,0.8153573932
0,0,30,0.1520879374,0.8183901032
0,0,31,0.1540452005,0.821430656
0,0,32,0.1560325318,0.8243562354
0,0,33,0.1580282981,0.8272399121
0,0,34,0.1600008989,0.8299377743
0,0,35,0.1619502538,0.8324913206
0,0,36,0.1638289919,0.834810534
0,0,37,0.1656037558,0.8368777459
0,0,38,0.1672319293,0.8385969181
0,0,39,0.168699997,0.8399185575
0,0,40,0.170072417,0.840852432
0,0,41,0.1713212717,0.8412548084
0,0,42,0.1724145878,0.8410351247
0,0,43,0.1733209021,0.8401111596
0,0,44,0.1740031399,0.8383723923
0,0,45,0.1744192923,0.8356705598
0,0,46,0.1745242039,0.8318398216
0,0,47,0.1742716134,0.8267208421
0,0,48,0.1736186732,0.8201809546
0,0,49,0.1725322112,0.8121338174
0,0,50,0.1709954499,0.8025574775
0,0,51,0.1691387002,0.7921615966
0,0,52,0.1670271477,0.7811663761
0,0,53,0.1646628632,0.7693561017
0,0,54,0.1622422535,0.7575660202
0,0,55,0.1598408503,0.7460306801
0,0,56,0.1574626275,0.7345722588
0,0,57,0.155300916,0.7239911661
0,0,58,0.1534013623,0.7144238741
0,0,59,0.151811843,0.7060602442
0,0,60,0.1504556394,0.6984876727
0,0,61,0.1493494527,0.6918754551
