# Chordwise load of component: wing_left
# spanwise_location: -.778 ; chord_length: 0.689
# n_chord : 40 ; n_time : 150. Next lines: x_chord , z_chord
  0.102330080664636E+001  0.101619883287540E+001  0.100216974243350E+001  0.981555462820961E+000  0.954836828980926E+000  0.922647511401027E+000  0.885779619647194E+000  0.845141441450910E+000  0.801727489927333E+000  0.756593666250110E+000  0.710847991845381E+000  0.665635200741892E+000  0.622097278015294E+000  0.581328690418467E+000  0.544350241837110E+000  0.512094845933054E+000  0.485383105414588E+000  0.465160976933244E+000  0.453230665616697E+000  0.449295837202967E+000  0.449295807566363E+000  0.453230566732123E+000  0.465160830286769E+000  0.485382953437585E+000  0.512094700705765E+000  0.544350105350042E+000  0.581328564228912E+000  0.622097163301608E+000  0.665635098354087E+000  0.710847902320700E+000  0.756593589784726E+000  0.801727426351052E+000  0.845141390251515E+000  0.885779580017717E+000  0.922647482266156E+000  0.954836809012789E+000  0.981555450458882E+000  0.100216973592937E+001  0.101619883035281E+001  0.102330080613935E+001
 -0.233774149007956E-003 -0.116292743725352E-002 -0.299822473400289E-002 -0.566714409898076E-002 -0.888285001253841E-002 -0.123433724489560E-001 -0.159205878344043E-001 -0.194945487849215E-001 -0.228558276247309E-001 -0.256362315188205E-001 -0.274352531251551E-001 -0.280461161669552E-001 -0.275422247741443E-001 -0.261491657777216E-001 -0.240499191058869E-001 -0.213281800256537E-001 -0.181118027546668E-001 -0.138237705558130E-001 -0.737713300557829E-002 -0.175618192355873E-002  0.175602180800777E-002  0.737701387240806E-002  0.138237151416847E-001  0.181117803117383E-001  0.213281649459631E-001  0.240499093924874E-001  0.261491599303929E-001  0.275422219836926E-001  0.280461161162799E-001  0.274352554237574E-001  0.256362353822986E-001  0.228558320739066E-001  0.194945530267228E-001  0.159205914831493E-001  0.123433754055818E-001  0.888285227688287E-002  0.566714564736630E-002  0.299822558468014E-002  0.116292776724160E-002  0.233774215343151E-003
# t, dFz
  0.100000000000000E+001 -0.244824375454611E+000 -0.177342911788213E+000  0.875068579651872E+000  0.265210361213477E+001  0.415941198468119E+001  0.519593343146792E+001  0.584981400408793E+001  0.617378217088808E+001  0.583379975087630E+001  0.440393636167827E+001  0.212613973887732E+001  0.463010233608766E-002 -0.123001654287578E+001 -0.165337091094101E+001 -0.169242071915282E+001 -0.159891526314778E+001 -0.217254429263069E+001 -0.470156696432745E+001  0.112382509454740E+002  0.205685535976631E+002  0.205688959096811E+002  0.112389979698240E+002 -0.470159305491681E+001 -0.217256705877488E+001 -0.159891793128185E+001 -0.169242227389516E+001 -0.165337266900922E+001 -0.123001924825899E+001  0.462608725919570E-002  0.212613588008867E+001  0.440393451240773E+001  0.583380041790677E+001  0.617378429611988E+001  0.584981663704560E+001  0.519593637869318E+001  0.415941535653853E+001  0.265210747404369E+001  0.875071956179380E+000 -0.177340809366138E+000 -0.244823736919240E+000
  0.100200000000000E+001 -0.744690757577662E+000 -0.174204284861838E+001 -0.184982128525404E+001 -0.116870459920228E+001 -0.976435002744033E-001  0.820915484488326E+000  0.166282320946765E+001  0.249224114745708E+001  0.309689824961148E+001  0.292962517874673E+001  0.172246670123357E+001  0.455980739579487E-002 -0.151167951734735E+001 -0.264728598718328E+001 -0.367729607684155E+001 -0.478940851099456E+001 -0.650990373846958E+001 -0.124886388366795E+002 -0.232770327639509E+001  0.142531010394213E+002  0.142534188188888E+002 -0.232710413959787E+001 -0.124887680925400E+002 -0.650994278616564E+001 -0.478942183240251E+001 -0.367730407277805E+001 -0.264729140489051E+001 -0.151168394607115E+001  0.455585578757747E-002  0.172246438007873E+001  0.292962531822710E+001  0.309690026492268E+001  0.249224371762769E+001  0.166282570650765E+001  0.820917969599902E+000 -0.976408190014093E-001 -0.116870174738092E+001 -0.184981894049679E+001 -0.174204147614909E+001 -0.744690382344248E+000
  0.100400000000000E+001 -0.744690739807306E+000 -0.174204280352470E+001 -0.184982122878202E+001 -0.116870454576262E+001 -0.976434626482216E-001  0.820915506083525E+000  0.166282321682291E+001  0.249224114307975E+001  0.309689823711480E+001  0.292962516422755E+001  0.172246669174419E+001  0.455980736791629E-002 -0.151167950689264E+001 -0.264728596623594E+001 -0.367729604334481E+001 -0.478940846001209E+001 -0.650990366008958E+001 -0.124886386484474E+002 -0.232770291230094E+001  0.142531011185770E+002  0.142534187397365E+002 -0.232710450369429E+001 -0.124887682807749E+002 -0.650994286454593E+001 -0.478942188338519E+001 -0.367730410627491E+001 -0.264729142583788E+001 -0.151168395652588E+001  0.455585581543192E-002  0.172246438956811E+001  0.292962533274630E+001  0.309690027741940E+001  0.249224372200502E+001  0.166282569915233E+001  0.820917948004770E+000 -0.976408566275016E-001 -0.116870180082053E+001 -0.184981899696897E+001 -0.174204152124280E+001 -0.744690400114476E+000
  0.100600000000000E+001 -0.744690732393751E+000 -0.174204278534705E+001 -0.184982120712069E+001 -0.116870452641692E+001 -0.976434500783986E-001  0.820915512196428E+000  0.166282321718731E+001  0.249224113841752E+001  0.309689822874580E+001  0.292962515509581E+001  0.172246668577397E+001  0.455980735002667E-002 -0.151167949999250E+001 -0.264728595195552E+001 -0.367729601973580E+001 -0.478940842294119E+001 -0.650990360147266E+001 -0.124886385046583E+002 -0.232770263106650E+001  0.142531011799850E+002  0.142534186783304E+002 -0.232710478493180E+001 -0.124887684245662E+002 -0.650994292316329E+001 -0.478942192045611E+001 -0.367730412988402E+001 -0.264729144011838E+001 -0.151168396342604E+001  0.455585583330605E-002  0.172246439553834E+001  0.292962534187804E+001  0.309690028578831E+001  0.249224372666733E+001  0.166282569878803E+001  0.820917941891822E+000 -0.976408691972716E-001 -0.116870182016625E+001 -0.184981901863022E+001 -0.174204153942041E+001 -0.744690407528080E+000
  0.100800000000000E+001 -0.744690727952044E+000 -0.174204277460904E+001 -0.184982119459194E+001 -0.116870451551990E+001 -0.976434433003283E-001  0.820915515118636E+000  0.166282321664968E+001  0.249224113475805E+001  0.309689822270807E+001  0.292962514858699E+001  0.172246668149676E+001  0.455980733707413E-002 -0.151167949493576E+001 -0.264728594136329E+001 -0.367729600202858E+001 -0.478940839486777E+001 -0.650990355672138E+001 -0.124886383942321E+002 -0.232770241433822E+001  0.142531012273873E+002  0.142534186309307E+002 -0.232710500166029E+001 -0.124887685349949E+002 -0.650994296791523E+001 -0.478942194852970E+001 -0.367730414759115E+001 -0.264729145071062E+001 -0.151168396848279E+001  0.455585584624737E-002  0.172246439981553E+001  0.292962534838683E+001  0.309690029182610E+001  0.249224373032677E+001  0.166282569932546E+001  0.820917938969579E+000 -0.976408759751551E-001 -0.116870183106317E+001 -0.184981903115920E+001 -0.174204155015853E+001 -0.744690411969753E+000
  0.101000000000000E+001 -0.744690724955503E+000 -0.174204276740359E+001 -0.184982118626189E+001 -0.116870450838695E+001 -0.976434390185488E-001  0.820915516731214E+000  0.166282321584936E+001  0.249224113175278E+001  0.309689821801456E+001  0.292962514359784E+001  0.172246667822484E+001  0.455980732714332E-002 -0.151167949104547E+001 -0.264728593318766E+001 -0.367729598832311E+001 -0.478940837308774E+001 -0.650990352194025E+001 -0.124886383082958E+002 -0.232770224547885E+001  0.142531012643484E+002  0.142534185939708E+002 -0.232710517052174E+001 -0.124887686209326E+002 -0.650994300269642E+001 -0.478942197030984E+001 -0.367730416129668E+001 -0.264729145888625E+001 -0.151168397237312E+001  0.455585585616955E-002  0.172246440308745E+001  0.292962535337598E+001  0.309690029651957E+001  0.249224373333201E+001  0.166282570012596E+001  0.820917937357186E+000 -0.976408802571359E-001 -0.116870183819631E+001 -0.184981903948907E+001 -0.174204155736384E+001 -0.744690414966198E+000
  0.101200000000000E+001 -0.744690722839962E+000 -0.174204276233659E+001 -0.184982118044739E+001 -0.116870450347715E+001 -0.976434361748636E-001  0.820915517636278E+000  0.166282321499130E+001  0.249224112927059E+001  0.309689821428921E+001  0.292962513968508E+001  0.172246667566620E+001  0.455980731937275E-002 -0.151167948799660E+001 -0.264728592677088E+001 -0.367729597755370E+001 -0.478940835595817E+001 -0.650990349456894E+001 -0.124886382406363E+002 -0.232770211244534E+001  0.142531012934841E+002  0.142534185648365E+002 -0.232710530355671E+001 -0.124887686885933E+002 -0.650994303006748E+001 -0.478942198743938E+001 -0.367730417206621E+001 -0.264729146530308E+001 -0.151168397542197E+001  0.455585586393337E-002  0.172246440564609E+001  0.292962535728879E+001  0.309690030024497E+001  0.249224373581420E+001  0.166282570098402E+001  0.820917936452066E+000 -0.976408831009353E-001 -0.116870184310588E+001 -0.184981904530354E+001 -0.174204156243091E+001 -0.744690417081829E+000
  0.101400000000000E+001 -0.744690721300645E+000 -0.174204275866197E+001 -0.184982117625812E+001 -0.116870449998429E+001 -0.976434342201278E-001  0.820915518143557E+000  0.166282321417501E+001  0.249224112722732E+001  0.309689821130778E+001  0.292962513658133E+001  0.172246667364098E+001  0.455980731321919E-002 -0.151167948557925E+001 -0.264728592167765E+001 -0.367729596899893E+001 -0.478940834234273E+001 -0.650990347280579E+001 -0.124886381868252E+002 -0.232770200658683E+001  0.142531013166779E+002  0.142534185416432E+002 -0.232710540941496E+001 -0.124887687424050E+002 -0.650994305183145E+001 -0.478942200105497E+001 -0.367730418062095E+001 -0.264729147039626E+001 -0.151168397783932E+001  0.455585587008164E-002  0.172246440767130E+001  0.292962536039247E+001  0.309690030322646E+001  0.249224373785758E+001  0.166282570180028E+001  0.820917935944810E+000 -0.976408850556742E-001 -0.116870184659903E+001 -0.184981904949264E+001 -0.174204156610556E+001 -0.744690418621337E+000
  0.101600000000000E+001 -0.744690720153932E+000 -0.174204275593263E+001 -0.184982117316431E+001 -0.116870449743400E+001 -0.976434328391715E-001  0.820915518421231E+000  0.166282321343906E+001  0.249224112554628E+001  0.309689820890500E+001  0.292962513409696E+001  0.172246667202236E+001  0.455980730829835E-002 -0.151167948364410E+001 -0.264728591759652E+001 -0.367729596213966E+001 -0.478940833142078E+001 -0.650990345534286E+001 -0.124886381436401E+002 -0.232770192159652E+001  0.142531013353070E+002  0.142534185230153E+002 -0.232710549440602E+001 -0.124887687855906E+002 -0.650994306929405E+001 -0.478942201197701E+001 -0.367730418748030E+001 -0.264729147447740E+001 -0.151168397977449E+001  0.455585587499818E-002  0.172246440928991E+001  0.292962536287690E+001  0.309690030562914E+001  0.249224373953838E+001  0.166282570253632E+001  0.820917935667143E+000 -0.976408864365689E-001 -0.116870184914903E+001 -0.184981905258668E+001 -0.174204156883493E+001 -0.744690419767935E+000
  0.101800000000000E+001 -0.744690719284065E+000 -0.174204275386756E+001 -0.184982117083495E+001 -0.116870449553376E+001 -0.976434318417972E-001  0.820915518563757E+000  0.166282321279274E+001  0.249224112416164E+001  0.309689820695615E+001  0.292962513209209E+001  0.172246667071760E+001  0.455980730432935E-002 -0.151167948208171E+001 -0.264728591429888E+001 -0.367729595659390E+001 -0.478940832258674E+001 -0.650990344121594E+001 -0.124886381086990E+002 -0.232770185280714E+001  0.142531013503904E+002  0.142534185079327E+002 -0.232710556319597E+001 -0.124887688205326E+002 -0.650994308342105E+001 -0.478942202081105E+001 -0.367730419302594E+001 -0.264729147777507E+001 -0.151168398133689E+001  0.455585587896371E-002  0.172246441059468E+001  0.292962536488175E+001  0.309690030757810E+001  0.249224374092329E+001  0.166282570318247E+001  0.820917935524553E+000 -0.976408874338628E-001 -0.116870185104947E+001 -0.184981905491594E+001 -0.174204157089991E+001 -0.744690420637707E+000
  0.102000000000000E+001 -0.744690718614999E+000 -0.174204275228190E+001 -0.184982116905357E+001 -0.116870449409407E+001 -0.976434311096457E-001  0.820915518625317E+000  0.166282321223243E+001  0.249224112301641E+001  0.309689820536493E+001  0.292962513046211E+001  0.172246666965767E+001  0.455980730110326E-002 -0.151167948081058E+001 -0.264728591161390E+001 -0.367729595207621E+001 -0.478940831538797E+001 -0.650990342970211E+001 -0.124886380802162E+002 -0.232770179671320E+001  0.142531013626924E+002  0.142534184956305E+002 -0.232710561929163E+001 -0.124887688490152E+002 -0.650994309493508E+001 -0.478942202800985E+001 -0.367730419754367E+001 -0.264729148046006E+001 -0.151168398260802E+001  0.455585588218706E-002  0.172246441165462E+001  0.292962536651173E+001  0.309690030916930E+001  0.249224374206843E+001  0.166282570374282E+001  0.820917935463019E+000 -0.976408881660839E-001 -0.116870185248898E+001 -0.184981905669744E+001 -0.174204157248563E+001 -0.744690421306889E+000
