# Chordwise load of component: wing_left
# spanwise_location: -.778 ; chord_length: 0.689
# n_chord : 40 ; n_time : 150. Next lines: x_chord , z_chord
  0.102330080664636E+001  0.101619883287540E+001  0.100216974243350E+001  0.981555462820961E+000  0.954836828980926E+000  0.922647511401027E+000  0.885779619647194E+000  0.845141441450910E+000  0.801727489927333E+000  0.756593666250110E+000  0.710847991845381E+000  0.665635200741892E+000  0.622097278015294E+000  0.581328690418467E+000  0.544350241837110E+000  0.512094845933054E+000  0.485383105414588E+000  0.465160976933244E+000  0.453230665616697E+000  0.449295837202967E+000  0.449295807566363E+000  0.453230566732123E+000  0.465160830286769E+000  0.485382953437585E+000  0.512094700705765E+000  0.544350105350042E+000  0.581328564228912E+000  0.622097163301608E+000  0.665635098354087E+000  0.710847902320700E+000  0.756593589784726E+000  0.801727426351052E+000  0.845141390251515E+000  0.885779580017717E+000  0.922647482266156E+000  0.954836809012789E+000  0.981555450458882E+000  0.100216973592937E+001  0.101619883035281E+001  0.102330080613935E+001
 -0.233774149007956E-003 -0.116292743725352E-002 -0.299822473400289E-002 -0.566714409898076E-002 -0.888285001253841E-002 -0.123433724489560E-001 -0.159205878344043E-001 -0.194945487849215E-001 -0.228558276247309E-001 -0.256362315188205E-001 -0.274352531251551E-001 -0.280461161669552E-001 -0.275422247741443E-001 -0.261491657777216E-001 -0.240499191058869E-001 -0.213281800256537E-001 -0.181118027546668E-001 -0.138237705558130E-001 -0.737713300557829E-002 -0.175618192355873E-002  0.175602180800777E-002  0.737701387240806E-002  0.138237151416847E-001  0.181117803117383E-001  0.213281649459631E-001  0.240499093924874E-001  0.261491599303929E-001  0.275422219836926E-001  0.280461161162799E-001  0.274352554237574E-001  0.256362353822986E-001  0.228558320739066E-001  0.194945530267228E-001  0.159205914831493E-001  0.123433754055818E-001  0.888285227688287E-002  0.566714564736630E-002  0.299822558468014E-002  0.116292776724160E-002  0.233774215343151E-003
# t, Cp
  0.100000000000000E+001  0.820298933659717E-001  0.199760921486017E-001 -0.601283994419034E-001 -0.135861052137783E+000 -0.193154731045071E+000 -0.229439005721585E+000 -0.254075752646705E+000 -0.273119477781928E+000 -0.287257792681788E+000 -0.289948494134750E+000 -0.273306446923586E+000 -0.237094892665076E+000 -0.190621142306378E+000 -0.145897583931101E+000 -0.109410768816352E+000 -0.829326793331803E-001 -0.997335758483212E-001 -0.142638514970582E+000  0.227760337256059E+000  0.917418916462448E+000  0.917431042478354E+000  0.227773416054419E+000 -0.142637718087273E+000 -0.997343742846062E-001 -0.829326451078857E-001 -0.109410668577355E+000 -0.145897469018166E+000 -0.190621028315754E+000 -0.237094806672125E+000 -0.273306409921685E+000 -0.289948504349098E+000 -0.287257833512443E+000 -0.273119532989135E+000 -0.254075818897046E+000 -0.229439090506627E+000 -0.193154848506300E+000 -0.135861216712517E+000 -0.601286143961610E-001  0.199758496641911E-001  0.820296561449748E-001
  0.100200000000000E+001  0.249512507130856E+000  0.196223249302042E+000  0.127106942105362E+000  0.598701564183001E-001  0.453442230840943E-002 -0.362494961065572E-001 -0.722216337538234E-001 -0.110253283821501E+000 -0.152492090677172E+000 -0.192882094709336E+000 -0.221415929805234E+000 -0.233495198764924E+000 -0.234271534778523E+000 -0.233602820508988E+000 -0.237727455620437E+000 -0.248416571822628E+000 -0.298844889894719E+000 -0.378885611982434E+000 -0.471745830820081E-001  0.635731160126369E+000  0.635743156676936E+000 -0.471620139292862E-001 -0.378885314076185E+000 -0.298845943293682E+000 -0.248416745719421E+000 -0.237727536347619E+000 -0.233602866192015E+000 -0.234271565749927E+000 -0.233495242777876E+000 -0.221416003307634E+000 -0.192882191681093E+000 -0.152492194150960E+000 -0.110253381855359E+000 -0.722217285335315E-001 -0.362495986767283E-001  0.453429687695779E-002  0.598699956682705E-001  0.127106744932320E+000  0.196223039028121E+000  0.249512310606029E+000
  0.100400000000000E+001  0.249512501176810E+000  0.196223244222705E+000  0.127106938224996E+000  0.598701536807056E-001  0.453442056112146E-002 -0.362494970601483E-001 -0.722216340732879E-001 -0.110253283627856E+000 -0.152492090061834E+000 -0.192882093753417E+000 -0.221415928585415E+000 -0.233495197337340E+000 -0.234271533158313E+000 -0.233602818660545E+000 -0.237727453454962E+000 -0.248416569178274E+000 -0.298844886296591E+000 -0.378885606271765E+000 -0.471745757030637E-001  0.635731163656955E+000  0.635743153146514E+000 -0.471620213082098E-001 -0.378885319786877E+000 -0.298845946891816E+000 -0.248416748363780E+000 -0.237727538513099E+000 -0.233602868040457E+000 -0.234271567370137E+000 -0.233495244205462E+000 -0.221416004527455E+000 -0.192882192637014E+000 -0.152492194766300E+000 -0.110253382049004E+000 -0.722217282140644E-001 -0.362495977231402E-001  0.453429862424125E-002  0.598699984058614E-001  0.127106748812695E+000  0.196223044107460E+000  0.249512316560031E+000
  0.100600000000000E+001  0.249512498692863E+000  0.196223242175182E+000  0.127106936736580E+000  0.598701526896690E-001  0.453441997740293E-002 -0.362494973300794E-001 -0.722216340891160E-001 -0.110253283421606E+000 -0.152492089649743E+000 -0.192882093152197E+000 -0.221415927817969E+000 -0.233495196421262E+000 -0.234271532088970E+000 -0.233602817400407E+000 -0.237727451928702E+000 -0.248416567255484E+000 -0.298844883605710E+000 -0.378885601909429E+000 -0.471745700034033E-001  0.635731166395940E+000  0.635743150407625E+000 -0.471620270078810E-001 -0.378885324149232E+000 -0.298845949582709E+000 -0.248416750286567E+000 -0.237727540039362E+000 -0.233602869300599E+000 -0.234271568439481E+000 -0.233495245121540E+000 -0.221416005294904E+000 -0.192882193238233E+000 -0.152492195178386E+000 -0.110253382255257E+000 -0.722217281982410E-001 -0.362495974532073E-001  0.453429920795720E-002  0.598699993968991E-001  0.127106750301105E+000  0.196223046154979E+000  0.249512319043994E+000
  0.100800000000000E+001  0.249512497204648E+000  0.196223240965656E+000  0.127106935875692E+000  0.598701521314392E-001  0.453441966264242E-002 -0.362494974591170E-001 -0.722216340657655E-001 -0.110253283259717E+000 -0.152492089352445E+000 -0.192882092723667E+000 -0.221415927268152E+000 -0.233495195757999E+000 -0.234271531305304E+000 -0.233602816465724E+000 -0.237727450783977E+000 -0.248416565799374E+000 -0.298844881551349E+000 -0.378885598559269E+000 -0.471745656110623E-001  0.635731168510225E+000  0.635743148293459E+000 -0.471620314001864E-001 -0.378885327499427E+000 -0.298845951637096E+000 -0.248416751742683E+000 -0.237727541184079E+000 -0.233602870235282E+000 -0.234271569223145E+000 -0.233495245784804E+000 -0.221416005844720E+000 -0.192882193666761E+000 -0.152492195475688E+000 -0.110253382417145E+000 -0.722217282215824E-001 -0.362495973241681E-001  0.453429952270897E-002  0.598699999551236E-001  0.127106751162009E+000  0.196223047364515E+000  0.249512320532197E+000
  0.101000000000000E+001  0.249512496200643E+000  0.196223240154038E+000  0.127106935303310E+000  0.598701517660348E-001  0.453441946380489E-002 -0.362494975303246E-001 -0.722216340310057E-001 -0.110253283126769E+000 -0.152492089121335E+000 -0.192882092395190E+000 -0.221415926847561E+000 -0.233495195249470E+000 -0.234271530702410E+000 -0.233602815744287E+000 -0.237727449897955E+000 -0.248416564669689E+000 -0.298844879954679E+000 -0.378885595952096E+000 -0.471745621888606E-001  0.635731170158805E+000  0.635743146644944E+000 -0.471620348223992E-001 -0.378885330106614E+000 -0.298845953233765E+000 -0.248416752872371E+000 -0.237727542070104E+000 -0.233602870956717E+000 -0.234271569826044E+000 -0.233495246293332E+000 -0.221416006265312E+000 -0.192882193995240E+000 -0.152492195706796E+000 -0.110253382550092E+000 -0.722217282563506E-001 -0.362495972529687E-001  0.453429972155580E-002  0.598700003205378E-001  0.127106751734379E+000  0.196223048176119E+000  0.249512321536169E+000
  0.101200000000000E+001  0.249512495491821E+000  0.196223239583293E+000  0.127106934903778E+000  0.598701515145166E-001  0.453441933174968E-002 -0.362494975702901E-001 -0.722216339937373E-001 -0.110253283016960E+000 -0.152492088937898E+000 -0.192882092137580E+000 -0.221415926518658E+000 -0.233495194851560E+000 -0.234271530229914E+000 -0.233602815178055E+000 -0.237727449201741E+000 -0.248416563781214E+000 -0.298844878698166E+000 -0.378885593899414E+000 -0.471745594927266E-001  0.635731171458345E+000  0.635743145345466E+000 -0.471620375185385E-001 -0.378885332159312E+000 -0.298845954490263E+000 -0.248416753760842E+000 -0.237727542766325E+000 -0.233602871522952E+000 -0.234271570298535E+000 -0.233495246691241E+000 -0.221416006594214E+000 -0.192882194252853E+000 -0.152492195890235E+000 -0.110253382659901E+000 -0.722217282936188E-001 -0.362495972130008E-001  0.453429985361629E-002  0.598700005720441E-001  0.127106752133908E+000  0.196223048746871E+000  0.249512322245021E+000
  0.101400000000000E+001  0.249512494976066E+000  0.196223239169386E+000  0.127106934615920E+000  0.598701513355853E-001  0.453441924097555E-002 -0.362494975926903E-001 -0.722216339582834E-001 -0.110253282926569E+000 -0.152492088791092E+000 -0.192882091933234E+000 -0.221415926258325E+000 -0.233495194536454E+000 -0.234271529855286E+000 -0.233602814728616E+000 -0.237727448648698E+000 -0.248416563075010E+000 -0.298844877699102E+000 -0.378885592266868E+000 -0.471745573473368E-001  0.635731172492859E+000  0.635743144310979E+000 -0.471620396639035E-001 -0.378885333791854E+000 -0.298845955489362E+000 -0.248416754467053E+000 -0.237727543319365E+000 -0.233602871972386E+000 -0.234271570673162E+000 -0.233495247006349E+000 -0.221416006854546E+000 -0.192882194457194E+000 -0.152492196037044E+000 -0.110253382750297E+000 -0.722217283290713E-001 -0.362495971906015E-001  0.453429994439055E-002  0.598700007509900E-001  0.127106752421754E+000  0.196223049160781E+000  0.249512322760840E+000
  0.101600000000000E+001  0.249512494591855E+000  0.196223238861954E+000  0.127106934403335E+000  0.598701512049400E-001  0.453441917684661E-002 -0.362494976049518E-001 -0.722216339263189E-001 -0.110253282852202E+000 -0.152492088672779E+000 -0.192882091769667E+000 -0.221415926050258E+000 -0.233495194284471E+000 -0.234271529555388E+000 -0.233602814368488E+000 -0.237727448205264E+000 -0.248416562508511E+000 -0.298844876897446E+000 -0.378885590956702E+000 -0.471745556248741E-001  0.635731173323770E+000  0.635743143480121E+000 -0.471620413863660E-001 -0.378885335102024E+000 -0.298845956291001E+000 -0.248416755033555E+000 -0.237727543762803E+000 -0.233602872332515E+000 -0.234271570973063E+000 -0.233495247258330E+000 -0.221416007062612E+000 -0.192882194620765E+000 -0.152492196155352E+000 -0.110253382824653E+000 -0.722217283610397E-001 -0.362495971783404E-001  0.453430000851661E-002  0.598700008816207E-001  0.127106752634354E+000  0.196223049468216E+000  0.249512323145013E+000
  0.101800000000000E+001  0.249512494300402E+000  0.196223238629345E+000  0.127106934243279E+000  0.598701511075950E-001  0.453441913053047E-002 -0.362494976112455E-001 -0.722216338982474E-001 -0.110253282790947E+000 -0.152492088576817E+000 -0.192882091637669E+000 -0.221415925882537E+000 -0.233495194081230E+000 -0.234271529313257E+000 -0.233602814077496E+000 -0.237727447846745E+000 -0.248416562050308E+000 -0.298844876248932E+000 -0.378885589896644E+000 -0.471745542307487E-001  0.635731173996537E+000  0.635743142807397E+000 -0.471620427804902E-001 -0.378885336162097E+000 -0.298845956939517E+000 -0.248416755491757E+000 -0.237727544121313E+000 -0.233602872623508E+000 -0.234271571215195E+000 -0.233495247461570E+000 -0.221416007230335E+000 -0.192882194752762E+000 -0.152492196251319E+000 -0.110253382885919E+000 -0.722217283891039E-001 -0.362495971720439E-001  0.453430005482901E-002  0.598700009789757E-001  0.127106752794405E+000  0.196223049700815E+000  0.249512323436434E+000
  0.102000000000000E+001  0.249512494076228E+000  0.196223238450737E+000  0.127106934120874E+000  0.598701510338427E-001  0.453441909653077E-002 -0.362494976139638E-001 -0.722216338739118E-001 -0.110253282740284E+000 -0.152492088498465E+000 -0.192882091530354E+000 -0.221415925746287E+000 -0.233495193916031E+000 -0.234271529116265E+000 -0.233602813840567E+000 -0.237727447554689E+000 -0.248416561676923E+000 -0.298844875720376E+000 -0.378885589032520E+000 -0.471745530939166E-001  0.635731174545246E+000  0.635743142258681E+000 -0.471620439173469E-001 -0.378885337026207E+000 -0.298845957468081E+000 -0.248416755865144E+000 -0.237727544413372E+000 -0.233602872860437E+000 -0.234271571412185E+000 -0.233495247626772E+000 -0.221416007366586E+000 -0.192882194860077E+000 -0.152492196329670E+000 -0.110253382936579E+000 -0.722217284134412E-001 -0.362495971693266E-001  0.453430008883194E-002  0.598700010527185E-001  0.127106752916817E+000  0.196223049879429E+000  0.249512323660646E+000
