# Chordwise load of component: right_wing
# spanwise_location: 3.000 ; chord_length: 1.514
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.194354205692912E+001  0.179313805915763E+001  0.164270813504688E+001  0.149215298948141E+001  0.134132397942318E+001  0.119014636069891E+001  0.103866072234585E+001  0.887051244259697E+000  0.735598938332405E+000  0.588624786792652E+000  0.587185936081897E+000  0.732214426160011E+000  0.882890152585483E+000  0.103414666869496E+001  0.118568300935415E+001  0.133729421067545E+001  0.148883343234651E+001  0.164027374001411E+001  0.179166306754933E+001  0.194303660080773E+001
  0.473297205353882E-001  0.274418633852611E-001  0.776911570943493E-002 -0.108794168171674E-001 -0.270337416078049E-001 -0.391706150192473E-001 -0.457110634815172E-001 -0.463318019106202E-001 -0.407065781311870E-001 -0.180702860250646E-001  0.235329028133345E-001  0.574010871795588E-001  0.745778157344993E-001  0.855305315023910E-001  0.905682417285226E-001  0.900024767568885E-001  0.854064715821314E-001  0.783046462482063E-001  0.701729040934892E-001  0.618252186072010E-001
# t, dFz
  0.000000000000000E+000  0.647822111791523E-003  0.965211865264225E-003  0.136271425992023E-002  0.140047241710768E-002  0.111338301334569E-002  0.578883071581777E-003  0.732676473897677E-004  0.617589934109854E-004  0.813566012259714E-003  0.868450750730921E-002 -0.110261897103272E-001 -0.398096926209051E-002 -0.293940183033785E-002 -0.198747101091757E-002 -0.476995605776730E-003  0.753450955778974E-003  0.143864516213715E-002  0.160375397292305E-002  0.132173145786771E-002  0.108348852625360E-002
  0.500000000000000E+000 -0.953512509489401E-003 -0.597606813657284E-003  0.724021189541488E-004  0.610890483215965E-003  0.881213490375156E-003  0.751707146082021E-003  0.253243014644924E-003 -0.120247120886987E-003 -0.201460328982661E-003  0.422516559999282E-002 -0.159951913813370E-001 -0.459974727272079E-002 -0.269625882684803E-002 -0.150403879257051E-002 -0.299280999626385E-003  0.378352686355405E-003  0.542105121407685E-003  0.387909492996939E-003  0.973294150931612E-004 -0.471385041977676E-004
  0.100000000000000E+001 -0.659662400771890E-003 -0.379781775194774E-003  0.231770470057793E-003  0.713298940089161E-003  0.934729609290821E-003  0.769454375777643E-003  0.253955601620605E-003 -0.117299769460176E-003 -0.168867519316735E-003  0.453894458146000E-002 -0.169482158233430E-001 -0.472058310703301E-002 -0.273762228523254E-002 -0.151415758233757E-002 -0.298430658499823E-003  0.371269910545344E-003  0.514158688373449E-003  0.332476034003112E-003  0.162404495832565E-004 -0.161337379035745E-003
  0.150000000000000E+001 -0.541413297201725E-003 -0.297034669307681E-003  0.285949634989944E-003  0.740952016676998E-003  0.941650171682328E-003  0.764732240460549E-003  0.249568911278188E-003 -0.112778077929177E-003 -0.138298992659885E-003  0.476991761539035E-002 -0.176401682393879E-001 -0.481943797007728E-002 -0.277919690916654E-002 -0.153071430951994E-002 -0.300413270020924E-003  0.371318603757358E-003  0.507039396570652E-003  0.313003365054080E-003 -0.160556994360829E-004 -0.209664332247178E-003
  0.200000000000000E+001 -0.492213337352252E-003 -0.265988797245031E-003  0.301723793285047E-003  0.743658015984949E-003  0.935315965244140E-003  0.755341973914506E-003  0.244788625841586E-003 -0.108737361379672E-003 -0.113737064937465E-003  0.494117670143331E-002 -0.181569472777404E-001 -0.489578027364401E-002 -0.281331591198353E-002 -0.154585524079631E-002 -0.302776723732505E-003  0.373288719355419E-003  0.507027410467463E-003  0.307236111800510E-003 -0.287807961228684E-004 -0.230817150766275E-003
  0.250000000000000E+001 -0.465426276938279E-003 -0.250423114553075E-003  0.307634758345494E-003  0.741666026939818E-003  0.928176392024472E-003  0.747166771759432E-003  0.240927102465431E-003 -0.105590884844309E-003 -0.950432469835974E-004  0.506807260291077E-002 -0.185454871562711E-001 -0.495343552245312E-002 -0.283938202305912E-002 -0.155765783468069E-002 -0.304703729576424E-003  0.375136873730638E-003  0.508140719375475E-003  0.304921757618371E-003 -0.355786573980786E-004 -0.242949237280939E-003
  0.300000000000000E+001 -0.446800947402980E-003 -0.239932674163459E-003  0.311144981808931E-003  0.739544014181869E-003  0.922435691935603E-003  0.740829141337793E-003  0.237966068907857E-003 -0.103192181260486E-003 -0.808679527626744E-004  0.516297658452082E-002 -0.188397862285024E-001 -0.499711701831647E-002 -0.285915759265128E-002 -0.156662579225318E-002 -0.306175100595208E-003  0.376575236333570E-003  0.509129229797894E-003  0.303464183723282E-003 -0.403057599675351E-004 -0.251575277280120E-003
  0.350000000000000E+001 -0.432987323351675E-003 -0.232298049808434E-003  0.313535650868134E-003  0.737737902064919E-003  0.917950392568643E-003  0.735941823321705E-003  0.235689646836147E-003 -0.101351229560908E-003 -0.700192348873426E-004  0.523486458059720E-002 -0.190648628049423E-001 -0.503055738840114E-002 -0.287431018494831E-002 -0.157349977903002E-002 -0.307304860987889E-003  0.377690119882037E-003  0.509941574510541E-003  0.302462527813471E-003 -0.437653118966983E-004 -0.257990639694914E-003
  0.400000000000000E+001 -0.422766014999219E-003 -0.226764162053836E-003  0.315122509717758E-003  0.736183690107509E-003  0.914403339929873E-003  0.732131379381300E-003  0.233921108727355E-003 -0.999233520992295E-004 -0.616245488197112E-004  0.529002927811142E-002 -0.192388055975528E-001 -0.505644141833933E-002 -0.288605272741446E-002 -0.157883282085879E-002 -0.308184291707085E-003  0.378569532604214E-003  0.510630949252416E-003  0.301808733160136E-003 -0.462661485555376E-004 -0.262724340704717E-003
  0.450000000000000E+001 -0.415222634252129E-003 -0.222769758181479E-003  0.316139873120714E-003  0.734839534038715E-003  0.911569012584284E-003  0.729130274976728E-003  0.232533337419842E-003 -0.988045129435986E-004 -0.550589300909200E-004  0.533288618581508E-002 -0.193746433524204E-001 -0.507668780274640E-002 -0.289524721568833E-002 -0.158301377234820E-002 -0.308876343218409E-003  0.379271361607021E-003  0.511222041301248E-003  0.301403312837240E-003 -0.480619134015699E-004 -0.266203662440869E-003
  0.500000000000000E+001 -0.409629002808082E-003 -0.219874463166424E-003  0.316774509529450E-003  0.733683256584084E-003  0.909287472951914E-003  0.726745660890850E-003  0.231434193168985E-003 -0.979192785658549E-004 -0.498710309270883E-004  0.536656884898227E-002 -0.194818083937915E-001 -0.509268330761157E-002 -0.290251619306514E-002 -0.158632221380140E-002 -0.309425806851488E-003  0.379835701455225E-003  0.511727166169646E-003  0.301163086578628E-003 -0.493558132592878E-004 -0.268772820297706E-003
  0.550000000000000E+001 -0.405446238801598E-003 -0.217758917039680E-003  0.317157677836505E-003  0.732693913008002E-003  0.907438607217883E-003  0.724834850937910E-003  0.230555781111738E-003 -0.972122646593181E-004 -0.457312514916479E-004  0.539333056706833E-002 -0.195671869526796E-001 -0.510544204394937E-002 -0.290831612203758E-002 -0.158896347679779E-002 -0.309865657652078E-003  0.380292389112073E-003  0.512156753077699E-003  0.301029153751556E-003 -0.502956675172668E-004 -0.270686441068676E-003
  0.600000000000000E+001 -0.402288655344065E-003 -0.216199226626642E-003  0.317376651032631E-003  0.731849565529907E-003  0.905930078528585E-003  0.723290854313503E-003  0.229847548478940E-003 -0.966424120199745E-004 -0.423964610715745E-004  0.541481240003167E-002 -0.196358531261036E-001 -0.511571319401918E-002 -0.291298534674298E-002 -0.159109028939853E-002 -0.310220591075044E-003  0.380664306040740E-003  0.512521093632331E-003  0.300962566118884E-003 -0.509848824192511E-004 -0.272126173038522E-003
