# Chordwise load of component: wing_left
# spanwise_location: -.239 ; chord_length: 0.529
# n_chord : 40 ; n_time : 150. Next lines: x_chord , z_chord
  0.870441397056144E+000  0.861386374149259E+000  0.843499271294351E+000  0.817216046359962E+000  0.783149764328448E+000  0.742108355638019E+000  0.695101760693351E+000  0.643288047164061E+000  0.587935220161035E+000  0.530389554624608E+000  0.472063778863639E+000  0.414417429788128E+000  0.358906539390424E+000  0.306926553758862E+000  0.259778998760267E+000  0.218653340147465E+000  0.184595847107115E+000  0.158812615215566E+000  0.143601457621712E+000  0.138584547876616E+000  0.138584510089919E+000  0.143601331543792E+000  0.158812428241180E+000  0.184595653336300E+000  0.218653154982543E+000  0.259778824739134E+000  0.306926392867067E+000  0.358906393130373E+000  0.414417299243586E+000  0.472063664719590E+000  0.530389457131175E+000  0.587935139101220E+000  0.643287981884788E+000  0.695101710165732E+000  0.742108318491032E+000  0.783149738869056E+000  0.817216030598300E+000  0.843499263001587E+000  0.861386370932957E+000  0.870441396409701E+000
 -0.298062248970581E-003 -0.148273352211233E-002 -0.382273921615563E-002 -0.722561379241754E-002 -0.113256417069256E-001 -0.157378109069370E-001 -0.202987637212817E-001 -0.248555671281800E-001 -0.291412006537958E-001 -0.326862181043383E-001 -0.349799722606736E-001 -0.357588231850577E-001 -0.351163612087635E-001 -0.333402097429814E-001 -0.306636683597433E-001 -0.271934485993119E-001 -0.230925647034814E-001 -0.176253198166008E-001 -0.940585117699618E-002 -0.223913352249902E-002  0.223892937502841E-002  0.940569928209764E-002  0.176252491635377E-001  0.230925360887276E-001  0.271934293726931E-001  0.306636559751502E-001  0.333402022876320E-001  0.351163576509351E-001  0.357588231204467E-001  0.349799751913935E-001  0.326862230302763E-001  0.291412063264988E-001  0.248555725364805E-001  0.202987683734349E-001  0.157378146766376E-001  0.113256445939668E-001  0.722561576661048E-002  0.382274030076988E-002  0.148273394284742E-002  0.298062333548014E-003
# t, Cp
  0.100000000000000E+001  0.301697915941452E+000  0.200323392099878E+000  0.691741659533529E-001 -0.566088239944363E-001 -0.155857837084134E+000 -0.223558727753375E+000 -0.276200064513310E+000 -0.324897524897939E+000 -0.372110092192912E+000 -0.406769759445050E+000 -0.413354875163318E+000 -0.388251838394325E+000 -0.344650204558136E+000 -0.301957668638131E+000 -0.271540282989483E+000 -0.256546014905458E+000 -0.313971472937918E+000 -0.419757889099460E+000  0.181783029785504E+000  0.135793603771601E+001  0.135795663808779E+001  0.181804954462698E+000 -0.419756955344409E+000 -0.313973064850666E+000 -0.256546131536332E+000 -0.271540257160814E+000 -0.301957597161794E+000 -0.344650120172042E+000 -0.388251790235125E+000 -0.413354897071972E+000 -0.406769845487373E+000 -0.372110213296182E+000 -0.324897656202690E+000 -0.276200204641215E+000 -0.223558892407746E+000 -0.155858051041024E+000 -0.566091095678718E-001  0.691738061427236E-001  0.200322998814855E+000  0.301697540426627E+000
  0.100200000000000E+001  0.426621214683844E+000  0.332053653216472E+000  0.209253626737892E+000  0.895631716723988E-001 -0.911352636390947E-002 -0.816861567974307E-001 -0.144886428859867E+000 -0.210357022770997E+000 -0.281538484448023E+000 -0.347535760162543E+000 -0.390904969992809E+000 -0.404391751425028E+000 -0.397849512679243E+000 -0.389044588195520E+000 -0.389318749627367E+000 -0.402050831131057E+000 -0.484409986323866E+000 -0.618154236045051E+000 -0.462634733931061E-001  0.112487438775425E+001  0.112489488178446E+001 -0.462419571347330E-001 -0.618153696983054E+000 -0.484411776869497E+000 -0.402051109274345E+000 -0.389318865169497E+000 -0.389044643785539E+000 -0.397849544864726E+000 -0.404391809568186E+000 -0.390905083669735E+000 -0.347535919176533E+000 -0.281538658476956E+000 -0.210357189488286E+000 -0.144886590472140E+000 -0.816863310698761E-001 -0.911373816744364E-002  0.895629018131451E-001  0.209253297247561E+000  0.332053303734565E+000  0.426620890252525E+000
  0.100400000000000E+001  0.426621210440404E+000  0.332053649576173E+000  0.209253623973082E+000  0.895631698338702E-001 -0.911352731464658E-002 -0.816861569766627E-001 -0.144886428382127E+000 -0.210357021727553E+000 -0.281538482911000E+000 -0.347535758207190E+000 -0.390904967705308E+000 -0.404391748879196E+000 -0.397849509902027E+000 -0.389044585146102E+000 -0.389318746189392E+000 -0.402050827083064E+000 -0.484409981000228E+000 -0.618154227811601E+000 -0.462634628999994E-001  0.112487439275299E+001  0.112489487678595E+001 -0.462419676278306E-001 -0.618153705216516E+000 -0.484411782193122E+000 -0.402051113322354E+000 -0.389318868607485E+000 -0.389044646834955E+000 -0.397849547641938E+000 -0.404391812114021E+000 -0.390905085957238E+000 -0.347535921131888E+000 -0.281538660013975E+000 -0.210357190531733E+000 -0.144886590949890E+000 -0.816863308906419E-001 -0.911373721670156E-002  0.895629036516667E-001  0.209253300012356E+000  0.332053307374892E+000  0.426620894496089E+000
  0.100600000000000E+001  0.426621208411366E+000  0.332053647839372E+000  0.209253622638874E+000  0.895631689017495E-001 -0.911352787862708E-002 -0.816861572301070E-001 -0.144886428368705E+000 -0.210357021470837E+000 -0.281538482421571E+000 -0.347535757498174E+000 -0.390904966799598E+000 -0.404391747798532E+000 -0.397849508647677E+000 -0.389044583685037E+000 -0.389318744447229E+000 -0.402050824924684E+000 -0.484409978028468E+000 -0.618154223050968E+000 -0.462634567223084E-001  0.112487439571523E+001  0.112489487382384E+001 -0.462419738054867E-001 -0.618153709977163E+000 -0.484411785164933E+000 -0.402051115480746E+000 -0.389318870349629E+000 -0.389044648296021E+000 -0.397849548896294E+000 -0.404391813194683E+000 -0.390905086862948E+000 -0.347535921840907E+000 -0.281538660503406E+000 -0.210357190788445E+000 -0.144886590963306E+000 -0.816863306371940E-001 -0.911373665272580E-002  0.895629045837732E-001  0.209253301346570E+000  0.332053309111687E+000  0.426620896525053E+000
  0.100800000000000E+001  0.426621207362907E+000  0.332053646947879E+000  0.209253621963064E+000  0.895631684413062E-001 -0.911352814123690E-002 -0.816861573249109E-001 -0.144886428318164E+000 -0.210357021286231E+000 -0.281538482106753E+000 -0.347535757058238E+000 -0.390904966245234E+000 -0.404391747140129E+000 -0.397849507884136E+000 -0.389044582795197E+000 -0.389318743384988E+000 -0.402050823606641E+000 -0.484409976211048E+000 -0.618154220135778E+000 -0.462634529337411E-001  0.112487439753391E+001  0.112489487200522E+001 -0.462419775940709E-001 -0.618153712892376E+000 -0.484411786982335E+000 -0.402051116798780E+000 -0.389318871411882E+000 -0.389044649185858E+000 -0.397849549659836E+000 -0.404391813853089E+000 -0.390905087417313E+000 -0.347535922280838E+000 -0.281538660818225E+000 -0.210357190973059E+000 -0.144886591013846E+000 -0.816863305423934E-001 -0.911373639012340E-002  0.895629050442386E-001  0.209253302022389E+000  0.332053310003163E+000  0.426620897573528E+000
  0.101000000000000E+001  0.426621206785869E+000  0.332053646459966E+000  0.209253621597319E+000  0.895631681975892E-001 -0.911352827243960E-002 -0.816861573601376E-001 -0.144886428269578E+000 -0.210357021159472E+000 -0.281538481903065E+000 -0.347535756779518E+000 -0.390904965896744E+000 -0.404391746727132E+000 -0.397849507405151E+000 -0.389044582236536E+000 -0.389318742717390E+000 -0.402050822777334E+000 -0.484409975066395E+000 -0.618154218298057E+000 -0.462634505428263E-001  0.112487439868264E+001  0.112489487085654E+001 -0.462419799849876E-001 -0.618153714730105E+000 -0.484411788127013E+000 -0.402051117628094E+000 -0.389318872079477E+000 -0.389044649744523E+000 -0.397849550138816E+000 -0.404391814266084E+000 -0.390905087765804E+000 -0.347535922559563E+000 -0.281538661021914E+000 -0.210357191099812E+000 -0.144886591062432E+000 -0.816863305071704E-001 -0.911373625891563E-002  0.895629052879515E-001  0.209253302388134E+000  0.332053310491085E+000  0.426620898150542E+000
  0.101200000000000E+001  0.426621206453136E+000  0.332053646180010E+000  0.209253621389721E+000  0.895631680623331E-001 -0.911352834079702E-002 -0.816861573710685E-001 -0.144886428229934E+000 -0.210357021072207E+000 -0.281538481768413E+000 -0.347535756598083E+000 -0.390904965671226E+000 -0.404391746460310E+000 -0.397849507095674E+000 -0.389044581875374E+000 -0.389318742285531E+000 -0.402050822240447E+000 -0.484409974324895E+000 -0.618154217106980E+000 -0.462634489918980E-001  0.112487439942832E+001  0.112489487011090E+001 -0.462419815358979E-001 -0.618153715921193E+000 -0.484411788868504E+000 -0.402051118164979E+000 -0.389318872511336E+000 -0.389044650105680E+000 -0.397849550448297E+000 -0.404391814532909E+000 -0.390905087991321E+000 -0.347535922740991E+000 -0.281538661156569E+000 -0.210357191187081E+000 -0.144886591102073E+000 -0.816863304962423E-001 -0.911373619056030E-002  0.895629054232116E-001  0.209253302595734E+000  0.332053310771037E+000  0.426620898483320E+000
  0.101400000000000E+001  0.426621206253727E+000  0.332053646013329E+000  0.209253621267537E+000  0.895631679845704E-001 -0.911352837728929E-002 -0.816861573719475E-001 -0.144886428199200E+000 -0.210357021011410E+000 -0.281538481677424E+000 -0.347535756476971E+000 -0.390904965521384E+000 -0.404391746283239E+000 -0.397849506890274E+000 -0.389044581635551E+000 -0.389318741998601E+000 -0.402050821883553E+000 -0.484409973831745E+000 -0.618154216314475E+000 -0.462634479592461E-001  0.112487439992514E+001  0.112489486961410E+001 -0.462419825685893E-001 -0.618153716713698E+000 -0.484411789361645E+000 -0.402051118521879E+000 -0.389318872798269E+000 -0.389044650345506E+000 -0.397849550653696E+000 -0.404391814709979E+000 -0.390905088141164E+000 -0.347535922862109E+000 -0.281538661247554E+000 -0.210357191247876E+000 -0.144886591132815E+000 -0.816863304953553E-001 -0.911373615405740E-002  0.895629055009757E-001  0.209253302717905E+000  0.332053310937700E+000  0.426620898682659E+000
  0.101600000000000E+001  0.426621206131108E+000  0.332053645911257E+000  0.209253621193443E+000  0.895631679385262E-001 -0.911352839708373E-002 -0.816861573689239E-001 -0.144886428175778E+000 -0.210357020968433E+000 -0.281538481614618E+000 -0.347535756394186E+000 -0.390904965419349E+000 -0.404391746162776E+000 -0.397849506750508E+000 -0.389044581472273E+000 -0.389318741803143E+000 -0.402050821640300E+000 -0.484409973495490E+000 -0.618154215773886E+000 -0.462634472543676E-001  0.112487440026442E+001  0.112489486927487E+001 -0.462419832734116E-001 -0.618153717254297E+000 -0.484411789697920E+000 -0.402051118765129E+000 -0.389318872993721E+000 -0.389044650508785E+000 -0.397849550793464E+000 -0.404391814830440E+000 -0.390905088243197E+000 -0.347535922944894E+000 -0.281538661310363E+000 -0.210357191290849E+000 -0.144886591156231E+000 -0.816863304983849E-001 -0.911373613426892E-002  0.895629055470125E-001  0.209253302792016E+000  0.332053311039796E+000  0.426620898805266E+000
  0.101800000000000E+001  0.426621206053251E+000  0.332053645846735E+000  0.209253621147165E+000  0.895631679105706E-001 -0.911352840786516E-002 -0.816861573646899E-001 -0.144886428158002E+000 -0.210357020937552E+000 -0.281538481570349E+000 -0.347535756336315E+000 -0.390904965348242E+000 -0.404391746078877E+000 -0.397849506653127E+000 -0.389044581358454E+000 -0.389318741666818E+000 -0.402050821470540E+000 -0.484409973260754E+000 -0.618154215396370E+000 -0.462634467618381E-001  0.112487440050162E+001  0.112489486903762E+001 -0.462419837659671E-001 -0.618153717631808E+000 -0.484411789932655E+000 -0.402051118934884E+000 -0.389318873130052E+000 -0.389044650622602E+000 -0.397849550890843E+000 -0.404391814914341E+000 -0.390905088314306E+000 -0.347535923002768E+000 -0.281538661354630E+000 -0.210357191321730E+000 -0.144886591174014E+000 -0.816863305026135E-001 -0.911373612347558E-002  0.895629055749592E-001  0.209253302838278E+000  0.332053311104330E+000  0.426620898883163E+000
  0.102000000000000E+001  0.426621206002605E+000  0.332053645804970E+000  0.209253621117578E+000  0.895631678932375E-001 -0.911352841368186E-002 -0.816861573603468E-001 -0.144886428144419E+000 -0.210357020914976E+000 -0.281538481538508E+000 -0.347535756294974E+000 -0.390904965297578E+000 -0.404391746019127E+000 -0.397849506583753E+000 -0.389044581277322E+000 -0.389318741569588E+000 -0.402050821349398E+000 -0.484409973093147E+000 -0.618154215126736E+000 -0.462634464098897E-001  0.112487440067123E+001  0.112489486886805E+001 -0.462419841179195E-001 -0.618153717901449E+000 -0.484411790100236E+000 -0.402051119056020E+000 -0.389318873227285E+000 -0.389044650703740E+000 -0.397849550960218E+000 -0.404391814974091E+000 -0.390905088364970E+000 -0.347535923044103E+000 -0.281538661386470E+000 -0.210357191344308E+000 -0.144886591187589E+000 -0.816863305069643E-001 -0.911373611767017E-002  0.895629055923071E-001  0.209253302867861E+000  0.332053311146075E+000  0.426620898933841E+000
