# Chordwise load of component: right_wing
# spanwise_location: 3.000 ; chord_length: 1.514
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.679354205692912E+001  0.664313805915763E+001  0.649270813504688E+001  0.634215298948141E+001  0.619132397942318E+001  0.604014636069891E+001  0.588866072234585E+001  0.573705124425970E+001  0.558559893833240E+001  0.543862478679265E+001  0.543718593608190E+001  0.558221442616001E+001  0.573289015258548E+001  0.588414666869496E+001  0.603568300935415E+001  0.618729421067545E+001  0.633883343234651E+001  0.649027374001411E+001  0.664166306754933E+001  0.679303660080773E+001
  0.473297205353882E-001  0.274418633852611E-001  0.776911570943493E-002 -0.108794168171674E-001 -0.270337416078049E-001 -0.391706150192473E-001 -0.457110634815172E-001 -0.463318019106202E-001 -0.407065781311870E-001 -0.180702860250646E-001  0.235329028133345E-001  0.574010871795588E-001  0.745778157344993E-001  0.855305315023910E-001  0.905682417285226E-001  0.900024767568885E-001  0.854064715821314E-001  0.783046462482063E-001  0.701729040934892E-001  0.618252186072010E-001
# t, dFz
  0.000000000000000E+000  0.135681610553483E-002  0.162569302547739E-002  0.197546055764809E-002  0.191531306739562E-002  0.149615204783876E-002  0.805017164339632E-003  0.139631575143749E-003  0.282788222358249E-004  0.705040896732593E-003  0.850728260598243E-002 -0.124896464379798E-001 -0.453099817869418E-002 -0.332603581411898E-002 -0.223916496270752E-002 -0.537722961877198E-003  0.856373163393376E-003  0.166129958966202E-002  0.190065403759125E-002  0.163845527034809E-002  0.142009418311703E-002
  0.500000000000000E+000 -0.829677224227041E-003 -0.465461604693203E-003  0.220584454657508E-003  0.757896005133762E-003  0.100843530155149E-002  0.838071364000659E-003  0.281852129315278E-003 -0.136524341515724E-003 -0.259628733440733E-003  0.417227553565180E-002 -0.173551236532792E-001 -0.497694973144442E-002 -0.291659380306657E-002 -0.162818048953224E-002 -0.325401684895979E-003  0.417067985837401E-003  0.614845684725821E-003  0.472326896077309E-003  0.176209630009672E-003  0.291725960878464E-004
  0.100000000000000E+001 -0.522518615502012E-003 -0.237346355799178E-003  0.387915059465452E-003  0.865681768278138E-003  0.106482867180515E-002  0.856708511147720E-003  0.282527487761380E-003 -0.133315087953258E-003 -0.224405770300552E-003  0.450546859820917E-002 -0.184067808543301E-001 -0.511049221170281E-002 -0.296293764135891E-002 -0.164015477852678E-002 -0.324758797484113E-003  0.409978227845199E-003  0.586189267932089E-003  0.415086921716015E-003  0.922744032435090E-004 -0.892278728903677E-004
  0.150000000000000E+001 -0.397742971096296E-003 -0.150068007211849E-003  0.444984687291190E-003  0.894628662911445E-003  0.107176452889997E-002  0.851334548089223E-003  0.277710863778220E-003 -0.128385252468900E-003 -0.191191532382189E-003  0.475167986490146E-002 -0.191742047665840E-001 -0.521991400701093E-002 -0.300917698037606E-002 -0.165877061767529E-002 -0.327064818668269E-003  0.410314716591057E-003  0.579169178699012E-003  0.395083600578156E-003  0.587059671267088E-004 -0.139758468254747E-003
  0.200000000000000E+001 -0.345416128051903E-003 -0.117105139360168E-003  0.461642088960974E-003  0.897309045366621E-003  0.106476643304880E-002  0.841091382557864E-003  0.272508681336664E-003 -0.123990722363546E-003 -0.164494176244398E-003  0.493439832798576E-002 -0.197494818584284E-001 -0.530453926556340E-002 -0.304705489257712E-002 -0.167564685372363E-002 -0.329725049068952E-003  0.412609704868820E-003  0.579512448779727E-003  0.389352996221201E-003  0.455482406613376E-004 -0.161920102681135E-003
  0.250000000000000E+001 -0.317149270836424E-003 -0.100917547645363E-003  0.467415174587751E-003  0.894582762120586E-003  0.105655200258699E-002  0.831894633880953E-003  0.268199821236269E-003 -0.120497115263342E-003 -0.143839306208112E-003  0.507128987003681E-002 -0.201869926562985E-001 -0.536939314109344E-002 -0.307650746069956E-002 -0.168907245073543E-002 -0.331944684824735E-003  0.414811256510143E-003  0.581118859178739E-003  0.387358891936958E-003  0.387271238526260E-004 -0.174485150657452E-003
  0.300000000000000E+001 -0.300145473074608E-003 -0.929509981790368E-004  0.467537312208997E-003  0.888683818516685E-003  0.104721022560833E-002  0.822848142443528E-003  0.264216709855079E-003 -0.117400840104007E-003 -0.126233451743976E-003  0.518259211087011E-002 -0.205426479409639E-001 -0.542357282543592E-002 -0.310179038746103E-002 -0.170093725065895E-002 -0.333994448486143E-003  0.417053702013011E-003  0.583512545971083E-003  0.387348024759936E-003  0.350753327155610E-004 -0.182448188321711E-003
  0.350000000000000E+001 -0.292572334025486E-003 -0.927229696944414E-004  0.461267240912601E-003  0.877930228067443E-003  0.103461243599009E-002  0.812076054667066E-003  0.259777578721123E-003 -0.114119141383715E-003 -0.108531861374018E-003  0.528744182569947E-002 -0.208728053981566E-001 -0.547639837714500E-002 -0.312750331314718E-002 -0.171351558121042E-002 -0.336292850633700E-003  0.419852355172699E-003  0.587411461138474E-003  0.389764866956141E-003  0.345239175787978E-004 -0.186459466760947E-003
  0.400000000000000E+001 -0.292978497431011E-003 -0.994615573078042E-004  0.448655659369220E-003  0.861605181782644E-003  0.101747339310343E-002  0.798221957432543E-003  0.254243574030990E-003 -0.110122420677567E-003 -0.876785068406417E-004  0.540435154639807E-002 -0.212317043782326E-001 -0.553578287616240E-002 -0.315703736875408E-002 -0.172821011976255E-002 -0.339035685987746E-003  0.423349809233087E-003  0.592763037709067E-003  0.394145666669037E-003  0.362469144593238E-004 -0.187700503560630E-003
  0.450000000000000E+001 -0.293251324868154E-003 -0.104849906814797E-003  0.438441701015777E-003  0.848143090963450E-003  0.100302712696207E-002  0.786259500865691E-003  0.249345881679076E-003 -0.106486940880419E-003 -0.680837069541320E-004  0.551724190566538E-002 -0.215917680446250E-001 -0.559333381837194E-002 -0.318482462248830E-002 -0.174170043510348E-002 -0.341500824471058E-003  0.426437598488006E-003  0.597434185096543E-003  0.397991476498890E-003  0.379044801346711E-004 -0.188438465348430E-003
  0.500000000000000E+001 -0.274776268690822E-003 -0.889930362575776E-004  0.452338449849038E-003  0.859096817461135E-003  0.101024558118708E-002  0.789610646910844E-003  0.249911385554987E-003 -0.106358089216082E-003 -0.640829944692947E-004  0.556068985545754E-002 -0.217689376472469E-001 -0.561123597966559E-002 -0.318921097361355E-002 -0.174192521428835E-002 -0.341156541175410E-003  0.425348203164102E-003  0.594287440767566E-003  0.393037079119125E-003  0.319037765842673E-004 -0.195784819340608E-003
  0.550000000000000E+001 -0.261318559990432E-003 -0.793088706497555E-004  0.459091350441105E-003  0.863030092329808E-003  0.101172931077891E-002  0.789440413630065E-003  0.249459969720333E-003 -0.105789974217863E-003 -0.597179018082249E-004  0.559354708827630E-002 -0.218917387439888E-001 -0.562704904467212E-002 -0.319529283583276E-002 -0.174413552241854E-002 -0.341392277381869E-003  0.425316076963287E-003  0.593384302072206E-003  0.390776533766439E-003  0.282798953090798E-004 -0.201162591526134E-003
