# Chordwise load of component: right_wing
# spanwise_location: 2.000 ; chord_length: 1.605
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.118973001466642E+001  0.102985231114171E+001  0.869942087215318E+000  0.709913928239394E+000  0.549628121398418E+000  0.389034509130462E+000  0.228230628219447E+000  0.674548755385555E-001 -0.929307642871859E-001 -0.247386151630362E+000 -0.247876762720755E+000 -0.940846785976121E-001  0.660363613972123E-001  0.226691883260658E+000  0.387513101138500E+000  0.548254534586220E+000  0.708782436417238E+000  0.869112312450636E+000  0.102934955433711E+001  0.118955772872795E+001
  0.103563234270819E-001 -0.783817455225018E-002 -0.257320625445131E-001 -0.424885911143609E-001 -0.564107836201052E-001 -0.657136852690857E-001 -0.685622415057279E-001 -0.645781083052980E-001 -0.533721298603098E-001 -0.228688989849972E-001  0.247302060467426E-001  0.590614857650412E-001  0.742041968852384E-001  0.821325312194145E-001  0.832297745733117E-001  0.778702631765675E-001  0.678870955540348E-001  0.550656300800754E-001  0.411048597387286E-001  0.268431946843895E-001
# t, Pres
  0.000000000000000E+000  0.101324965272896E+006  0.101324957491987E+006  0.101324946636601E+006  0.101324949368494E+006  0.101324964334628E+006  0.101324995231855E+006  0.101325048783193E+006  0.101325115320169E+006  0.101325193481698E+006  0.101325376740110E+006  0.101324592688412E+006  0.101324703029783E+006  0.101324676662705E+006  0.101324639325836E+006  0.101324616247383E+006  0.101324621399327E+006  0.101324646688465E+006  0.101324687597749E+006  0.101324740695492E+006  0.101324781304545E+006
  0.500000000000000E+000  0.101325055604437E+006  0.101325033837621E+006  0.101324993602787E+006  0.101324958102338E+006  0.101324929387769E+006  0.101324913532836E+006  0.101324920895810E+006  0.101324949249147E+006  0.101325000457664E+006  0.101325173289122E+006  0.101324471213173E+006  0.101324684895156E+006  0.101324727748261E+006  0.101324749357510E+006  0.101324778254482E+006  0.101324823002709E+006  0.101324872063077E+006  0.101324919575691E+006  0.101324963183992E+006  0.101324982609491E+006
  0.100000000000000E+001  0.101325029232483E+006  0.101325016074668E+006  0.101324982191095E+006  0.101324951592500E+006  0.101324926580375E+006  0.101324913443555E+006  0.101324922701847E+006  0.101324952509522E+006  0.101325005357806E+006  0.101325180280909E+006  0.101324447534217E+006  0.101324676783939E+006  0.101324722309229E+006  0.101324745706376E+006  0.101324776663050E+006  0.101324824235686E+006  0.101324877042986E+006  0.101324929441095E+006  0.101324979350258E+006  0.101325007274314E+006
  0.150000000000000E+001  0.101325021902821E+006  0.101325011673193E+006  0.101324979899673E+006  0.101324950891748E+006  0.101324927131250E+006  0.101324914982560E+006  0.101324924975485E+006  0.101324955437273E+006  0.101325009236804E+006  0.101325185350572E+006  0.101324429768264E+006  0.101324670643897E+006  0.101324717995152E+006  0.101324742402679E+006  0.101324774344307E+006  0.101324823137745E+006  0.101324877424112E+006  0.101324931649214E+006  0.101324983928749E+006  0.101325015095790E+006
  0.200000000000000E+001  0.101325019090669E+006  0.101325010108446E+006  0.101324979307048E+006  0.101324951077940E+006  0.101324927982278E+006  0.101324916401062E+006  0.101324926842655E+006  0.101324957737841E+006  0.101325012220659E+006  0.101325189108649E+006  0.101324416131266E+006  0.101324665940642E+006  0.101324714668882E+006  0.101324739795613E+006  0.101324772383467E+006  0.101324821920637E+006  0.101324877037133E+006  0.101324932207009E+006  0.101324985638048E+006  0.101325018273287E+006
  0.250000000000000E+001  0.101325017413679E+006  0.101325009225017E+006  0.101324979058323E+006  0.101324951351242E+006  0.101324928716054E+006  0.101324917541164E+006  0.101324928314350E+006  0.101324959538911E+006  0.101325014546927E+006  0.101325191968483E+006  0.101324405482309E+006  0.101324662282920E+006  0.101324712088075E+006  0.101324737770599E+006  0.101324770842961E+006  0.101324820917856E+006  0.101324876612698E+006  0.101324932417459E+006  0.101324986599949E+006  0.101325020163981E+006
  0.300000000000000E+001  0.101325016251557E+006  0.101325008637667E+006  0.101324978933988E+006  0.101324951613062E+006  0.101324929323929E+006  0.101324918459828E+006  0.101324929491593E+006  0.101324960976288E+006  0.101325016398619E+006  0.101325194199921E+006  0.101324396997597E+006  0.101324659368670E+006  0.101324710031642E+006  0.101324736154332E+006  0.101324769603861E+006  0.101324820088084E+006  0.101324876213900E+006  0.101324932482616E+006  0.101324987205312E+006  0.101325021428115E+006
  0.350000000000000E+001  0.101325015426446E+006  0.101325008241297E+006  0.101324978885830E+006  0.101324951859126E+006  0.101324929837182E+006  0.101324919216479E+006  0.101324930453881E+006  0.101324962147578E+006  0.101325017902767E+006  0.101325195981814E+006  0.101324390112868E+006  0.101324657001942E+006  0.101324708360391E+006  0.101324734838220E+006  0.101324768587931E+006  0.101324819392145E+006  0.101324875849159E+006  0.101324932468710E+006  0.101324987593830E+006  0.101325022301183E+006
  0.400000000000000E+001  0.101325014827887E+006  0.101325007968971E+006  0.101324978880852E+006  0.101324952083018E+006  0.101324930271620E+006  0.101324919845299E+006  0.101324931249267E+006  0.101324963113920E+006  0.101325019141441E+006  0.101325197429525E+006  0.101324384445872E+006  0.101324655054261E+006  0.101324706985671E+006  0.101324733755049E+006  0.101324767748319E+006  0.101324818808059E+006  0.101324875525501E+006  0.101324932416823E+006  0.101324987849186E+006  0.101325022922033E+006
  0.450000000000000E+001  0.101325014382290E+006  0.101325007777142E+006  0.101324978898737E+006  0.101324952282638E+006  0.101324930640406E+006  0.101324920372147E+006  0.101324931913275E+006  0.101324963919921E+006  0.101325020173597E+006  0.101325198622779E+006  0.101324379724589E+006  0.101324653432936E+006  0.101324705842610E+006  0.101324732854801E+006  0.101324767048938E+006  0.101324818316494E+006  0.101324875242896E+006  0.101324932349392E+006  0.101324988021799E+006  0.101325023377218E+006
