# Chordwise load of component: wing_left
# spanwise_location: ***** ; chord_length: 0.795
# n_chord : 40 ; n_time : 150. Next lines: x_chord , z_chord
  0.112520707970651E+001  0.111940713869282E+001  0.110795005652626E+001  0.109111507379496E+001  0.106929487208258E+001  0.104300694857637E+001  0.101289819228309E+001  0.979710370975476E+000  0.944255669771531E+000  0.907396407333778E+000  0.870037467166543E+000  0.833113714711067E+000  0.797557770431873E+000  0.764263448191537E+000  0.734064403888338E+000  0.707722516456779E+000  0.685907944286237E+000  0.669393218078362E+000  0.659650137613353E+000  0.656436696753868E+000  0.656436672550659E+000  0.659650056857677E+000  0.669393098317162E+000  0.685907820171775E+000  0.707722397854580E+000  0.734064292423981E+000  0.764263345136809E+000  0.797557676749098E+000  0.833113631094421E+000  0.870037394054773E+000  0.907396344887093E+000  0.944255617850940E+000  0.979710329162667E+000  0.101289815991904E+001  0.104300692478291E+001  0.106929485577528E+001  0.109111506369927E+001  0.110795005121457E+001  0.111940713663271E+001  0.112520707929245E+001
 -0.190915415699540E-003 -0.949723380680987E-003 -0.244854841256774E-002 -0.462816430335625E-002 -0.725432221628029E-002 -0.100804134769687E-001 -0.130018039098193E-001 -0.159205365560825E-001 -0.186655789386876E-001 -0.209362404618087E-001 -0.224054403681428E-001 -0.229043114882203E-001 -0.224928004843982E-001 -0.213551364675484E-001 -0.196407529366493E-001 -0.174180009765482E-001 -0.147912947887904E-001 -0.112894043819545E-001 -0.602465422463304E-002 -0.143421419093187E-002  0.143408342999401E-002  0.602455693261502E-002  0.112893591271161E-001  0.147912764604122E-001  0.174179886614765E-001  0.196407450040455E-001  0.213551316922334E-001  0.224927982055310E-001  0.229043114468355E-001  0.224054422453333E-001  0.209362436169802E-001  0.186655825721784E-001  0.159205400202177E-001  0.130018068896256E-001  0.100804158915447E-001  0.725432406549358E-002  0.462816556787018E-002  0.244854910728699E-002  0.949723650171050E-003  0.190915469873243E-003
# t, Cp
  0.100000000000000E+001  0.251953657532424E+000  0.182755283339751E+000  0.968025190331039E-001  0.233084086969586E-001 -0.236938828703421E-001 -0.450678048659051E-001 -0.542531152519116E-001 -0.597070740664832E-001 -0.632834810089881E-001 -0.590787791747529E-001 -0.396251160419667E-001 -0.399501529105745E-002  0.413581726876316E-001  0.894856464016271E-001  0.140576639833852E+000  0.202010599421452E+000  0.271954918724689E+000  0.418147492825327E+000  0.822004633230946E+000  0.847385355911210E+000 -0.989651647691017E-001 -0.111970614986817E+001 -0.106792292334414E+001 -0.678023303032044E+000 -0.506653480959404E+000 -0.447230748619161E+000 -0.422884833906800E+000 -0.419181727204872E+000 -0.422688116915675E+000 -0.418861548728402E+000 -0.399135222393043E+000 -0.365469049186882E+000 -0.326591850700382E+000 -0.288806961689084E+000 -0.251190027116628E+000 -0.208384441207259E+000 -0.152670980107980E+000 -0.874067829909997E-001 -0.237123192567920E-001  0.246128368619136E-001
  0.100200000000000E+001  0.259678495063118E+000  0.205537441301692E+000  0.135169479622384E+000  0.694763601689076E-001  0.198753367876209E-001 -0.120912150751588E-001 -0.371799443024779E-001 -0.625178557856940E-001 -0.902292218661832E-001 -0.114794862304730E+000 -0.127444284199908E+000 -0.124107795319723E+000 -0.107919790918989E+000 -0.837037736061351E-001 -0.503142875816077E-001  0.690301487734815E-003  0.698468344367375E-001  0.222164160440900E+000  0.621335778529852E+000  0.615706216700238E+000 -0.375885790864384E+000 -0.137830410972303E+001 -0.122120029490214E+001 -0.744792478361281E+000 -0.513173148295607E+000 -0.403516045930389E+000 -0.335144981889637E+000 -0.292130835503236E+000 -0.259931598074902E+000 -0.224523240339671E+000 -0.179582600860969E+000 -0.129635172452797E+000 -0.842614322173763E-001 -0.483257218101271E-001 -0.182183359026155E-001  0.141920930197781E-001  0.595998656935394E-001  0.116336607804234E+000  0.176674814865356E+000  0.225678182181556E+000
  0.100400000000000E+001  0.228879964350592E+000  0.177471811804892E+000  0.111073056006612E+000  0.495855158134487E-001  0.401606822413931E-002 -0.244320436296481E-001 -0.464532468644158E-001 -0.690565747655803E-001 -0.942886711789548E-001 -0.116661038055753E+000 -0.127465938330925E+000 -0.122586852289203E+000 -0.104947927932077E+000 -0.790595396675386E-001 -0.434543319367553E-001  0.106195652368002E-001  0.847494774834723E-001  0.244603472438768E+000  0.637357922073485E+000  0.590788688603848E+000 -0.448512984037516E+000 -0.145997452125321E+001 -0.127094867429322E+001 -0.771716863576845E+000 -0.530635135404185E+000 -0.416495078852845E+000 -0.345525138483447E+000 -0.300926462819741E+000 -0.267591436675448E+000 -0.231080166088499E+000 -0.184834720709970E+000 -0.133344439897768E+000 -0.862569282994171E-001 -0.484433511398486E-001 -0.161679571392684E-001  0.188883702672038E-001  0.675882554334490E-001  0.128035629764778E+000  0.192172280317877E+000  0.243984511967605E+000
  0.100600000000000E+001  0.215675376068683E+000  0.165489602949083E+000  0.100740783280454E+000  0.409401503114721E-001 -0.303418296294242E-002 -0.301042104679585E-001 -0.508865332089301E-001 -0.722943221246835E-001 -0.963242548577971E-001 -0.117526638374424E+000 -0.127266712734906E+000 -0.121427268964079E+000 -0.102807481278977E+000 -0.757048533223529E-001 -0.384224576395577E-001  0.180150383404786E-001  0.959673313065160E-001  0.261476917341941E+000  0.648679064867872E+000  0.569825361600305E+000 -0.506397350434157E+000 -0.152404721035743E+001 -0.130944245085688E+001 -0.792217245664746E+000 -0.543676005679504E+000 -0.425988969127541E+000 -0.352970434246140E+000 -0.307142662816480E+000 -0.272971147318527E+000 -0.235724054927147E+000 -0.188703276129570E+000 -0.136406034540455E+000 -0.885512801916645E-001 -0.500268377462755E-001 -0.170158902967838E-001  0.189312622828781E-001  0.688020013709426E-001  0.130633034589959E+000  0.196284414898625E+000  0.249319470549665E+000
  0.100800000000000E+001  0.207353188903044E+000  0.157930339024138E+000  0.941838868559345E-001  0.354003343998120E-001 -0.760620334774172E-002 -0.338337119090606E-001 -0.538430092387543E-001 -0.744786021230119E-001 -0.977010037456542E-001 -0.118089514447676E+000 -0.127066368987879E+000 -0.120519415170888E+000 -0.101159443589000E+000 -0.731259942061037E-001 -0.345486629211235E-001  0.237157939286875E-001  0.104605308776808E+000  0.274375520035328E+000  0.656886549225383E+000  0.552581574844243E+000 -0.552343985314044E+000 -0.157438078284002E+001 -0.133943921458918E+001 -0.808068638886008E+000 -0.553675267080172E+000 -0.433204241184373E+000 -0.358579743575653E+000 -0.311790946329837E+000 -0.276973189733748E+000 -0.239175937603806E+000 -0.191602268919481E+000 -0.138760660839637E+000 -0.904236801733570E-001 -0.514896858616479E-001 -0.180826350006651E-001  0.183404051736247E-001  0.688556286581234E-001  0.131468439639686E+000  0.198010059009491E+000  0.251797091505366E+000
  0.101000000000000E+001  0.201413798152227E+000  0.152522396729399E+000  0.894694711244312E-001  0.313929918069532E-001 -0.109325866779835E-001 -0.365599886370311E-001 -0.560113576644477E-001 -0.760815973088405E-001 -0.987043389393365E-001 -0.118480313329425E+000 -0.126875276911791E+000 -0.119782385618327E+000 -0.998462739635490E-001 -0.710854414969184E-001 -0.314952769897093E-001  0.281964416804093E-001  0.111369083426625E+000  0.284398304625779E+000  0.662979954435992E+000  0.538433584621610E+000 -0.589075349780987E+000 -0.161431734291174E+001 -0.136311586545732E+001 -0.820530433896905E+000 -0.561507997702926E+000 -0.438835923009091E+000 -0.362942849099678E+000 -0.315395009545131E+000 -0.280068215196476E+000 -0.241843229531672E+000 -0.193849279829519E+000 -0.140604748172717E+000 -0.919221470035193E-001 -0.527061994040309E-001 -0.190361058882431E-001  0.176994650563060E-001  0.686408365392222E-001  0.131774060299328E+000  0.198918138468167E+000  0.253224513065391E+000
  0.101200000000000E+001  0.196982152549332E+000  0.148479017627908E+000  0.859312336262446E-001  0.283725288571595E-001 -0.134492072702995E-001 -0.386279967393788E-001 -0.576582816883824E-001 -0.772980540779638E-001 -0.994604556914427E-001 -0.118762386233944E+000 -0.126703251148677E+000 -0.119180959573877E+000 -0.987893472518004E-001 -0.694524998760066E-001 -0.290604161221764E-001  0.317597843538263E-001  0.116730051755650E+000  0.292291617135826E+000  0.667597609216886E+000  0.526816817362944E+000 -0.618653295841298E+000 -0.164629096522765E+001 -0.138199693290463E+001 -0.830439837695931E+000 -0.567721301846356E+000 -0.443292663331614E+000 -0.366387848624954E+000 -0.318234500414557E+000 -0.282502055284031E+000 -0.243938940585028E+000 -0.195617674128361E+000 -0.142064853335166E+000 -0.931232955696370E-001 -0.537016173928022E-001 -0.198444161478869E-001  0.171112804518865E-001  0.683535528834986E-001  0.131855371434205E+000  0.199430889736345E+000  0.254114345961096E+000
  0.101400000000000E+001  0.193591474020307E+000  0.145380626502227E+000  0.832122464918486E-001  0.260440656218872E-001 -0.153945404501087E-001 -0.402294159152554E-001 -0.589345253552458E-001 -0.782397217680278E-001 -0.100042218319064E+000 -0.118971317566973E+000 -0.126552762834900E+000 -0.118688532839603E+000 -0.979327921596047E-001 -0.681350157371005E-001 -0.271014703349788E-001  0.346202971483507E-001  0.121021725870465E+000  0.298577596748496E+000  0.671158214365934E+000  0.517260112887823E+000 -0.642626135228410E+000 -0.167208780321762E+001 -0.139718236319311E+001 -0.838391174429333E+000 -0.572696878202990E+000 -0.446854491231400E+000 -0.369135714419013E+000 -0.320495004045766E+000 -0.284436168788785E+000 -0.245602551635715E+000 -0.197022356828286E+000 -0.143228897796233E+000 -0.940883495941227E-001 -0.545117190253326E-001 -0.205164260397841E-001  0.166003002745109E-001  0.680629524442631E-001  0.131835310849658E+000  0.199730387468369E+000  0.254696231588968E+000
  0.101600000000000E+001  0.190952532957046E+000  0.142966329552799E+000  0.810889721961541E-001  0.242213134690469E-001 -0.169205129082341E-001 -0.414872285972662E-001 -0.599373018178448E-001 -0.789787481540125E-001 -0.100496210992297E+000 -0.119128626142005E+000 -0.126422563383200E+000 -0.118283423519599E+000 -0.972339915835402E-001 -0.670641600896224E-001 -0.255130191172484E-001  0.369354774096471E-001  0.124487199779952E+000  0.303631692794080E+000  0.673944924933171E+000  0.509377532277846E+000 -0.662172077569453E+000 -0.169304450009969E+001 -0.140948666107095E+001 -0.844821294894948E+000 -0.576713542466657E+000 -0.449724771374241E+000 -0.371346099033668E+000 -0.322310030231500E+000 -0.285986393580614E+000 -0.246934265813827E+000 -0.198146769658089E+000 -0.144162690237351E+000 -0.948664357198776E-001 -0.551704617193894E-001 -0.210705932282018E-001  0.161670708924954E-001  0.677952543516359E-001  0.131771113588928E+000  0.199908428059710E+000  0.255090307789736E+000
  0.101800000000000E+001  0.188872562932285E+000  0.141061625202233E+000  0.794109108161632E-001  0.227779058737887E-001 -0.181308976042905E-001 -0.424858888598734E-001 -0.607336048661360E-001 -0.795648825537482E-001 -0.100854329062636E+000 -0.119248437243735E+000 -0.126310389255696E+000 -0.117948443523675E+000 -0.966603076632058E-001 -0.661878700405889E-001 -0.242158678937133E-001  0.388230512327646E-001  0.127307079568811E+000  0.307729653880659E+000  0.676154301561320E+000  0.502855522271304E+000 -0.678198084664567E+000 -0.171017672029408E+001 -0.141952384721142E+001 -0.850057858982298E+000 -0.579979625675565E+000 -0.452054962858986E+000 -0.373137595146067E+000 -0.323778552311074E+000 -0.287238519023744E+000 -0.248008433185574E+000 -0.199053351710394E+000 -0.144916522181381E+000 -0.954967375607916E-001 -0.557073014802240E-001 -0.215267184114266E-001  0.158035442365528E-001  0.675583777735775E-001  0.131690068208098E+000  0.200014119511220E+000  0.255363861198413E+000
  0.102000000000000E+001  0.187216606349860E+000  0.139543988955147E+000  0.780718375481543E-001  0.216241219432597E-001 -0.190997739808531E-001 -0.432859334649120E-001 -0.613715852691494E-001 -0.800339055219871E-001 -0.101139410819806E+000 -0.119340572427028E+000 -0.126213925784169E+000 -0.117670111448328E+000 -0.961866213221658E-001 -0.654663668091269E-001 -0.231497748528112E-001  0.403722508832716E-001  0.129617604461072E+000  0.311077502413543E+000  0.677925901594586E+000  0.497440511236226E+000 -0.691408495004406E+000 -0.172426514673153E+001 -0.142776288979007E+001 -0.854350104813268E+000 -0.582653113182766E+000 -0.453959619901436E+000 -0.374599704474423E+000 -0.324975134298567E+000 -0.288257108758832E+000 -0.248881058753946E+000 -0.199789387051126E+000 -0.145528991545570E+000 -0.960101190380191E-001 -0.561465338600409E-001 -0.219027365410356E-001  0.154994813537629E-001  0.673525973228315E-001  0.131605257386126E+000  0.200075124338843E+000  0.255556870535373E+000
  0.102200000000000E+001  0.185886945981981E+000  0.138324512556566E+000  0.769943707024886E-001  0.206943138126297E-001 -0.198815608101433E-001 -0.439319614940439E-001 -0.618867787372133E-001 -0.804122269711828E-001 -0.101368247374319E+000 -0.119412075897505E+000 -0.126131056538630E+000 -0.117437817367015E+000 -0.957934290978170E-001 -0.648689338009860E-001 -0.222683860007517E-001  0.416515337501467E-001  0.131522873143446E+000  0.313831379518029E+000  0.679360784497118E+000  0.492927906835175E+000 -0.702354238111764E+000 -0.173591539369770E+001 -0.143456568999828E+001 -0.857889705254857E+000 -0.584855175840660E+000 -0.455526391735926E+000 -0.375800764142213E+000 -0.325956602934773E+000 -0.289091299197779E+000 -0.249594761558493E+000 -0.200390962501172E+000 -0.146029797552902E+000 -0.964307089071189E-001 -0.565076712623527E-001 -0.222137814471861E-001  0.152450167375198E-001  0.671752755803856E-001  0.131522882728478E+000  0.200107802583436E+000  0.255694378148068E+000
  0.102400000000000E+001  0.184811187086286E+000  0.137337223194769E+000  0.761209265649885E-001  0.199394720900931E-001 -0.205169992314395E-001 -0.444574265102289E-001 -0.623058647662050E-001 -0.807196637108399E-001 -0.101553382056364E+000 -0.119468078647422E+000 -0.126059902631641E+000 -0.117243144055720E+000 -0.954654425909201E-001 -0.643716144027001E-001 -0.215356670661076E-001  0.427139722973810E-001  0.133103302599048E+000  0.316111064718244E+000  0.680533416791686E+000  0.489152739746250E+000 -0.711468952707882E+000 -0.174560094895125E+001 -0.144021395838218E+001 -0.860825415560626E+000 -0.586679625592328E+000 -0.456822984527285E+000 -0.376793452748565E+000 -0.326766678926706E+000 -0.289778831303923E+000 -0.250182251256338E+000 -0.200885810183861E+000 -0.146441875830706E+000 -0.967773280594465E-001 -0.568061909601028E-001 -0.224722140442169E-001  0.150315183561025E-001  0.670229112142749E-001  0.131445736355240E+000  0.200122240790324E+000  0.255792766764719E+000
