# Chordwise load of component: right_wing
# spanwise_location: 2.000 ; chord_length: 1.605
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.118973001466642E+001  0.102985231114171E+001  0.869942087215318E+000  0.709913928239394E+000  0.549628121398418E+000  0.389034509130462E+000  0.228230628219447E+000  0.674548755385555E-001 -0.929307642871859E-001 -0.247386151630362E+000 -0.247876762720755E+000 -0.940846785976121E-001  0.660363613972123E-001  0.226691883260658E+000  0.387513101138500E+000  0.548254534586220E+000  0.708782436417238E+000  0.869112312450636E+000  0.102934955433711E+001  0.118955772872795E+001
  0.103563234270819E-001 -0.783817455225018E-002 -0.257320625445131E-001 -0.424885911143609E-001 -0.564107836201052E-001 -0.657136852690857E-001 -0.685622415057279E-001 -0.645781083052980E-001 -0.533721298603098E-001 -0.228688989849972E-001  0.247302060467426E-001  0.590614857650412E-001  0.742041968852384E-001  0.821325312194145E-001  0.832297745733117E-001  0.778702631765675E-001  0.678870955540348E-001  0.550656300800754E-001  0.411048597387286E-001  0.268431946843895E-001
# t, dFz
  0.000000000000000E+000  0.473987018270270E-003  0.637404200606048E-003  0.854577783129477E-003  0.752275037263319E-003  0.425160112857740E-003  0.443300934661528E-004  0.382179780781377E-004  0.779364286229688E-003  0.282283997863431E-002  0.166928323797549E-001 -0.183365589911694E-001 -0.528564028098456E-002 -0.335157017772953E-002 -0.161880302637461E-002  0.936735274885931E-003  0.291630356274117E-002  0.394620336252601E-002  0.406076475672298E-002  0.341112794652820E-002  0.291026451857305E-002
  0.500000000000000E+000 -0.103273808907244E-002 -0.625631160253858E-003  0.935774623052576E-004  0.643373353120227E-003  0.843669646040095E-003  0.562453868281778E-003 -0.663442355411549E-004 -0.376267628537271E-003 -0.521868201943622E-004  0.758827583951945E-002 -0.241959475283428E-001 -0.570458696748256E-002 -0.285784678717353E-002 -0.113490948555641E-002  0.543717888565133E-003  0.136274841008554E-002  0.141568068412582E-002  0.101552382291050E-002  0.436569058353888E-003  0.173793867799976E-003
  0.100000000000000E+001 -0.574042954138730E-003 -0.320861249648928E-003  0.289148389462149E-003  0.746614460354285E-003  0.882557694906113E-003  0.567657309040198E-003 -0.655555340429995E-004 -0.360580394731190E-003  0.340890496151934E-005  0.785402801927428E-002 -0.251014602612482E-001 -0.582078686964623E-002 -0.290036213171406E-002 -0.114583787041054E-002  0.545031915258040E-003  0.134640233182248E-002  0.135207010574251E-002  0.879534019384055E-003  0.215213454535114E-003 -0.168144338423894E-003
  0.150000000000000E+001 -0.446857426413113E-003 -0.244344339966948E-003  0.330899265773382E-003  0.761829376831700E-003  0.881339808908636E-003  0.561615218712168E-003 -0.642893038406733E-004 -0.345835926143345E-003  0.466133506124102E-004  0.803928870399822E-002 -0.257388887831403E-001 -0.590523832451105E-002 -0.293386836353468E-002 -0.115651179586782E-002  0.548758043404253E-003  0.134998268984737E-002  0.134248827054564E-002  0.846427043616521E-003  0.151571994477368E-003 -0.276009506274438E-003
  0.200000000000000E+001 -0.399803595369262E-003 -0.217777328345083E-003  0.342523202723908E-003  0.762249155832442E-003  0.875378545619584E-003  0.555568797750016E-003 -0.632522993661449E-004 -0.334541207676693E-003  0.784960000583069E-004  0.817080502843629E-002 -0.261982330427965E-001 -0.596639754933074E-002 -0.295851501091885E-002 -0.116467384103999E-002  0.551930686726775E-003  0.135542288897523E-002  0.134272702161512E-002  0.836171350089298E-003  0.127447166337389E-003 -0.319154099292438E-003
  0.250000000000000E+001 -0.373124488639461E-003 -0.203439852551879E-003  0.347678139648202E-003  0.760606418777732E-003  0.870054585535610E-003  0.550806694696629E-003 -0.624639736677825E-004 -0.326075782991442E-003  0.102150944369223E-003  0.826634467716903E-002 -0.265362820661943E-001 -0.601150544925438E-002 -0.297675776193033E-002 -0.117076582042455E-002  0.554357416079073E-003  0.136000106735732E-002  0.134438984065195E-002  0.831480420763571E-003  0.114247501350437E-003 -0.343743488648454E-003
  0.300000000000000E+001 -0.355631189956540E-003 -0.194402553065896E-003  0.350407282666747E-003  0.758711059822241E-003  0.865739711036926E-003  0.547124995737100E-003 -0.618626522057847E-004 -0.319656200632532E-003  0.119996596182002E-003  0.833734157281784E-002 -0.267898304417179E-001 -0.604541505716851E-002 -0.299049738199681E-002 -0.117537114477930E-002  0.556213543424183E-003  0.136365763547468E-002  0.134620956441132E-002  0.829043890603538E-003  0.106041133636030E-003 -0.359605379916553E-003
  0.350000000000000E+001 -0.343774776626442E-003 -0.188509917939954E-003  0.351833426413118E-003  0.756884462271024E-003  0.862263461468934E-003  0.544252745587108E-003 -0.613978681758378E-004 -0.314714304775645E-003  0.133684093327099E-003  0.839116726469880E-002 -0.269832997226789E-001 -0.607134688051412E-002 -0.300101942041492E-002 -0.117890768140859E-002  0.557651379734806E-003  0.136657880045400E-002  0.134793183765278E-002  0.827812269832699E-003  0.100763963047029E-003 -0.370205419886523E-003
  0.400000000000000E+001 -0.335572130603467E-003 -0.184594628192936E-003  0.352519994028719E-003  0.755230743553322E-003  0.859457182092590E-003  0.541989588593732E-003 -0.610341811676520E-004 -0.310858396922401E-003  0.144336749944329E-003  0.843268549605883E-002 -0.271331996408444E-001 -0.609147282007627E-002 -0.300919162791422E-002 -0.118165930477517E-002  0.558777350177274E-003  0.136891940295155E-002  0.134946908951164E-002  0.827245859822077E-003  0.972922701125535E-004 -0.377466587014928E-003
  0.450000000000000E+001 -0.329774869881017E-003 -0.181941024866491E-003  0.352792272081280E-003  0.753782738343715E-003  0.857184551082795E-003  0.540190010008564E-003 -0.607464386663279E-004 -0.307813373482597E-003  0.152735832425560E-003  0.846519528640668E-002 -0.272509345709309E-001 -0.610729756231682E-002 -0.301561754613346E-002 -0.118382475354765E-002  0.559667465579752E-003  0.137080116514302E-002  0.135079791920622E-002  0.827040523400759E-003  0.949541815630706E-004 -0.382563731869533E-003
  0.500000000000000E+001 -0.325593083768745E-003 -0.180108016910079E-003  0.352835932933379E-003  0.752536793552776E-003  0.855335489398897E-003  0.538746199298284E-003 -0.605164060189716E-004 -0.305381837288222E-003  0.159436682476084E-003  0.849099232082376E-002 -0.273445488267249E-001 -0.611988795285226E-002 -0.302072754144116E-002 -0.118554694256371E-002  0.560377535264320E-003  0.137232116580882E-002  0.135192759851778E-002  0.827027337873754E-003  0.933442103507938E-004 -0.386224014079840E-003
