# Chordwise load of component: right_wing
# spanwise_location: 2.000 ; chord_length: 1.605
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.603973001466642E+001  0.587985231114171E+001  0.571994208721532E+001  0.555991392823939E+001  0.539962812139842E+001  0.523903450913046E+001  0.507823062821945E+001  0.491745487553855E+001  0.475706923571281E+001  0.460261384836964E+001  0.460212323727925E+001  0.475591532140239E+001  0.491603636139721E+001  0.507669188326066E+001  0.523751310113850E+001  0.539825453458622E+001  0.555878243641724E+001  0.571911231245064E+001  0.587934955433711E+001  0.603955772872795E+001
  0.103563234270819E-001 -0.783817455225018E-002 -0.257320625445131E-001 -0.424885911143609E-001 -0.564107836201052E-001 -0.657136852690857E-001 -0.685622415057279E-001 -0.645781083052980E-001 -0.533721298603098E-001 -0.228688989849972E-001  0.247302060467426E-001  0.590614857650412E-001  0.742041968852384E-001  0.821325312194145E-001  0.832297745733117E-001  0.778702631765675E-001  0.678870955540348E-001  0.550656300800754E-001  0.411048597387286E-001  0.268431946843895E-001
# t, Pres
  0.000000000000000E+000  0.101324948031182E+006  0.101324941885048E+006  0.101324932372374E+006  0.101324936347002E+006  0.101324952654762E+006  0.101324985113892E+006  0.101325040624096E+006  0.101325109384294E+006  0.101325189606536E+006  0.101325375532361E+006  0.101324618228266E+006  0.101324716665335E+006  0.101324686878113E+006  0.101324646330317E+006  0.101324619991533E+006  0.101324621788812E+006  0.101324643632058E+006  0.101324681072716E+006  0.101324730836797E+006  0.101324768239560E+006
  0.500000000000000E+000  0.101325046742338E+006  0.101325024740653E+006  0.101324984025318E+006  0.101324947924368E+006  0.101324918594554E+006  0.101324902184134E+006  0.101324909209807E+006  0.101324937287772E+006  0.101324987715568E+006  0.101325159981382E+006  0.101324485591098E+006  0.101324685634535E+006  0.101324726370781E+006  0.101324746711751E+006  0.101324774679343E+006  0.101324818668966E+006  0.101324867102863E+006  0.101324914126016E+006  0.101324957446178E+006  0.101324976733106E+006
  0.100000000000000E+001  0.101325021220250E+006  0.101325007518330E+006  0.101324972811873E+006  0.101324941269358E+006  0.101324915337184E+006  0.101324901395231E+006  0.101324910133491E+006  0.101324939520658E+006  0.101324991408625E+006  0.101325165790147E+006  0.101324466910199E+006  0.101324679467978E+006  0.101324722455172E+006  0.101324744360017E+006  0.101324774167763E+006  0.101324820711520E+006  0.101324872582676E+006  0.101324924157482E+006  0.101324973453141E+006  0.101325000950412E+006
  0.150000000000000E+001  0.101325014161692E+006  0.101325003213105E+006  0.101324970434677E+006  0.101324940301623E+006  0.101324915450424E+006  0.101324902343134E+006  0.101324911691236E+006  0.101324941611730E+006  0.101324994265640E+006  0.101325169820667E+006  0.101324453824943E+006  0.101324675012319E+006  0.101324719391820E+006  0.101324742091061E+006  0.101324772700306E+006  0.101324820264626E+006  0.101324873406807E+006  0.101324926597183E+006  0.101324978055657E+006  0.101325008599303E+006
  0.200000000000000E+001  0.101325011559441E+006  0.101325001727310E+006  0.101324969781297E+006  0.101324940284064E+006  0.101324915957325E+006  0.101324903285539E+006  0.101324912969805E+006  0.101324943209223E+006  0.101324996367468E+006  0.101325172672054E+006  0.101324444436039E+006  0.101324671800637E+006  0.101324717150184E+006  0.101324740366792E+006  0.101324771456244E+006  0.101324819590150E+006  0.101324873388199E+006  0.101324927352111E+006  0.101324979797374E+006  0.101325011654967E+006
  0.250000000000000E+001  0.101325010118031E+006  0.101325000959649E+006  0.101324969527965E+006  0.101324940430882E+006  0.101324916443581E+006  0.101324904062048E+006  0.101324913976177E+006  0.101324944439087E+006  0.101324997957809E+006  0.101325174770749E+006  0.101324437469477E+006  0.101324669399613E+006  0.101324715460046E+006  0.101324739048892E+006  0.101324770473382E+006  0.101324818991428E+006  0.101324873216640E+006  0.101324927668294E+006  0.101324980721980E+006  0.101325013367469E+006
  0.300000000000000E+001  0.101325009283390E+006  0.101325000596003E+006  0.101324969530708E+006  0.101324940721722E+006  0.101324916980877E+006  0.101324904811935E+006  0.101324914895254E+006  0.101324945522622E+006  0.101324999310032E+006  0.101325176478986E+006  0.101324431872690E+006  0.101324667417480E+006  0.101324714030502E+006  0.101324737903985E+006  0.101324769580481E+006  0.101324818381824E+006  0.101324872916324E+006  0.101324927715549E+006  0.101324981196177E+006  0.101325014381262E+006
  0.350000000000000E+001  0.101325008950313E+006  0.101325000617327E+006  0.101324969841162E+006  0.101324941262973E+006  0.101324917719743E+006  0.101324905720709E+006  0.101324915937190E+006  0.101324946691768E+006  0.101325000694226E+006  0.101325178123934E+006  0.101324426662879E+006  0.101324665478503E+006  0.101324712572477E+006  0.101324736685940E+006  0.101324768571439E+006  0.101324817604203E+006  0.101324872387875E+006  0.101324927463543E+006  0.101324981276225E+006  0.101325014860078E+006
  0.400000000000000E+001  0.101325009189781E+006  0.101325001170156E+006  0.101324970679153E+006  0.101324942339867E+006  0.101324919002634E+006  0.101324907179019E+006  0.101324917528553E+006  0.101324948403470E+006  0.101325002614994E+006  0.101325180249822E+006  0.101324420343373E+006  0.101324662973688E+006  0.101324710600964E+006  0.101324734972250E+006  0.101324767080834E+006  0.101324816358401E+006  0.101324871402860E+006  0.101324926762522E+006  0.101324980898742E+006  0.101325014830849E+006
  0.450000000000000E+001  0.101325009405077E+006  0.101325001616781E+006  0.101324971342001E+006  0.101324943194573E+006  0.101324920038434E+006  0.101324908386203E+006  0.101324918883838E+006  0.101324949912107E+006  0.101325004387730E+006  0.101325182289782E+006  0.101324413907746E+006  0.101324660571711E+006  0.101324708800223E+006  0.101324733465670E+006  0.101324765812231E+006  0.101324815328225E+006  0.101324870604720E+006  0.101324926196381E+006  0.101324980581429E+006  0.101325014773201E+006
