# Chordwise load of component: right_wing
# spanwise_location: 1.000 ; chord_length: 2.454
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.595077606313723E+001  0.571096666239797E+001  0.547111880752019E+001  0.523107542902655E+001  0.499059172663972E+001  0.474959254360068E+001  0.450830350882420E+001  0.426721156656823E+001  0.402705421351816E+001  0.379821127104091E+001  0.379820969909984E+001  0.402705122844812E+001  0.426720891241986E+001  0.450830120300078E+001  0.474959059297216E+001  0.499059013393318E+001  0.523107419315620E+001  0.547111792614510E+001  0.571096613382105E+001  0.595077588694710E+001
 -0.141914751915092E-001 -0.417964076028189E-001 -0.690520053817295E-001 -0.944629252076402E-001 -0.115104054512392E+000 -0.127829298624303E+000 -0.129372667574023E+000 -0.119004514654792E+000 -0.960770475271774E-001 -0.405453579871147E-001  0.405433008145443E-001  0.960766283075047E-001  0.119004321856208E+000  0.129372617427517E+000  0.127829356424899E+000  0.115104171444874E+000  0.944630503894549E-001  0.690521079459171E-001  0.417964712589044E-001  0.141914964291703E-001
# t, dFz
  0.000000000000000E+000 -0.259862441237716E-001 -0.237876936406081E-001 -0.215715381147570E-001 -0.155155072600121E-001 -0.529251677766265E-002  0.103561053230573E-001  0.330839686520439E-001  0.581411050772229E-001  0.834341971914581E-001  0.111130932883396E+000  0.385202142641008E-001  0.433941001902324E-001  0.631015999918146E-001  0.855727072589267E-001  0.103942102807279E+000  0.112888639322799E+000  0.114177184871331E+000  0.108549021930818E+000  0.963122322847076E-001  0.845534886358106E-001
  0.500000000000000E+000  0.648363840414304E-002 -0.765532489055728E-003 -0.125763866241451E-001 -0.227765154037788E-001 -0.308778233798918E-001 -0.351250258141130E-001 -0.323017605598214E-001 -0.237766529972906E-001 -0.107104488664488E-001  0.179428175930007E-001  0.971332618307291E-001  0.738675485906973E-001  0.658995394759338E-001  0.626603776210407E-001  0.565993528098997E-001  0.454387969757338E-001  0.327471564556796E-001  0.204456790674144E-001  0.958218798198745E-002  0.593437451373529E-002
  0.100000000000000E+001  0.943634128494154E-003 -0.341836073360129E-002 -0.137218387826484E-001 -0.231303081103709E-001 -0.308029477700981E-001 -0.348189417247081E-001 -0.318853362444725E-001 -0.233058211630896E-001 -0.101732037651151E-001  0.184102588295229E-001  0.987167598733493E-001  0.746180915854873E-001  0.665187197318381E-001  0.632068085460202E-001  0.570251267901500E-001  0.456193691013797E-001  0.324743133242624E-001  0.193344394775333E-001  0.688999613630497E-002  0.310193992895720E-003
  0.150000000000000E+001 -0.481479831884602E-003 -0.414629992904773E-002 -0.140356147329090E-001 -0.231941992129292E-001 -0.307069321044699E-001 -0.346209932770702E-001 -0.316301532178427E-001 -0.230119846047718E-001 -0.981861017105501E-002  0.187255387571806E-001  0.998714043685067E-001  0.751234530088591E-001  0.669070649175535E-001  0.635330693241695E-001  0.572738857821511E-001  0.457407381525273E-001  0.323997898557867E-001  0.189547795928941E-001  0.600855269282813E-002 -0.142474759773587E-002
  0.200000000000000E+001 -0.116614931960277E-002 -0.450136264504243E-002 -0.141854699263607E-001 -0.232114644074826E-001 -0.306322148289458E-001 -0.344825750043344E-001 -0.314526579681839E-001 -0.228049422505693E-001 -0.956333305550513E-002  0.189518086439162E-001  0.100726805984647E+000  0.754880623273028E-001  0.671793835896629E-001  0.637567945348544E-001  0.574429141200788E-001  0.458287603843799E-001  0.323745813654181E-001  0.187686621095436E-001  0.557797514766567E-002 -0.225101495220952E-002
  0.250000000000000E+001 -0.156692097765966E-002 -0.470433619345023E-002 -0.142619013966195E-001 -0.232031545071744E-001 -0.305628193023510E-001 -0.343692051262596E-001 -0.313112769846435E-001 -0.226416034166070E-001 -0.936344179897391E-002  0.191255652878614E-001  0.101385792085155E+000  0.757701263364573E-001  0.673901773966104E-001  0.639306506306791E-001  0.575771530122405E-001  0.459073298992672E-001  0.323791247845836E-001  0.186729145607253E-001  0.533620123118194E-002 -0.272120080241661E-002
  0.300000000000000E+001 -0.180086853110837E-002 -0.480902105011230E-002 -0.142801795146308E-001 -0.231616837247132E-001 -0.304772989334076E-001 -0.342514666873723E-001 -0.311730350661181E-001 -0.224875509320547E-001 -0.918208189015823E-002  0.192772391846098E-001  0.101941261933559E+000  0.760165304747315E-001  0.675795273168632E-001  0.640913590281734E-001  0.577079211180948E-001  0.459972014613269E-001  0.324162409293470E-001  0.186407764447954E-001  0.520680465563727E-002 -0.299586608452548E-002
  0.350000000000000E+001 -0.190867749470322E-002 -0.482405443433024E-002 -0.142289053074524E-001 -0.230638887030190E-001 -0.303455324110263E-001 -0.340954826829852E-001 -0.310028952461884E-001 -0.223076771644249E-001 -0.898247591188849E-002  0.194358429896669E-001  0.102486675716980E+000  0.762746773709054E-001  0.677885495940624E-001  0.642779938616608E-001  0.578715391071116E-001  0.461291674695696E-001  0.325074796540880E-001  0.186787986338591E-001  0.517158896410022E-002 -0.313336284567686E-002
  0.400000000000000E+001 -0.182891811186674E-002 -0.465897491586696E-002 -0.139947571768575E-001 -0.227820174889514E-001 -0.300313829850116E-001 -0.337615130820334E-001 -0.306624052415353E-001 -0.219680798518832E-001 -0.863407225670179E-002  0.196943333342393E-001  0.103256505028335E+000  0.766808402492797E-001  0.681431602342050E-001  0.646142235774780E-001  0.581879211412930E-001  0.464153809791965E-001  0.327529649655037E-001  0.188692869122816E-001  0.528686515371407E-002 -0.311061974886830E-002
  0.450000000000000E+001 -0.178409980580906E-002 -0.456110552977003E-002 -0.138493129408197E-001 -0.225984626441927E-001 -0.298164175935005E-001 -0.335210069841408E-001 -0.304044961706949E-001 -0.216958047141226E-001 -0.833192738312656E-002  0.199292713137696E-001  0.104047892551321E+000  0.770526471310177E-001  0.684401303676755E-001  0.648774583509266E-001  0.584211676338698E-001  0.466140421624880E-001  0.329134475651750E-001  0.189863341261675E-001  0.535231431409319E-002 -0.310286548769214E-002
